,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년08월_남_20~29세,"27,844","1,351","2,681","1,399","1,028","1,631","1,150","1,743","2,335","2,710","1,463","1,563","1,288","1,483","1,465","2,633","1,921"
2021년08월_남_30~39세,"30,158","2,256","3,122","1,721","1,684","1,218","1,250","1,740","1,981","2,506","1,721","1,847","1,361","1,494","1,578","2,963","1,716"
2021년08월_남_40~49세,"29,227","2,161","2,625","1,506","2,069","1,018","1,520","1,790","1,883","1,788","1,261","1,538","1,556","1,131","1,566","3,006","2,809"
2021년08월_남_50~59세,"26,864","1,846","3,084","1,639","1,538","1,066","1,242","1,798","1,770","1,489","1,107","1,449","1,376",935,"1,345","2,829","2,351"
2021년08월_남_60~69세,"18,983","1,348","2,208","1,296","1,057",716,723,"1,197","1,241","1,038",894,"1,113",977,769,"1,025","1,984","1,397"
2021년08월_남_70~79세,"9,941",483,"1,044",683,549,360,344,601,584,643,513,648,622,425,555,"1,138",749
2021년08월_남_80~89세,"4,374",247,459,319,240,180,199,279,278,315,201,239,239,199,235,436,309
2021년08월_남_90~99세,435,24,39,29,30,17,15,30,30,38,25,26,20,26,15,43,28
2021년08월_남_100세 이상,34,2,2,0,0,4,3,2,0,6,0,2,2,2,2,5,2
2021년08월_여_총인구수,"195,849","13,407","19,769","11,080","11,425","7,488","8,527","11,626","13,080","13,563","9,432","10,775","9,899","7,982","10,080","21,647","16,069"
2021년08월_여_연령구간인구수,"195,849","13,407","19,769","11,080","11,425","7,488","8,527","11,626","13,080","13,563","9,432","10,775","9,899","7,982","10,080","21,647","16,069"
2021년08월_여_0~9세,"11,753","1,383","1,038",670,"1,106",301,711,829,836,404,462,488,541,294,443,"1,161","1,086"
2021년08월_여_10~19세,"13,902",863,"1,115",750,"1,053",397,754,847,869,623,469,639,778,352,734,"1,623","2,036"
2021년08월_여_20~29세,"34,196","1,742","3,560","1,495","1,176","1,961","1,314","1,663","2,701","3,596","1,886","1,809","1,535","1,753","1,677","3,929","2,399"
2021년08월_여_30~39세,"33,616","2,648","3,400","1,859","1,987","1,202","1,344","1,856","2,164","2,884","1,893","1,996","1,525","1,535","1,685","3,588","2,050"
2021년08월_여_40~49세,"31,030","2,144","2,682","1,590","2,262","1,031","1,519","2,021","2,047","1,877","1,361","1,639","1,629","1,115","1,703","3,313","3,097"
2021년08월_여_50~59세,"27,800","1,985","3,186","1,800","1,494",977,"1,209","1,784","1,879","1,579","1,245","1,492","1,436","1,037","1,497","3,005","2,195"
2021년08월_여_60~69세,"21,730","1,456","2,372","1,451","1,149",784,816,"1,305","1,332","1,240","1,050","1,329","1,224",943,"1,231","2,376","1,672"
2021년08월_여_70~79세,"13,662",701,"1,472",826,733,505,542,853,778,843,676,905,830,583,745,"1,721",949
2021년08월_여_80~89세,"6,945",400,830,534,389,267,274,402,408,427,331,416,353,311,323,788,492
2021년08월_여_90~99세,"1,142",78,103,103,73,54,35,63,64,87,57,59,44,56,41,140,85
2021년08월_여_100세 이상,73,7,11,2,3,9,9,3,2,3,2,3,4,3,1,3,8
