카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년05월_남_60~69세,"145,794","33,879","16,487","17,392","9,558","8,629","16,825","11,532","10,375","2,266","11,296","5,200","6,706","5,090","3,281","7,530","7,595","6,032"
2021년05월_남_70~79세,"77,973","13,732","7,177","6,555","5,251","5,067","8,057","6,551","5,793",938,"6,213","3,112","4,218","3,590","2,042","4,502","4,675","4,232"
2021년05월_남_80~89세,"35,719","5,354","2,892","2,462","2,529","2,276","3,499","2,934","2,762",366,"2,891","1,416","2,275","1,917","1,196","2,272","2,423","1,609"
2021년05월_남_90~99세,"3,433",491,275,216,284,211,299,256,296,42,293,125,242,203,123,224,210,134
2021년05월_남_100세 이상,87,18,11,7,8,7,9,3,9,0,8,1,4,2,2,3,5,8
2021년05월_여_총인구수,"1,035,406","321,785","126,454","195,331","51,828","48,791","153,402","84,222","57,689","21,700","78,014","25,245","32,439","25,953","15,057","50,123","38,489","30,669"
2021년05월_여_연령구간인구수,"1,035,406","321,785","126,454","195,331","51,828","48,791","153,402","84,222","57,689","21,700","78,014","25,245","32,439","25,953","15,057","50,123","38,489","30,669"
2021년05월_여_0~9세,"82,149","29,669","9,580","20,089","2,692","2,915","15,623","7,389","3,444","1,935","7,437","1,210","1,324","1,106",601,"3,624","1,686","1,494"
2021년05월_여_10~19세,"96,843","32,740","12,391","20,349","3,893","3,914","16,923","8,067","4,661","2,974","7,453","2,026","2,132","1,653",955,"4,657","2,719","2,076"
2021년05월_여_20~29세,"107,680","45,415","16,415","29,000","4,965","3,830","16,442","7,681","4,893","2,173","6,677","1,669","2,203","1,578","1,052","4,236","2,870","1,996"
2021년05월_여_30~39세,"121,620","48,489","15,411","33,078","4,272","4,171","22,455","9,738","4,903","2,330","9,539","1,685","1,928","1,461",864,"4,959","2,643","2,183"
2021년05월_여_40~49세,"152,275","53,791","20,429","33,362","6,180","6,156","26,099","12,939","7,023","4,305","11,737","2,723","3,149","2,558","1,262","6,850","4,196","3,307"
2021년05월_여_50~59세,"158,949","50,118","21,302","28,816","8,734","7,779","21,486","13,145","9,132","3,509","11,318","3,974","4,974","3,802","2,319","7,526","6,123","5,010"
2021년05월_여_60~69세,"144,928","33,068","16,237","16,831","9,479","8,960","16,794","11,450","10,141","2,420","10,708","4,959","6,672","5,300","3,091","7,773","7,664","6,449"
2021년05월_여_70~79세,"93,140","16,558","8,415","8,143","6,141","6,188","10,024","7,392","7,147","1,142","6,988","3,691","5,138","4,412","2,435","5,590","5,630","4,664"
2021년05월_여_80~89세,"66,073","10,126","5,303","4,823","4,644","4,104","6,454","5,381","5,404",759,"5,236","2,864","4,133","3,397","2,136","4,205","4,273","2,957"
2021년05월_여_90~99세,"11,313","1,744",934,810,798,738,"1,055","1,003",901,150,877,435,756,664,336,681,658,517
2021년05월_여_100세 이상,436,67,37,30,30,36,47,37,40,3,44,9,30,22,6,22,27,16
