,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020년07월_남_40~49세,"17,603","1,355",745,742,"1,407","1,390","1,149",747,923,"1,263","2,248",606,439,647,"1,682","1,193","1,067"
2020년07월_남_50~59세,"18,155","1,416",673,"1,204","1,525","1,084","1,169",749,983,"1,513","2,182",644,530,583,"1,577","1,101","1,222"
2020년07월_남_60~69세,"13,369","1,031",655,935,"1,074",776,799,482,680,"1,141","1,402",588,477,495,"1,277",692,865
2020년07월_남_70~79세,"7,480",583,421,415,651,379,469,267,401,628,765,335,241,359,714,324,528
2020년07월_남_80~89세,"3,120",187,145,137,250,151,184,124,147,246,450,115,135,157,272,224,196
2020년07월_남_90~99세,502,36,21,29,26,25,20,21,12,53,95,11,22,23,48,29,31
2020년07월_남_100세 이상,106,5,7,16,10,4,4,2,5,15,8,2,6,3,9,3,7
2020년07월_여_총인구수,"118,994","9,140","5,312","2,988","10,622","8,349","7,600","5,394","6,482","9,495","15,131","4,636","3,646","5,009","11,036","6,916","7,238"
2020년07월_여_연령구간인구수,"118,994","9,140","5,312","2,988","10,622","8,349","7,600","5,394","6,482","9,495","15,131","4,636","3,646","5,009","11,036","6,916","7,238"
2020년07월_여_0~9세,"6,691",489,190,107,374,675,480,383,392,451,"1,363",269,126,210,577,392,213
2020년07월_여_10~19세,"7,809",592,291,118,568,418,778,387,416,428,"1,485",241,146,270,572,749,350
2020년07월_여_20~29세,"17,420","1,264",760,518,"2,534","1,400",992,865,986,"1,546","1,541",506,510,697,"1,399",910,992
2020년07월_여_30~39세,"19,090","1,381",871,477,"1,476","1,895","1,035",935,"1,033","1,927","2,096",757,510,846,"2,075",801,975
2020년07월_여_40~49세,"18,280","1,426",706,386,"1,403","1,271","1,213",841,959,"1,324","2,773",625,468,752,"1,754","1,316","1,063"
2020년07월_여_50~59세,"18,513","1,511",800,488,"1,563","1,100","1,191",815,"1,006","1,513","2,341",744,603,708,"1,696","1,119","1,315"
2020년07월_여_60~69세,"14,798","1,183",801,410,"1,293",853,909,544,839,"1,111","1,540",728,587,689,"1,467",706,"1,138"
2020년07월_여_70~79세,"9,764",773,510,289,901,460,585,372,555,718,"1,103",447,392,504,926,486,743
2020년07월_여_80~89세,"5,276",399,299,142,408,210,355,205,231,365,728,256,236,263,433,378,368
2020년07월_여_90~99세,"1,094",98,69,37,78,53,53,36,56,84,135,50,52,59,112,56,66
2020년07월_여_100세 이상,259,24,15,16,24,14,9,11,9,28,26,13,16,11,25,3,15
