,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020년05월_남_20~29세,"29,501","3,946","2,115","1,305","1,785","1,372","2,302",973,"2,044","2,033","1,947","1,984","1,346","2,190","1,856","2,303"
2020년05월_남_30~39세,"28,281","2,270","1,858","1,504","1,979","1,451","2,272","1,238","1,756","1,931","2,027","2,090","1,467","2,188","2,001","2,249"
2020년05월_남_40~49세,"26,538","1,212","1,362","1,163","1,519","1,225","2,201",836,"3,634","1,738","2,095","2,228","1,347","1,632","2,167","2,179"
2020년05월_남_50~59세,"26,954","1,110","1,488","1,252","1,725","1,511","2,639",670,"2,732","1,760","2,045","2,258","1,729","1,576","2,156","2,303"
2020년05월_남_60~69세,"19,617",770,"1,110",975,"1,262","1,120","1,943",558,"1,438","1,307","1,688","1,724","1,408","1,081","1,601","1,632"
2020년05월_남_70~79세,"10,213",476,636,520,687,606,"1,068",338,651,656,777,732,747,647,875,797
2020년05월_남_80~89세,"3,330",165,192,169,193,164,295,131,320,210,216,309,235,212,253,266
2020년05월_남_90~99세,340,19,13,7,15,17,24,14,46,25,23,42,20,18,22,35
2020년05월_남_100세 이상,49,5,1,3,2,2,8,1,2,4,2,2,5,2,5,5
2020년05월_여_총인구수,"180,751","11,764","10,097","8,024","11,623","8,506","15,259","6,326","18,508","11,823","13,416","15,004","9,096","11,666","14,114","15,525"
2020년05월_여_연령구간인구수,"180,751","11,764","10,097","8,024","11,623","8,506","15,259","6,326","18,508","11,823","13,416","15,004","9,096","11,666","14,114","15,525"
2020년05월_여_0~9세,"10,196",226,439,378,621,385,790,293,"1,666",559,852,"1,209",386,452,936,"1,004"
2020년05월_여_10~19세,"13,155",441,534,370,714,514,949,263,"2,736",715,935,"1,343",469,628,"1,215","1,329"
2020년05월_여_20~29세,"32,949","5,337","2,254","1,444","2,154","1,320","2,248","1,428","2,091","2,259","1,961","2,051","1,384","2,620","1,906","2,492"
2020년05월_여_30~39세,"28,991","2,036","1,828","1,461","2,052","1,305","2,320","1,454","2,288","1,920","2,102","2,322","1,254","2,170","1,987","2,492"
2020년05월_여_40~49세,"27,211",994,"1,265","1,089","1,563","1,222","2,143",797,"4,228","1,724","2,104","2,451","1,224","1,612","2,305","2,490"
2020년05월_여_50~59세,"28,282",987,"1,467","1,334","1,905","1,502","2,817",814,"2,608","1,919","2,302","2,440","1,535","1,702","2,390","2,560"
2020년05월_여_60~69세,"21,682",889,"1,206","1,068","1,464","1,220","2,252",669,"1,493","1,456","1,820","1,745","1,519","1,307","1,820","1,754"
2020년05월_여_70~79세,"11,995",559,735,623,785,692,"1,205",407,821,864,890,853,887,782,"1,019",873
2020년05월_여_80~89세,"5,223",234,309,202,293,290,439,167,478,345,373,505,368,336,442,442
2020년05월_여_90~99세,908,44,51,49,65,44,76,31,91,52,67,75,60,45,75,83
2020년05월_여_100세 이상,159,17,9,6,7,12,20,3,8,10,10,10,10,12,19,6
