,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년11월_남_50~59세,"18,710",538,902,"1,081",782,678,"1,439","1,294","1,021","1,070","1,728",243,835,"2,581","1,637","2,797",84
2021년11월_남_60~69세,"18,557",608,"1,036","1,206",995,784,"1,315","1,156","1,162",907,"1,538",315,890,"2,503","1,444","2,590",108
2021년11월_남_70~79세,"9,977",344,504,657,528,509,678,550,695,515,909,152,593,"1,319",696,"1,274",54
2021년11월_남_80~89세,"3,439",126,134,216,140,170,242,213,198,207,343,65,221,497,220,436,11
2021년11월_남_90~99세,269,3,7,9,6,16,27,20,9,13,20,6,27,34,17,52,3
2021년11월_남_100세 이상,5,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
2021년11월_여_총인구수,"117,054","2,587","4,634","5,629","3,746","4,296","9,390","8,234","6,693","8,722","13,884","1,082","4,991","14,888","10,365","17,365",548
2021년11월_여_연령구간인구수,"117,054","2,587","4,634","5,629","3,746","4,296","9,390","8,234","6,693","8,722","13,884","1,082","4,991","14,888","10,365","17,365",548
2021년11월_여_0~9세,"5,949",38,139,156,105,131,452,512,251,445,"1,201",27,229,527,632,"1,069",35
2021년11월_여_10~19세,"8,365",105,229,264,171,203,747,653,342,592,"1,119",36,319,962,983,"1,582",58
2021년11월_여_20~29세,"14,853",210,484,529,339,376,"1,299","1,064",700,"2,478","1,565",99,425,"2,057","1,171","2,024",33
2021년11월_여_30~39세,"11,602",152,419,472,304,350,968,892,658,882,"1,826",78,444,"1,338","1,122","1,657",40
2021년11월_여_40~49세,"15,757",277,499,586,374,466,"1,386","1,187",829,"1,048","2,382",97,606,"1,752","1,580","2,605",83
2021년11월_여_50~59세,"20,484",470,882,"1,081",715,707,"1,631","1,436","1,187","1,134","1,999",218,917,"2,865","1,943","3,223",76
2021년11월_여_60~69세,"21,235",669,"1,141","1,327",956,977,"1,555","1,378","1,476","1,115","1,926",240,"1,056","2,813","1,618","2,873",115
2021년11월_여_70~79세,"11,962",417,561,824,515,709,847,646,862,666,"1,141",170,634,"1,656",814,"1,439",61
2021년11월_여_80~89세,"5,890",220,250,345,236,335,434,395,340,308,582,102,318,796,442,748,39
2021년11월_여_90~99세,924,29,29,44,29,42,69,70,47,53,135,14,41,117,58,140,7
2021년11월_여_100세 이상,33,0,1,1,2,0,2,1,1,1,8,1,2,5,2,5,1
