,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2021년03월_남_연령구간인구수,"273,008","23,228","20,991","15,659","24,280","15,161","14,176","3,472","4,900","11,655","6,908","7,096","15,963","6,544","9,889","8,411","5,588","17,054","11,546","12,468","14,080","12,534","11,405"
2021년03월_남_0~9세,"25,274","2,348","1,181","2,010","3,483","2,396","1,726",164,220,620,342,334,"1,385",325,711,331,379,"1,387",962,"1,306","1,454","1,123","1,087"
2021년03월_남_10~19세,"28,863","2,336","1,807","2,221","3,278","1,975","1,105",202,382,822,483,583,"1,465",453,952,652,432,"1,756","1,443","1,820","1,706","1,373","1,617"
2021년03월_남_20~29세,"37,350","3,304","3,548","1,904","2,845","1,638","1,749",587,802,"1,729",961,"1,155","2,167",947,"1,531","1,256",679,"2,498","1,531","1,445","1,908","1,597","1,569"
2021년03월_남_30~39세,"39,988","4,211","2,642","2,826","3,779","2,604","2,406",500,678,"1,675",859,866,"2,242",915,"1,265",993,867,"2,509","1,289","1,592","2,247","1,637","1,386"
2021년03월_남_40~49세,"48,482","4,418","3,163","3,210","5,024","3,134","2,408",463,656,"1,754","1,024","1,073","2,553","1,039","1,429","1,166",856,"3,025","2,228","2,764","2,694","2,235","2,166"
2021년03월_남_50~59세,"47,326","3,494","4,363","2,114","3,355","1,983","2,283",811,"1,058","2,350","1,379","1,453","2,932","1,370","1,861","1,688","1,019","3,053","2,139","2,076","2,347","2,253","1,945"
2021년03월_남_60~69세,"30,604","2,060","2,851",991,"1,810","1,093","1,704",562,809,"1,811","1,214","1,078","2,242",977,"1,469","1,477",922,"1,875","1,105",861,"1,132","1,545","1,016"
2021년03월_남_70~79세,"11,341",811,985,276,541,274,624,143,217,715,502,434,779,391,503,628,329,724,581,439,400,582,463
2021년03월_남_80~89세,"3,426",225,401,103,151,56,156,32,72,156,130,114,185,114,147,197,88,211,249,151,171,174,143
2021년03월_남_90~99세,330,19,46,4,14,7,14,5,4,21,14,6,13,11,20,23,15,15,18,14,20,14,13
2021년03월_남_100세 이상,24,2,4,0,0,1,1,3,2,2,0,0,0,2,1,0,2,1,1,0,1,1,0
2021년03월_여_총인구수,"267,524","22,442","20,200","15,769","24,559","15,447","14,078","3,126","4,885","10,989","6,360","6,970","15,998","5,718","10,379","8,113","5,240","15,918","11,193","12,160","14,144","12,098","11,738"
2021년03월_여_연령구간인구수,"267,524","22,442","20,200","15,769","24,559","15,447","14,078","3,126","4,885","10,989","6,360","6,970","15,998","5,718","10,379","8,113","5,240","15,918","11,193","12,160","14,144","12,098","11,738"
2021년03월_여_0~9세,"23,583","2,152","1,166","1,796","3,190","2,304","1,533",165,231,584,325,251,"1,343",301,646,317,397,"1,253",898,"1,174","1,435","1,113","1,009"
2021년03월_여_10~19세,"27,453","2,106","1,674","2,203","3,109","1,912","1,024",195,357,739,433,626,"1,509",421,952,589,363,"1,684","1,358","1,719","1,573","1,277","1,630"
2021년03월_여_20~29세,"34,551","3,158","2,994","2,036","2,813","1,633","1,704",441,764,"1,469",740,994,"2,040",779,"1,375","1,110",658,"2,206","1,305","1,331","1,913","1,501","1,587"
2021년03월_여_30~39세,"38,285","3,971","2,261","2,840","4,298","2,988","2,436",412,523,"1,296",684,655,"2,192",660,"1,235",792,763,"2,091","1,224","1,683","2,239","1,587","1,455"
2021년03월_여_40~49세,"46,558","4,075","3,020","3,324","5,105","3,094","2,154",360,635,"1,435",858,"1,001","2,408",798,"1,589","1,087",749,"2,805","2,225","2,784","2,738","2,090","2,224"
2021년03월_여_50~59세,"46,019","3,460","4,308","1,990","3,328","1,998","2,346",785,"1,183","2,339","1,321","1,476","3,021","1,149","2,090","1,686",947,"2,760","1,844","1,656","2,252","2,138","1,942"
2021년03월_여_60~69세,"29,467","2,080","2,594",952,"1,756","1,001","1,711",481,709,"1,828","1,133","1,095","2,185",873,"1,498","1,424",794,"1,749","1,165",964,"1,152","1,297","1,026"
2021년03월_여_70~79세,"13,193",928,"1,284",389,594,315,719,147,282,805,545,527,829,471,570,656,321,848,743,537,529,632,522
2021년03월_여_80~89세,"6,978",423,740,200,295,158,365,106,172,417,266,297,382,234,350,372,201,445,387,257,264,365,282
2021년03월_여_90~99세,"1,383",87,151,37,66,44,84,31,29,75,54,46,85,31,72,77,43,72,42,52,49,95,61
2021년03월_여_100세 이상,54,2,8,2,5,0,2,3,0,2,1,2,4,1,2,3,4,5,2,3,0,3,0
