,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020년03월_남_10~19세,"13,168",321,253,968,815,810,324,507,644,936,"1,073","1,080",374,515,696,733,507,472,"1,334",250,556
2020년03월_남_20~29세,"25,481","1,472",958,"1,099","1,160","1,440","1,156","1,782","1,590","1,274","1,180","1,650",637,722,"1,785","1,141","1,469",855,"2,019",960,"1,132"
2020년03월_남_30~39세,"24,139","1,308",937,"1,167","1,030","1,231","1,085","1,624","1,575","1,517",948,"1,328",866,745,"1,289",971,"1,401",689,"1,823","1,045","1,560"
2020년03월_남_40~49세,"26,189",993,791,"1,655","1,438","1,528",918,"1,247","1,523","1,931","1,487","1,781",759,947,"1,512","1,168","1,263",828,"2,134",813,"1,473"
2020년03월_남_50~59세,"28,559","1,379",758,"1,483","1,676","1,736",870,"1,186","1,484","1,783","1,730","2,212",750,"1,141","1,730","1,369","1,257",986,"2,626",891,"1,512"
2020년03월_남_60~69세,"25,488","1,177",632,"1,470","1,765","1,367",767,"1,034","1,487","1,534","1,262","1,845",704,874,"1,566","1,349",939,875,"2,356",794,"1,691"
2020년03월_남_70~79세,"13,699",622,257,848,"1,137",708,442,611,914,893,638,892,409,461,859,770,548,501,938,405,846
2020년03월_남_80~89세,"4,428",183,80,294,380,274,146,227,328,238,188,306,125,128,250,224,160,158,333,145,261
2020년03월_남_90~99세,355,17,13,22,24,21,13,21,18,25,15,31,10,9,16,21,8,11,18,15,27
2020년03월_남_100세 이상,46,3,0,2,1,4,4,3,3,7,3,1,1,2,0,3,0,1,1,1,6
2020년03월_여_총인구수,"184,027","7,709","5,120","10,852","10,556","10,732","7,151","9,529","11,366","11,664","9,319","12,790","5,387","6,172","10,213","8,616","8,972","6,005","15,514","6,130","10,230"
2020년03월_여_연령구간인구수,"184,027","7,709","5,120","10,852","10,556","10,732","7,151","9,529","11,366","11,664","9,319","12,790","5,387","6,172","10,213","8,616","8,972","6,005","15,514","6,130","10,230"
2020년03월_여_0~9세,"10,744",323,292,792,456,631,302,489,519,999,613,674,396,375,503,517,616,374,965,274,634
2020년03월_여_10~19세,"12,569",286,259,952,663,815,356,534,607,875,955,"1,060",365,526,632,648,531,462,"1,327",239,477
2020년03월_여_20~29세,"26,023","1,651","1,044",947,"1,027","1,433","1,735","2,158","1,809","1,173",961,"1,392",637,611,"1,518",979,"1,838",776,"1,826","1,292","1,216"
2020년03월_여_30~39세,"23,255","1,102",864,"1,176",955,"1,249","1,225","1,541","1,632","1,572",931,"1,180",823,725,"1,087",953,"1,393",580,"1,768","1,021","1,478"
2020년03월_여_40~49세,"25,639",828,704,"1,756","1,406","1,562",911,"1,204","1,543","1,825","1,555","1,927",764,925,"1,318","1,180","1,205",840,"2,239",734,"1,213"
2020년03월_여_50~59세,"30,594","1,193",835,"1,753","1,834","1,917",865,"1,168","1,666","1,948","1,755","2,418",829,"1,191","1,826","1,534","1,325","1,034","3,007",863,"1,633"
2020년03월_여_60~69세,"28,472","1,185",641,"1,774","2,113","1,556",870,"1,138","1,797","1,658","1,380","2,129",844,941,"1,746","1,536","1,121",977,"2,417",853,"1,796"
2020년03월_여_70~79세,"17,480",738,300,"1,138","1,397",989,580,820,"1,190","1,093",783,"1,248",487,576,"1,092",860,633,646,"1,211",536,"1,163"
2020년03월_여_80~89세,"7,936",338,140,487,609,505,257,402,526,433,327,653,213,260,421,344,267,285,655,275,539
2020년03월_여_90~99세,"1,138",54,34,73,85,67,45,63,68,64,51,98,23,36,62,58,41,29,90,36,61
2020년03월_여_100세 이상,177,11,7,4,11,8,5,12,9,24,8,11,6,6,8,7,2,2,9,7,20
