카테고리,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년07월_여_총인구수,"202,031","18,273","10,694","11,879","11,528","10,285","15,080","4,058","11,366","13,592","17,064","15,967","10,427","11,665","19,865","12,000","8,288"
2021년07월_여_연령구간인구수,"202,031","18,273","10,694","11,879","11,528","10,285","15,080","4,058","11,366","13,592","17,064","15,967","10,427","11,665","19,865","12,000","8,288"
2021년07월_여_0~9세,"13,084","1,736",868,402,599,356,865,110,625,854,"1,090",981,580,609,"1,454",677,"1,278"
2021년07월_여_10~19세,"14,333","1,728",912,656,696,518,760,122,917,"1,054","1,151","1,131",650,586,"1,932",885,635
2021년07월_여_20~29세,"27,782","2,150","1,457","1,536","2,133","1,509","2,868",701,"1,511","1,705","2,219","1,881","1,239","2,292","2,277","1,469",835
2021년07월_여_30~39세,"30,084","3,149","1,865","1,267","2,211","1,364","2,742",502,"1,340","1,564","2,418","2,155","1,274","2,142","2,581","1,578","1,932"
2021년07월_여_40~49세,"30,181","3,318","1,790","1,562","1,781","1,382","2,006",468,"1,653","2,091","2,387","2,302","1,485","1,496","3,255","1,892","1,313"
2021년07월_여_50~59세,"31,413","2,547","1,576","2,179","1,438","1,708","2,218",716,"1,965","2,372","2,886","2,548","1,830","1,505","2,925","2,045",955
2021년07월_여_60~69세,"30,125","2,157","1,441","2,121","1,401","1,713","1,966",735,"1,862","2,074","2,714","2,810","1,906","1,580","2,839","1,932",874
2021년07월_여_70~79세,"16,750",967,497,"1,461",847,"1,149","1,118",439,987,"1,247","1,492","1,525",965,958,"1,762","1,040",296
2021년07월_여_80~89세,"7,112",440,239,596,372,522,470,228,433,548,603,548,437,417,711,412,136
2021년07월_여_90~99세,"1,131",80,46,95,49,64,66,35,72,79,101,83,58,76,127,69,31
2021년07월_여_100세 이상,36,1,3,4,1,0,1,2,1,4,3,3,3,4,2,1,3
