,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년06월_계_80~89세,"13,594","1,520",957,628,520,476,253,486,439,452,"1,009",834,344,277,630,233,352,717,410,186,982,"1,038",236,615
2020년06월_계_90~99세,"1,907",195,144,91,104,55,24,78,60,73,126,115,50,44,99,46,57,87,58,25,131,137,31,77
2020년06월_계_100세 이상,237,50,10,4,8,5,2,6,2,3,17,18,6,5,13,11,22,11,15,3,8,13,0,5
2020년06월_남_총인구수,"270,183","14,113","22,448","14,338","13,708","6,237","1,991","10,492","3,581","2,859","22,537","13,068","10,137","6,446","10,970","3,629","2,926","11,669","5,557","2,178","38,794","26,386","12,871","13,248"
2020년06월_남_연령구간인구수,"270,183","14,113","22,448","14,338","13,708","6,237","1,991","10,492","3,581","2,859","22,537","13,068","10,137","6,446","10,970","3,629","2,926","11,669","5,557","2,178","38,794","26,386","12,871","13,248"
2020년06월_남_0~9세,"24,774",828,"2,074","1,028","2,152",270,54,"1,163",183,85,"1,591",722,"1,192",349,839,289,97,611,284,67,"5,015","2,916","1,818","1,147"
2020년06월_남_10~19세,"27,259",915,"3,013","1,077","1,526",454,123,851,255,162,"2,639","1,257",902,459,"1,130",265,161,925,373,122,"4,432","3,278","1,539","1,401"
2020년06월_남_20~29세,"38,937","1,696","3,098","1,916","1,239",915,214,"1,639",411,270,"3,956","2,017","1,355","1,266","1,602",570,397,"2,111",881,353,"5,327","3,813","1,731","2,160"
2020년06월_남_30~39세,"42,413","1,693","3,098","2,629","2,531",850,220,"1,988",376,225,"2,974","1,747","1,780","1,246","1,347",662,386,"1,656",888,241,"7,484","4,083","2,416","1,893"
2020년06월_남_40~49세,"48,529","2,205","4,453","3,018","2,880",994,297,"1,772",535,395,"3,892","2,252","1,922","1,137","1,937",646,489,"1,816",830,299,"7,466","4,476","2,670","2,148"
2020년06월_남_50~59세,"44,741","2,823","3,702","2,427","1,618","1,172",396,"1,517",766,606,"4,105","2,489","1,647","1,005","2,061",569,537,"2,177","1,021",460,"5,284","4,213","1,695","2,451"
2020년06월_남_60~69세,"25,898","2,116","1,825","1,368","1,029",908,385,924,558,558,"2,083","1,479",870,591,"1,263",363,443,"1,394",727,350,"2,461","2,255",679,"1,269"
2020년06월_남_70~79세,"12,311","1,206",833,644,546,497,211,449,336,387,942,768,334,274,531,168,271,676,390,209,969,899,241,530
2020년06월_남_80~89세,"4,744",568,316,212,160,164,85,173,139,153,317,286,119,107,226,79,118,271,144,69,325,410,75,228
2020년06월_남_90~99세,505,48,36,19,26,12,5,13,22,18,31,42,14,11,28,13,18,29,15,8,29,41,7,20
2020년06월_남_100세 이상,72,15,0,0,1,1,1,3,0,0,7,9,2,1,6,5,9,3,4,0,2,2,0,1
2020년06월_여_총인구수,"253,698","13,480","21,422","9,750","12,211","5,137","1,643","9,472","3,186","2,560","21,491","12,877","9,337","5,701","11,052","3,666","2,850","11,129","5,194","1,975","37,718","26,736","11,961","13,150"
2020년06월_여_연령구간인구수,"253,698","13,480","21,422","9,750","12,211","5,137","1,643","9,472","3,186","2,560","21,491","12,877","9,337","5,701","11,052","3,666","2,850","11,129","5,194","1,975","37,718","26,736","11,961","13,150"
2020년06월_여_0~9세,"23,733",751,"2,136","1,022","1,964",259,62,"1,168",153,77,"1,495",720,"1,136",356,851,283,80,545,297,66,"4,736","2,789","1,696","1,091"
2020년06월_여_10~19세,"25,556",828,"2,933",945,"1,442",387,92,837,246,139,"2,481","1,180",927,488,"1,099",234,145,861,336,98,"4,130","2,927","1,469","1,332"
2020년06월_여_20~29세,"32,297","1,243","2,649","1,068",975,604,142,"1,181",315,193,"3,109","1,686","1,206",987,"1,344",457,321,"1,786",705,261,"5,012","3,588","1,532","1,933"
2020년06월_여_30~39세,"35,895","1,317","2,710","1,382","2,381",486,135,"1,681",251,155,"2,440","1,390","1,576",898,"1,314",550,241,"1,275",642,158,"7,013","3,977","2,242","1,681"
2020년06월_여_40~49세,"43,120","1,751","4,274","1,625","2,169",721,171,"1,441",362,241,"3,883","2,044","1,594",880,"1,800",567,317,"1,658",781,248,"7,164","4,890","2,395","2,144"
2020년06월_여_50~59세,"40,439","2,381","3,083","1,437","1,273",955,301,"1,426",573,445,"3,925","2,431","1,499",883,"2,047",535,493,"2,114",893,386,"5,113","4,310","1,458","2,478"
2020년06월_여_60~69세,"26,381","2,418","1,782","1,132","1,010",842,318,866,554,545,"2,129","1,705",742,594,"1,298",502,524,"1,478",745,378,"2,556","2,294",688,"1,281"
2020년06월_여_70~79세,"15,860","1,657","1,096",647,552,524,234,491,392,408,"1,232","1,091",392,408,817,345,443,900,475,243,"1,229","1,226",296,762
2020년06월_여_80~89세,"8,850",952,641,416,360,312,168,313,300,299,692,548,225,170,404,154,234,446,266,117,657,628,161,387
2020년06월_여_90~99세,"1,402",147,108,72,78,43,19,65,38,55,95,73,36,33,71,33,39,58,43,17,102,96,24,57
2020년06월_여_100세 이상,165,35,10,4,7,4,1,3,2,3,10,9,4,4,7,6,13,8,11,3,6,11,0,4
