,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021년01월_계_80~89세,"8,208",575,392,394,310,372,246,211,337,345,484,393,236,304,143,288,567,199,799,248,361,288,325,391
2021년01월_계_90~99세,"1,169",74,55,56,36,47,45,35,52,43,70,56,51,33,23,39,66,23,123,51,40,56,36,59
2021년01월_계_100세 이상,116,8,5,1,1,4,2,1,1,3,3,5,2,3,1,0,20,3,17,16,7,3,5,5
2021년01월_남_총인구수,"53,748","2,721","2,159","1,428","1,064","1,404",896,914,"1,040","1,291","1,695","1,393",854,"1,199",614,"1,063","8,876","1,482","9,902","1,614","5,137","2,998","1,992","2,012"
2021년01월_남_연령구간인구수,"53,748","2,721","2,159","1,428","1,064","1,404",896,914,"1,040","1,291","1,695","1,393",854,"1,199",614,"1,063","8,876","1,482","9,902","1,614","5,137","2,998","1,992","2,012"
2021년01월_남_0~9세,"3,229",123,80,26,40,35,32,27,22,48,40,26,24,40,15,26,722,69,819,83,516,249,94,73
2021년01월_남_10~19세,"5,113",232,153,84,41,52,38,57,58,50,85,39,33,89,28,42,"1,077",148,"1,372",136,754,253,166,126
2021년01월_남_20~29세,"5,855",215,207,122,71,107,66,77,74,105,139,79,51,95,45,63,"1,235",184,"1,275",188,664,320,239,234
2021년01월_남_30~39세,"4,706",221,169,81,71,129,54,59,59,82,104,107,71,71,34,62,"1,013",115,908,130,508,329,155,174
2021년01월_남_40~49세,"7,748",364,250,144,117,179,104,105,118,145,217,148,96,145,50,117,"1,593",245,"1,601",200,809,514,245,242
2021년01월_남_50~59세,"9,888",490,470,330,216,252,153,201,197,274,332,258,160,242,133,234,"1,556",293,"1,701",262,832,489,426,387
2021년01월_남_60~69세,"8,442",492,425,308,204,314,198,182,219,270,331,321,174,235,163,235,967,220,"1,205",281,575,413,351,359
2021년01월_남_70~79세,"5,789",393,270,196,192,213,168,140,179,199,264,280,150,174,94,181,516,137,725,213,341,304,205,255
2021년01월_남_80~89세,"2,702",169,127,129,104,113,76,57,101,108,156,124,80,103,48,94,176,67,268,107,129,115,99,152
2021년01월_남_90~99세,254,22,8,8,8,8,7,9,13,10,25,11,15,5,4,9,15,3,23,12,8,11,11,9
2021년01월_남_100세 이상,22,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,6,1,5,2,1,1,1,1
2021년01월_여_총인구수,"54,722","2,837","2,134","1,434","1,017","1,396",908,895,"1,073","1,301","1,755","1,390",840,"1,142",607,"1,055","8,643","1,519","10,699","1,765","5,263","3,031","2,127","1,891"
2021년01월_여_연령구간인구수,"54,722","2,837","2,134","1,434","1,017","1,396",908,895,"1,073","1,301","1,755","1,390",840,"1,142",607,"1,055","8,643","1,519","10,699","1,765","5,263","3,031","2,127","1,891"
2021년01월_여_0~9세,"3,065",126,93,30,24,36,20,19,21,36,30,27,26,49,15,30,695,82,805,74,447,223,94,63
2021년01월_여_10~19세,"4,529",145,126,66,32,62,33,44,38,58,80,28,33,51,23,47,947,136,"1,361",137,572,249,157,104
2021년01월_여_20~29세,"4,775",175,175,75,42,45,48,61,42,69,107,57,39,69,29,55,976,159,"1,182",149,553,300,179,189
2021년01월_여_30~39세,"4,145",161,143,62,46,71,30,29,42,62,57,64,34,39,16,39,901,113,990,124,556,305,138,123
2021년01월_여_40~49세,"7,007",275,206,95,67,81,54,70,65,87,137,72,48,98,32,77,"1,555",227,"1,812",175,921,429,240,184
2021년01월_여_50~59세,"8,476",420,368,226,140,192,109,154,137,182,239,172,122,157,104,129,"1,405",249,"1,682",268,856,483,385,297
2021년01월_여_60~69세,"8,583",509,389,272,201,292,194,178,205,256,367,343,157,206,125,213,"1,017",198,"1,329",343,641,451,377,320
2021년01월_여_70~79세,"7,627",560,317,294,230,317,210,159,247,278,364,308,187,241,148,241,691,201,895,301,447,371,302,318
2021년01월_여_80~89세,"5,506",406,265,265,206,259,170,154,236,237,328,269,156,201,95,194,391,132,531,141,232,173,226,239
2021년01월_여_90~99세,915,52,47,48,28,39,38,26,39,33,45,45,36,28,19,30,51,20,100,39,32,45,25,50
2021년01월_여_100세 이상,94,8,5,1,1,2,2,1,1,3,1,5,2,3,1,0,14,2,12,14,6,2,4,4
