,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년03월_남_30~39세,"44,804","3,076","5,401","6,329","1,093","1,314","2,808","1,821",987,389,223,"3,015","1,821","1,236",302,"6,315","2,838","5,836"
2020년03월_남_40~49세,"65,340","5,612","8,987","9,853","1,205","1,914","5,308","2,238","1,701",616,302,"5,308","3,580","1,260",340,"7,325","3,448","6,343"
2020년03월_남_50~59세,"58,462","5,669","8,000","8,606","1,127","2,845","4,832","2,826","1,886","1,029",439,"3,635","2,799","2,029",534,"4,774","2,386","5,046"
2020년03월_남_60~69세,"38,082","3,553","5,067","5,157",866,"1,978","2,622","2,191","1,293",948,436,"1,959","1,454","1,652",614,"3,148","1,450","3,694"
2020년03월_남_70~79세,"19,812","2,250","2,624","2,874",380,874,"1,525",984,753,538,242,"1,185",777,757,246,"1,599",610,"1,594"
2020년03월_남_80~89세,"6,487",735,882,876,138,330,527,336,294,181,90,396,277,279,83,463,183,417
2020년03월_남_90~99세,570,75,84,73,9,33,44,20,32,24,5,33,25,27,5,31,16,34
2020년03월_남_100세 이상,61,9,4,10,1,1,1,1,5,6,3,4,0,5,0,1,6,4
2020년03월_여_총인구수,"353,851","32,331","46,215","50,350","6,761","11,884","26,652","15,113","9,921","4,287","2,032","26,012","17,492","9,508","2,027","38,503","17,938","36,825"
2020년03월_여_연령구간인구수,"353,851","32,331","46,215","50,350","6,761","11,884","26,652","15,113","9,921","4,287","2,032","26,012","17,492","9,508","2,027","38,503","17,938","36,825"
2020년03월_여_0~9세,"32,564","2,171","4,278","4,354",749,520,"2,121",951,663,159,95,"2,751","1,586",412,90,"5,080","2,347","4,237"
2020년03월_여_10~19세,"37,622","3,707","5,559","5,457",576,"1,004","3,351","1,327",948,260,125,"3,280","2,449",605,101,"3,785","1,769","3,319"
2020년03월_여_20~29세,"39,997","3,806","4,966","5,659",692,"1,533","3,006","1,986","1,227",361,199,"2,568","1,984","1,165",216,"4,367","1,819","4,443"
2020년03월_여_30~39세,"46,431","3,231","5,518","6,254","1,055","1,134","2,856","1,673",935,356,198,"3,530","2,049",978,194,"7,015","3,279","6,176"
2020년03월_여_40~49세,"64,261","6,075","8,676","9,530","1,121","1,641","5,217","2,204","1,675",474,253,"5,633","3,709","1,130",195,"6,920","3,411","6,397"
2020년03월_여_50~59세,"56,144","5,515","7,189","7,990","1,049","2,496","4,288","3,057","1,700",825,358,"3,512","2,561","2,035",413,"5,145","2,501","5,510"
2020년03월_여_60~69세,"40,193","3,905","5,203","5,665",861,"1,779","2,849","2,091","1,340",901,412,"2,395","1,596","1,665",423,"3,506","1,663","3,939"
2020년03월_여_70~79세,"23,573","2,568","3,147","3,637",408,"1,080","1,923","1,167",946,551,232,"1,594",979,855,238,"1,714",748,"1,786"
2020년03월_여_80~89세,"11,028","1,135","1,469","1,533",206,591,889,574,406,303,128,621,499,565,132,807,333,837
2020년03월_여_90~99세,"1,889",197,198,249,44,93,147,78,66,94,32,124,76,89,17,154,58,173
2020년03월_여_100세 이상,149,21,12,22,0,13,5,5,15,3,0,4,4,9,8,10,10,8
