,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020년08월_계_80~89세,"12,575",511,501,675,672,505,423,"1,080",792,680,725,756,366,725,336,634,628,644,530,639,456,297
2020년08월_계_90~99세,"1,973",79,92,90,112,90,67,166,124,116,121,103,59,108,45,104,99,99,87,82,79,51
2020년08월_계_100세 이상,178,4,16,5,14,13,13,3,7,11,8,12,3,12,5,11,9,8,11,4,6,3
2020년08월_남_총인구수,"203,663","7,403","7,187","8,648","9,204","9,105","3,978","23,998","15,665","9,503","11,728","13,623","10,827","8,832","4,611","7,086","8,804","11,381","6,415","10,593","7,704","7,368"
2020년08월_남_연령구간인구수,"203,663","7,403","7,187","8,648","9,204","9,105","3,978","23,998","15,665","9,503","11,728","13,623","10,827","8,832","4,611","7,086","8,804","11,381","6,415","10,593","7,704","7,368"
2020년08월_남_0~9세,"14,115",583,570,534,344,727,160,"2,213","1,132",607,896,"1,101",728,492,269,310,434,"1,069",309,685,581,371
2020년08월_남_10~19세,"16,473",485,447,763,502,747,195,"2,547","1,835",942,765,"1,053",456,603,348,434,603,944,543,979,674,608
2020년08월_남_20~29세,"30,270",987,"1,036","1,154","2,410","1,349",505,"3,564","2,218","1,347","1,683","1,790","2,152","1,218",669,924,"1,326","1,478",861,"1,553","1,080",966
2020년08월_남_30~39세,"29,971","1,197","1,324","1,223","1,051","1,548",506,"3,344","1,695","1,181","1,938","2,385","2,468","1,165",576,896,"1,340","1,884",785,"1,381",998,"1,086"
2020년08월_남_40~49세,"33,594","1,223","1,132","1,338","1,239","1,397",620,"4,305","2,731","1,522","1,937","2,230","1,772","1,337",756,"1,055","1,447","2,094","1,027","1,693","1,171","1,568"
2020년08월_남_50~59세,"33,902","1,225","1,136","1,466","1,382","1,375",712,"3,879","2,797","1,659","1,905","2,120","1,596","1,564",789,"1,241","1,553","1,694","1,117","1,899","1,305","1,488"
2020년08월_남_60~69세,"26,208",986,911,"1,169","1,182","1,084",671,"2,513","1,972","1,259","1,473","1,809","1,048","1,353",687,"1,190","1,235","1,275","1,001","1,425","1,158",807
2020년08월_남_70~79세,"14,107",524,450,749,809,673,416,"1,231",964,737,821,836,452,812,387,766,638,666,548,719,552,357
2020년08월_남_80~89세,"4,528",169,167,222,258,180,167,367,286,220,277,276,144,262,112,251,202,254,201,237,164,112
2020년08월_남_90~99세,449,24,11,30,25,21,23,35,31,24,32,19,9,24,16,16,23,20,20,22,20,4
2020년08월_남_100세 이상,46,0,3,0,2,4,3,0,4,5,1,4,2,2,2,3,3,3,3,0,1,1
2020년08월_여_총인구수,"200,697","7,224","7,133","8,558","7,926","8,889","3,629","24,268","15,870","9,780","11,848","13,115","9,908","8,585","4,447","7,140","8,808","11,462","6,739","11,039","7,946","6,383"
2020년08월_여_연령구간인구수,"200,697","7,224","7,133","8,558","7,926","8,889","3,629","24,268","15,870","9,780","11,848","13,115","9,908","8,585","4,447","7,140","8,808","11,462","6,739","11,039","7,946","6,383"
2020년08월_여_0~9세,"13,516",588,532,513,322,636,150,"2,092","1,133",631,851,"1,111",636,477,231,313,432,"1,035",310,668,490,365
2020년08월_여_10~19세,"15,526",449,427,639,488,602,191,"2,401","1,670",888,819,993,455,531,337,451,599,899,474,980,658,575
2020년08월_여_20~29세,"26,925",904,"1,052","1,053","1,396","1,327",349,"3,367","1,948","1,110","1,645","1,635","2,184",972,539,778,"1,217","1,424",731,"1,371","1,029",894
2020년08월_여_30~39세,"25,888",997,"1,094","1,039",753,"1,310",367,"3,297","1,642","1,096","1,751","1,942","1,897","1,016",467,724,"1,070","1,731",676,"1,225",989,805
2020년08월_여_40~49세,"29,987",958,967,"1,239",886,"1,277",417,"4,150","2,867","1,518","1,672","1,892","1,378","1,112",638,894,"1,244","1,854",954,"1,712","1,140","1,218"
2020년08월_여_50~59세,"33,645","1,190","1,133","1,412","1,288","1,347",592,"3,957","2,777","1,727","1,895","2,133","1,537","1,473",754,"1,188","1,564","1,744","1,267","2,092","1,516","1,059"
2020년08월_여_60~69세,"28,465","1,041",911,"1,305","1,327","1,217",730,"2,718","2,065","1,390","1,646","1,807","1,056","1,514",710,"1,383","1,361","1,520","1,178","1,614","1,192",780
2020년08월_여_70~79세,"17,042",696,589,840,953,770,523,"1,439","1,166",862,"1,025","1,030",492,933,515,930,813,781,745,911,576,453
2020년08월_여_80~89세,"8,047",342,334,453,414,325,256,713,506,460,448,480,222,463,224,383,426,390,329,402,292,185
2020년08월_여_90~99세,"1,524",55,81,60,87,69,44,131,93,92,89,84,50,84,29,88,76,79,67,60,59,47
2020년08월_여_100세 이상,132,4,13,5,12,9,10,3,3,6,7,8,1,10,3,8,6,5,8,4,5,2
