카테고리,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020년02월_여_총인구수,"205,391","18,734","10,942","12,469","11,902","10,647","15,398","4,253","11,825","14,191","16,166","16,478","10,945","11,518","20,552","12,310","7,061"
2020년02월_여_연령구간인구수,"205,391","18,734","10,942","12,469","11,902","10,647","15,398","4,253","11,825","14,191","16,166","16,478","10,945","11,518","20,552","12,310","7,061"
2020년02월_여_0~9세,"14,727","1,872",970,500,717,457,978,127,695,"1,001","1,094","1,183",701,650,"1,874",797,"1,111"
2020년02월_여_10~19세,"15,082","1,736",952,714,724,621,850,156,995,"1,162","1,215","1,246",739,626,"1,905",946,495
2020년02월_여_20~29세,"28,227","2,278","1,518","1,606","2,200","1,482","2,886",629,"1,599","1,805","2,020","1,891","1,316","2,172","2,456","1,520",849
2020년02월_여_30~39세,"31,508","3,359","1,962","1,363","2,360","1,499","2,847",496,"1,423","1,735","2,159","2,424","1,525","2,112","2,815","1,658","1,771"
2020년02월_여_40~49세,"31,265","3,367","1,864","1,753","1,827","1,516","2,074",563,"1,822","2,254","2,326","2,440","1,617","1,518","3,371","1,991",962
2020년02월_여_50~59세,"32,440","2,636","1,623","2,345","1,489","1,790","2,333",794,"2,095","2,493","2,816","2,653","1,888","1,562","3,021","2,114",788
2020년02월_여_60~69세,"28,424","2,071","1,319","2,046","1,388","1,649","1,844",748,"1,767","1,972","2,501","2,645","1,804","1,520","2,652","1,822",676
2020년02월_여_70~79세,"16,090",923,472,"1,471",793,"1,121","1,099",447,980,"1,203","1,411","1,418",893,908,"1,691","1,018",242
2020년02월_여_80~89세,"6,435",409,218,558,346,438,419,236,376,487,526,485,400,377,653,371,136
2020년02월_여_90~99세,"1,066",75,42,90,39,62,68,40,69,75,93,85,56,68,109,65,30
2020년02월_여_100세 이상,127,8,2,23,19,12,0,17,4,4,5,8,6,5,5,8,1
