,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 장단면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년10월_여_연령구간인구수,"236,044","23,662","6,367","4,852","14,691","3,226","6,164","5,132","1,820","3,398",348,"10,402","16,863","13,503","23,448","25,778","32,277","44,113"
2021년10월_여_0~9세,"21,223","2,327",284,148,795,85,296,211,35,273,12,504,"1,516","1,087","2,202","2,495","4,228","4,725"
2021년10월_여_10~19세,"24,348","2,352",417,312,"1,358",118,459,277,85,215,26,686,"2,031","1,266","2,750","3,145","3,879","4,972"
2021년10월_여_20~29세,"27,383","2,477",612,470,"1,655",740,630,460,146,331,27,"1,486","2,073","1,740","2,707","3,223","3,334","5,272"
2021년10월_여_30~39세,"32,197","3,391",606,375,"1,326",406,603,395,90,373,29,"1,187","2,126","1,645","3,285","3,748","5,677","6,935"
2021년10월_여_40~49세,"40,035","3,498",732,466,"2,124",272,901,522,144,339,32,"1,415","3,084","2,091","4,461","4,878","6,348","8,728"
2021년10월_여_50~59세,"36,392","3,391","1,123",922,"2,804",510,"1,137","1,001",303,514,63,"1,851","2,619","2,382","3,590","3,868","3,945","6,369"
2021년10월_여_60~69세,"27,041","2,897","1,166",983,"2,365",523,996,"1,044",421,598,58,"1,618","1,685","1,703","2,255","2,407","2,530","3,792"
2021년10월_여_70~79세,"16,049","1,935",751,653,"1,333",301,596,630,302,453,64,983,"1,040",934,"1,276","1,238","1,484","2,076"
2021년10월_여_80~89세,"9,664","1,231",570,455,798,228,451,473,230,246,34,572,587,557,760,651,732,"1,089"
2021년10월_여_90~99세,"1,654",158,101,67,125,43,87,115,63,51,3,97,101,98,158,119,118,150
2021년10월_여_100세 이상,58,5,5,1,8,0,8,4,1,5,0,3,1,0,4,6,2,5
