,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2021년09월_여_연령구간인구수,"298,487","21,560","12,954","10,425","16,169","26,743","9,222","11,183","10,545","17,657","12,757","12,705","18,441","7,451","8,115","19,103","22,465","15,305","22,124","11,787","11,776"
2021년09월_여_0~9세,"18,385","1,934",614,571,796,"1,238",553,546,521,990,572,603,757,237,346,"1,496","1,780","1,676","1,951",583,621
2021년09월_여_10~19세,"21,340","2,177",551,676,925,"1,180",690,798,628,"1,096",701,749,906,208,262,"2,512","2,796","1,051","2,086",667,681
2021년09월_여_20~29세,"46,689","3,033","3,052","1,580","1,916","5,275","1,283","1,715","1,436","3,229","2,351","1,965","5,524",884,897,"2,295","2,754","1,995","2,622","1,708","1,175"
2021년09월_여_30~39세,"48,545","3,834","3,163","1,706","2,228","4,904","1,346","1,560","1,520","2,994","2,095","1,911","4,320","1,147","1,539","2,166","2,718","2,783","3,141","1,768","1,702"
2021년09월_여_40~49세,"44,541","3,880","1,606","1,516","2,016","3,507","1,489","1,647","1,554","2,647","1,735","1,898","2,142",687,866,"3,664","4,464","2,355","3,713","1,509","1,646"
2021년09월_여_50~59세,"43,852","3,019","1,592","1,772","2,753","3,807","1,458","1,680","1,725","2,529","2,045","1,987","2,137","1,078","1,155","2,967","3,333","2,030","3,258","1,748","1,779"
2021년09월_여_60~69세,"42,498","2,217","1,235","1,560","2,910","3,981","1,411","1,858","1,814","2,467","1,986","2,046","1,688","1,670","1,555","2,207","2,730","1,927","3,088","2,011","2,137"
2021년09월_여_70~79세,"20,830",958,611,678,"1,389","1,958",701,913,909,"1,167",817,"1,103",587,874,928,"1,191","1,320",948,"1,449","1,114","1,215"
2021년09월_여_80~89세,"9,777",434,429,294,"1,017",760,237,392,370,440,372,377,316,559,470,482,466,440,680,579,663
2021년09월_여_90~99세,"1,961",71,99,72,210,127,54,67,67,94,81,63,62,105,95,117,100,98,131,98,150
2021년09월_여_100세 이상,69,3,2,0,9,6,0,7,1,4,2,3,2,2,2,6,4,2,5,2,7
