,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년08월_남_연령구간인구수,"254,936","7,464","10,566","9,952","12,225","12,277","6,424","14,096","12,218","18,389","9,458","17,285","16,931","10,229","15,493","3,130","12,286","11,514","20,582","11,550","7,504","8,577","6,786"
2021년08월_남_0~9세,"18,209",483,325,548,996,"1,114",436,"1,211",960,"1,060",330,484,"1,385",823,"1,402",187,"1,107",853,"2,049","1,115",358,667,316
2021년08월_남_10~19세,"30,765",790,410,667,"1,327","1,173",714,"1,912","3,047","3,593","1,353",756,"2,623","1,104","2,113",298,"1,528","1,147","2,318","1,912",642,"1,063",275
2021년08월_남_20~29세,"34,086",993,"2,004","1,520","1,412","1,661",944,"1,799","1,236","2,473","1,614","3,231","1,858","1,346","1,752",355,"1,613","1,644","2,493","1,320","1,074",976,768
2021년08월_남_30~39세,"35,978",978,"2,663","1,971","1,325","1,778",885,"2,021",571,"1,456","1,491","4,927","2,127","1,359","1,372",298,"1,356","1,756","2,894","1,270","1,179","1,211","1,090"
2021년08월_남_40~49세,"45,356","1,225","1,882","1,834","2,081","2,153",984,"2,802","2,502","2,930","1,688","3,102","3,902","1,787","2,834",433,"2,068","1,871","3,831","2,022","1,066","1,490",869
2021년08월_남_50~59세,"40,606","1,236","1,410","1,449","2,027","1,879","1,041","2,192","2,204","3,319","1,639","2,208","2,767","1,721","2,775",518,"2,119","1,958","2,915","1,821","1,161","1,267",980
2021년08월_남_60~69세,"27,924",826,999,992,"1,408","1,398",775,"1,137",940,"2,176",717,"1,495","1,182","1,253","1,726",552,"1,575","1,451","2,288","1,357","1,156","1,111","1,410"
2021년08월_남_70~79세,"16,208",604,630,719,"1,121",805,472,738,562,"1,090",468,786,793,604,"1,087",367,738,644,"1,299",569,671,635,806
2021년08월_남_80~89세,"5,262",300,219,229,483,290,154,263,178,267,151,278,274,201,394,110,168,173,430,145,176,141,238
2021년08월_남_90~99세,513,29,24,20,45,25,18,19,16,24,7,17,20,30,37,11,12,16,60,18,18,15,32
2021년08월_남_100세 이상,29,0,0,3,0,1,1,2,2,1,0,1,0,1,1,1,2,1,5,1,3,1,2
2021년08월_여_총인구수,"277,882","8,612","11,891","11,338","14,236","13,980","6,621","15,364","12,068","17,856","10,609","18,335","19,178","11,386","17,882","3,289","13,138","12,234","22,885","11,874","7,800","9,132","8,174"
2021년08월_여_연령구간인구수,"277,882","8,612","11,891","11,338","14,236","13,980","6,621","15,364","12,068","17,856","10,609","18,335","19,178","11,386","17,882","3,289","13,138","12,234","22,885","11,874","7,800","9,132","8,174"
2021년08월_여_0~9세,"17,093",429,359,519,"1,061",938,390,"1,026",814,906,355,474,"1,354",874,"1,358",164,"1,043",826,"2,036",927,346,597,297
2021년08월_여_10~19세,"28,251",811,464,636,"1,411","1,056",512,"1,547","2,385","2,450","1,184",751,"2,867","1,255","2,671",278,"1,609","1,138","2,369","1,420",495,660,282
2021년08월_여_20~29세,"37,441","1,142","2,484","1,892","1,604","2,025",837,"1,991","1,170","2,060","1,763","4,226","2,541","1,502","2,090",350,"1,567","1,621","2,778","1,205","1,037",838,718
2021년08월_여_30~39세,"42,421","1,231","2,941","2,355","1,774","2,383",993,"2,672",852,"1,763","1,796","5,071","2,765","1,692","1,983",348,"1,595","1,887","3,399","1,487","1,042","1,313","1,079"
2021년08월_여_40~49세,"52,559","1,576","1,934","2,016","2,534","2,543","1,126","3,370","3,286","3,915","2,255","3,017","4,554","2,046","3,584",473,"2,397","2,103","4,026","2,417","1,017","1,584",786
2021년08월_여_50~59세,"40,264","1,270","1,420","1,502","2,134","2,082","1,126","2,130","1,748","3,105","1,591","1,949","2,321","1,727","2,749",509,"2,188","1,994","3,068","1,893","1,236","1,329","1,193"
2021년08월_여_60~69세,"32,931",980,"1,241","1,271","1,791","1,632",926,"1,351","1,035","2,181",861,"1,594","1,464","1,326","1,897",640,"1,728","1,667","2,806","1,607","1,429","1,512","1,992"
2021년08월_여_70~79세,"18,093",776,711,789,"1,271",904,480,914,537,"1,070",596,867,955,621,"1,047",349,695,697,"1,395",566,747,912,"1,194"
2021년08월_여_80~89세,"7,016",321,281,292,529,330,185,290,182,327,166,308,289,283,395,132,239,238,802,249,358,321,499
2021년08월_여_90~99세,"1,710",71,51,64,118,80,44,66,56,75,41,69,61,57,101,40,73,59,204,100,89,60,131
2021년08월_여_100세 이상,103,5,5,2,9,7,2,7,3,4,1,9,7,3,7,6,4,4,2,3,4,6,3
