,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 배곧1동,경기도 시흥시 배곧2동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2021년07월_남_50~59세,"46,969","4,250","4,124","1,168","4,295","1,385","2,907","2,153","1,478","2,398","2,622","3,323","2,633","2,163",0,"2,197","2,218",289,"2,557","2,728","2,081"
2021년07월_남_60~69세,"27,369","3,062","2,834",968,"2,671",927,"2,363","1,479",878,"1,168","1,247","1,517","1,415",912,0,"1,117",914,350,"1,228","1,217","1,102"
2021년07월_남_70~79세,"9,086",948,928,361,876,399,901,591,398,343,335,432,398,275,0,262,219,132,468,408,412
2021년07월_남_80~89세,"3,082",329,268,132,252,146,239,222,141,89,112,192,148,147,0,67,59,35,208,140,156
2021년07월_남_90~99세,288,28,27,19,25,18,27,14,9,6,6,20,10,14,0,8,4,6,13,14,20
2021년07월_남_100세 이상,30,1,3,5,1,1,4,3,2,1,2,0,1,0,0,0,0,2,2,1,1
2021년07월_여_총인구수,"244,561","22,175","17,524","4,737","28,137","5,764","20,879","10,463","7,724","7,555","9,197","14,748","10,066","10,716",0,"17,965","16,805",757,"11,712","15,586","12,051"
2021년07월_여_연령구간인구수,"244,561","22,175","17,524","4,737","28,137","5,764","20,879","10,463","7,724","7,555","9,197","14,748","10,066","10,716",0,"17,965","16,805",757,"11,712","15,586","12,051"
2021년07월_여_0~9세,"24,007","1,715",749,210,"3,605",340,"2,857",717,692,557,637,"1,173",840,772,0,"2,969","2,330",22,821,"1,811","1,190"
2021년07월_여_10~19세,"24,501","1,693","1,489",347,"2,833",550,"1,662","1,052",717,551,937,"1,697","1,007","1,299",0,"2,115","1,946",22,"1,345","1,901","1,338"
2021년07월_여_20~29세,"32,091","3,190","2,672",619,"3,257",700,"2,050","1,276",889,"1,116","1,348","2,183","1,291","1,727",0,"1,774","2,530",59,"1,749","1,979","1,682"
2021년07월_여_30~39세,"36,503","3,363","1,755",418,"4,977",499,"4,079","1,125","1,104","1,265","1,224","1,790","1,291","1,197",0,"3,607","3,383",56,"1,238","2,387","1,745"
2021년07월_여_40~49세,"42,518","3,180","2,434",611,"4,769",887,"3,479","1,704","1,424","1,362","1,696","2,719","1,797","1,985",0,"3,669","3,389",53,"2,089","3,113","2,158"
2021년07월_여_50~59세,"42,341","4,350","3,940","1,045","4,397","1,122","2,839","1,942","1,229","1,382","1,713","2,945","1,977","2,179",0,"2,261","2,053",164,"2,342","2,465","1,996"
2021년07월_여_60~69세,"24,205","2,699","2,503",810,"2,585",813,"2,324","1,437",947,788,948,"1,219","1,057",803,0,"1,058",800,218,"1,083","1,074","1,039"
2021년07월_여_70~79세,"10,837","1,119","1,175",394,"1,001",482,941,730,457,313,416,598,473,442,0,336,234,96,606,509,515
2021년07월_여_80~89세,"6,323",718,689,244,588,321,530,398,223,184,229,370,263,280,0,152,110,50,366,289,319
2021년07월_여_90~99세,"1,159",140,97,35,121,48,107,74,40,35,48,51,69,31,0,23,30,15,70,57,68
2021년07월_여_100세 이상,76,8,21,4,4,2,11,8,2,2,1,3,1,1,0,1,0,2,3,1,1
