,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2021년01월_남_0~9세,"11,179",54,204,293,94,314,480,"1,089",818,629,459,"1,260",299,564,197,672,"1,401","1,552",800
2021년01월_남_10~19세,"16,496",82,194,377,161,302,656,"1,603","1,217",896,563,"1,413",576,896,225,"1,133","2,211","2,771","1,220"
2021년01월_남_20~29세,"23,245",234,269,803,444,590,896,"2,647","2,395","2,126","1,392","1,315",874,"1,187",392,"1,591","2,210","2,843","1,037"
2021년01월_남_30~39세,"18,448",191,297,825,339,552,780,"2,176","1,924","1,577","1,218","1,452",555,869,387,"1,012","1,479","2,060",755
2021년01월_남_40~49세,"23,385",268,400,781,380,735,931,"2,223","2,015","1,654","1,190","1,811",700,"1,023",387,"1,323","2,563","3,419","1,582"
2021년01월_남_50~59세,"24,293",345,334,906,443,817,956,"2,592","2,006","1,987","1,142","1,434",789,"1,147",654,"1,793","2,560","3,168","1,220"
2021년01월_남_60~69세,"16,229",350,326,696,388,607,452,"1,379","1,230","1,618",816,"1,102",732,"1,231",512,"1,420","1,101","1,566",703
2021년01월_남_70~79세,"8,572",307,213,559,265,355,200,639,697,885,538,551,398,541,237,613,514,732,328
2021년01월_남_80~89세,"2,924",117,62,199,110,107,107,282,182,288,241,141,129,160,78,190,178,275,78
2021년01월_남_90~99세,270,7,5,14,4,17,11,27,21,24,21,12,15,16,8,14,17,29,8
2021년01월_남_100세 이상,8,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
2021년01월_여_총인구수,"150,987","2,024","2,422","5,582","2,450","4,199","5,283","15,965","12,575","12,325","8,271","10,441","5,206","8,131","2,867","10,756","14,852","19,075","8,563"
2021년01월_여_연령구간인구수,"150,987","2,024","2,422","5,582","2,450","4,199","5,283","15,965","12,575","12,325","8,271","10,441","5,206","8,131","2,867","10,756","14,852","19,075","8,563"
2021년01월_여_0~9세,"10,344",43,176,287,82,256,386,"1,089",848,563,414,"1,125",253,496,191,595,"1,254","1,493",793
2021년01월_여_10~19세,"14,882",68,168,287,103,312,625,"1,492","1,256",825,529,980,455,717,194,967,"2,187","2,492","1,225"
2021년01월_여_20~29세,"22,087",190,224,850,426,539,790,"2,859","2,323","2,254","1,693","1,133",696,992,339,"1,438","1,856","2,622",863
2021년01월_여_30~39세,"18,029",156,305,725,255,474,664,"2,195","1,701","1,369","1,141","1,552",506,852,322,"1,045","1,674","2,142",951
2021년01월_여_40~49세,"25,229",175,327,748,300,582,952,"2,708","1,972","1,574","1,078","1,862",722,"1,202",363,"1,656","3,154","4,024","1,830"
2021년01월_여_50~59세,"25,245",316,346,844,443,780,827,"2,826","1,981","2,086","1,220","1,546",947,"1,513",539,"2,147","2,509","3,098","1,277"
2021년01월_여_60~69세,"18,274",422,448,851,412,629,484,"1,385","1,400","1,803","1,087","1,305",863,"1,380",437,"1,565","1,216","1,620",967
2021년01월_여_70~79세,"10,717",440,292,632,277,390,343,887,722,"1,174",683,632,477,618,254,812,632,"1,012",440
2021년01월_여_80~89세,"5,152",179,114,300,129,193,177,466,306,564,356,242,224,299,175,464,304,487,173
2021년01월_여_90~99세,961,29,22,55,22,37,34,57,62,100,67,62,59,57,47,64,59,85,43
2021년01월_여_100세 이상,67,6,0,3,1,7,1,1,4,13,3,2,4,5,6,3,7,0,1
