,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2021년02월_남_100세 이상,35,0,1,3,5,2,1,1,0,3,3,0,1,3,0,0,4,6,2
2021년02월_여_총인구수,"150,416",246,"1,697","5,087","7,205","7,426","5,478","9,497","5,640","3,955","16,767","6,742","13,225","7,448","10,875","6,478","16,358","25,339",953
2021년02월_여_연령구간인구수,"150,416",246,"1,697","5,087","7,205","7,426","5,478","9,497","5,640","3,955","16,767","6,742","13,225","7,448","10,875","6,478","16,358","25,339",953
2021년02월_여_0~9세,"11,114",0,44,177,345,406,439,625,446,169,"1,391",505,"1,106",490,682,474,"1,477","2,308",30
2021년02월_여_10~19세,"14,736",7,101,294,471,624,558,842,675,242,"2,008",586,"1,594",539,917,695,"2,091","2,459",33
2021년02월_여_20~29세,"18,034",28,183,619,911,835,622,"1,169",694,576,"2,027",783,"1,528",861,"1,241",828,"1,748","3,298",83
2021년02월_여_30~39세,"20,073",34,171,524,852,854,631,"1,166",738,480,"2,038","1,165","1,478","1,204","1,448",986,"2,097","4,115",92
2021년02월_여_40~49세,"25,869",25,228,675,985,"1,159",939,"1,451","1,087",571,"3,230","1,159","2,550","1,226","1,783","1,240","3,180","4,296",85
2021년02월_여_50~59세,"24,888",63,299,988,"1,266","1,306",902,"1,681",932,799,"2,798","1,073","2,215","1,175","1,734","1,060","2,449","3,977",171
2021년02월_여_60~69세,"19,887",57,351,981,"1,304","1,231",775,"1,479",618,616,"1,945",859,"1,578",994,"1,428",663,"1,928","2,854",226
2021년02월_여_70~79세,"9,818",18,215,552,712,648,395,702,283,304,799,419,711,520,945,328,853,"1,291",123
2021년02월_여_80~89세,"4,994",7,94,236,295,310,179,324,138,159,443,167,378,364,584,175,434,617,90
2021년02월_여_90~99세,894,3,8,38,50,49,30,52,28,35,83,24,81,62,105,28,88,115,15
2021년02월_여_100세 이상,109,4,3,3,14,4,8,6,1,4,5,2,6,13,8,1,13,9,5
