,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020년11월_계_80~89세,"14,167",688,814,457,559,704,448,451,607,805,686,856,808,454,"1,476",835,694,692,561,377,"1,195"
2020년11월_계_90~99세,"2,057",135,107,74,76,127,59,65,78,114,120,131,128,63,239,96,96,90,80,49,130
2020년11월_계_100세 이상,379,15,33,18,13,10,14,15,14,18,9,23,27,18,43,24,11,15,28,14,17
2020년11월_남_총인구수,"211,289","7,916","11,262","6,551","7,169","11,697","7,666","7,663","9,035","11,368","7,697","12,422","17,328","8,261","19,655","13,030","9,579","9,870","6,837","8,652","17,631"
2020년11월_남_연령구간인구수,"211,289","7,916","11,262","6,551","7,169","11,697","7,666","7,663","9,035","11,368","7,697","12,422","17,328","8,261","19,655","13,030","9,579","9,870","6,837","8,652","17,631"
2020년11월_남_0~9세,"14,826",372,607,285,412,"1,042",225,496,762,773,314,906,"2,080",786,"1,417","1,071",587,443,298,911,"1,039"
2020년11월_남_10~19세,"18,978",655,"1,010",424,656,"1,443",449,472,897,975,518,"1,139","2,370",745,"2,003","1,262",759,818,459,726,"1,198"
2020년11월_남_20~29세,"32,275","1,292","1,907","1,428",966,"1,483","2,656","1,350","1,155","1,636","1,731","1,676","1,653","1,031","3,099","1,464","1,522","1,561",954,"1,117","2,594"
2020년11월_남_30~39세,"29,908","1,191","1,643","1,169",987,"1,416","1,135","1,344","1,314","1,605","1,072","1,615","2,156","1,231","2,620","1,771","1,416","1,354",904,"1,377","2,588"
2020년11월_남_40~49세,"34,550","1,223","1,821",978,"1,037","2,147",878,"1,235","1,603","1,802",970,"2,093","3,814","1,418","3,204","2,318","1,453","1,418","1,051","1,401","2,686"
2020년11월_남_50~59세,"34,277","1,324","1,858",953,"1,306","1,955","1,025","1,222","1,403","1,814","1,168","2,022","2,539","1,376","3,178","2,114","1,551","1,837","1,254","1,414","2,964"
2020년11월_남_60~69세,"25,700",956,"1,305",648,"1,006","1,272",691,890,"1,035","1,536",999,"1,627","1,474",985,"2,250","1,699","1,276","1,438","1,033","1,013","2,567"
2020년11월_남_70~79세,"14,693",574,768,466,564,632,423,471,605,874,634,964,914,496,"1,254",972,716,719,640,528,"1,479"
2020년11월_남_80~89세,"5,459",284,305,171,205,272,168,170,235,321,258,344,296,170,547,330,277,255,221,154,476
2020년11월_남_90~99세,528,38,30,23,25,33,12,8,24,30,31,32,25,18,70,23,21,23,21,9,32
2020년11월_남_100세 이상,95,7,8,6,5,2,4,5,2,2,2,4,7,5,13,6,1,4,2,2,8
2020년11월_여_총인구수,"226,762","9,022","12,385","9,049","8,161","12,905","7,521","8,168","9,695","12,139","7,865","13,260","19,088","8,834","20,211","13,918","10,366","10,365","6,994","8,834","17,982"
2020년11월_여_연령구간인구수,"226,762","9,022","12,385","9,049","8,161","12,905","7,521","8,168","9,695","12,139","7,865","13,260","19,088","8,834","20,211","13,918","10,366","10,365","6,994","8,834","17,982"
2020년11월_여_0~9세,"14,209",415,566,291,437,"1,008",220,497,665,752,315,811,"1,970",692,"1,330","1,037",539,481,314,883,986
2020년11월_여_10~19세,"18,328",556,921,528,695,"1,419",405,497,932,927,475,"1,045","2,487",679,"1,694","1,367",738,763,441,697,"1,062"
2020년11월_여_20~29세,"34,703","1,515","2,353","3,046","1,114","1,533","2,424","1,380","1,154","1,607","1,422","1,575","1,824","1,111","2,766","1,575","2,064","1,480",958,"1,163","2,639"
2020년11월_여_30~39세,"30,196","1,322","1,709","1,351","1,010","1,623",895,"1,295","1,369","1,543",833,"1,734","2,607","1,308","2,640","1,840","1,325","1,117",794,"1,440","2,441"
2020년11월_여_40~49세,"35,554","1,349","1,902","1,062","1,176","2,407",822,"1,195","1,687","1,852","1,004","2,130","4,144","1,554","3,288","2,288","1,420","1,492",920,"1,369","2,493"
2020년11월_여_50~59세,"35,231","1,465","1,818",984,"1,427","2,112","1,039","1,336","1,436","1,946","1,219","2,155","2,435","1,403","3,188","2,167","1,493","2,006","1,203","1,343","3,056"
2020년11월_여_60~69세,"29,085","1,106","1,443",820,"1,170","1,438",794,998,"1,203","1,793","1,209","1,959","1,801","1,105","2,506","1,847","1,379","1,574","1,145","1,091","2,704"
2020년11월_여_70~79세,"18,935",785,"1,062",618,719,831,585,622,811,"1,135",864,"1,221","1,185",640,"1,671","1,201",906,937,794,573,"1,775"
2020년11월_여_80~89세,"8,708",404,509,286,354,432,280,281,372,484,428,512,512,284,929,505,417,437,340,223,719
2020년11월_여_90~99세,"1,529",97,77,51,51,94,47,57,54,84,89,99,103,45,169,73,75,67,59,40,98
2020년11월_여_100세 이상,284,8,25,12,8,8,10,10,12,16,7,19,20,13,30,18,10,11,26,12,9
