,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년06월_남_연령구간인구수,"162,398","3,426","37,822","2,177","11,328","10,641","11,943","2,959","3,624","1,657","2,300","10,459","5,007","5,621","18,338","9,446","11,145","14,505"
2020년06월_남_0~9세,"17,404",201,"4,919",117,"1,578","1,329","1,281",75,159,39,56,899,480,231,"2,183",846,"1,262","1,749"
2020년06월_남_10~19세,"17,590",253,"4,697",189,"1,479",879,704,162,212,59,92,"1,050",389,446,"2,437","1,278","1,458","1,806"
2020년06월_남_20~29세,"19,918",337,"4,808",178,"1,485","1,238","1,461",275,361,111,213,"1,349",567,979,"2,327","1,216","1,532","1,481"
2020년06월_남_30~39세,"26,100",396,"7,056",138,"2,085","2,019","2,784",245,425,122,183,"1,336","1,021",717,"2,644","1,099","1,642","2,188"
2020년06월_남_40~49세,"30,111",522,"7,421",332,"2,510","1,984","2,115",364,618,189,244,"1,880",859,808,"3,527","1,772","2,085","2,881"
2020년06월_남_50~59세,"24,533",631,"4,907",428,"1,353","1,482","1,704",591,763,305,499,"1,789",715,"1,055","2,709","1,634","1,696","2,272"
2020년06월_남_60~69세,"15,187",554,"2,465",391,479,"1,053","1,169",637,571,366,487,"1,209",540,770,"1,456",910,853,"1,277"
2020년06월_남_70~79세,"7,881",339,"1,106",272,248,472,502,377,317,290,327,649,310,440,742,478,427,585
2020년06월_남_80~89세,"3,359",178,399,121,103,171,207,212,181,161,189,272,112,158,287,188,176,244
2020년06월_남_90~99세,280,13,36,11,8,14,16,18,16,10,10,25,9,15,25,22,13,19
2020년06월_남_100세 이상,35,2,8,0,0,0,0,3,1,5,0,1,5,2,1,3,1,3
2020년06월_여_총인구수,"150,656","3,154","35,609","2,065","9,629","9,114","9,412","2,645","2,925","1,523","2,188","9,629","4,540","5,273","18,487","9,051","10,676","14,736"
2020년06월_여_연령구간인구수,"150,656","3,154","35,609","2,065","9,629","9,114","9,412","2,645","2,925","1,523","2,188","9,629","4,540","5,273","18,487","9,051","10,676","14,736"
2020년06월_여_0~9세,"16,497",203,"4,673",109,"1,501","1,371","1,182",76,151,27,59,839,451,237,"2,065",744,"1,134","1,675"
2020년06월_여_10~19세,"16,601",240,"4,431",165,"1,379",781,713,116,188,61,98,"1,023",345,402,"2,382","1,176","1,310","1,791"
2020년06월_여_20~29세,"15,860",229,"4,172",124,"1,026",779,982,164,202,84,158,"1,010",510,750,"2,130",898,"1,211","1,431"
2020년06월_여_30~39세,"22,854",256,"6,560",123,"1,963","1,656","1,829",147,232,62,132,"1,168",793,502,"2,699","1,020","1,536","2,176"
2020년06월_여_40~49세,"25,277",392,"6,620",258,"1,847","1,364","1,262",233,356,87,167,"1,573",659,707,"3,360","1,677","2,000","2,715"
2020년06월_여_50~59세,"20,945",534,"4,354",335,884,"1,224","1,323",461,526,225,375,"1,440",619,989,"2,529","1,476","1,610","2,041"
2020년06월_여_60~69세,"15,399",564,"2,523",394,488,977,"1,010",567,511,395,446,"1,154",551,832,"1,680","1,008",912,"1,387"
2020년06월_여_70~79세,"9,978",387,"1,397",294,308,520,625,450,383,285,411,835,367,537,"1,040",630,606,903
2020년06월_여_80~89세,"6,187",295,758,219,194,368,403,366,325,253,300,513,191,268,530,360,293,551
2020년06월_여_90~99세,979,52,118,40,38,74,80,63,48,40,39,67,45,41,64,55,55,60
2020년06월_여_100세 이상,79,2,3,4,1,0,3,2,3,4,3,7,9,8,8,7,9,6
