,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2020년11월_남_10~19세,"22,762",110,238,172,55,293,368,"2,068","1,149",482,768,"1,278",374,264,814,"1,021",773,333,741,444,968,"2,539",951,568,454,97,"1,342","2,129","1,969"
2020년11월_남_20~29세,"33,006",433,691,459,241,491,"1,146","3,803","1,338",967,"1,092","1,639",704,392,"1,242","1,319","1,356",610,"1,240",852,"1,309","2,570","1,106","1,003","1,023",144,"1,494","2,738","1,604"
2020년11월_남_30~39세,"28,920",538,460,404,255,566,988,"2,533","1,081",781,768,"1,828",546,429,"1,366",840,"1,067",448,"1,026",719,895,"1,409",851,670,815,129,"1,832","3,121","2,555"
2020년11월_남_40~49세,"33,926",371,483,422,263,620,935,"2,808","1,428",892,886,"1,942",717,501,"1,413","1,171","1,202",563,"1,156",875,"1,187","2,517","1,063",859,830,149,"2,043","3,416","3,214"
2020년11월_남_50~59세,"35,168",387,493,389,335,635,"1,032","3,187","1,478","1,119","1,076","1,781",928,490,"1,528","1,441","1,197",688,"1,441","1,313","1,371","2,761","1,126","1,106","1,171",313,"1,738","2,893","1,751"
2020년11월_남_60~69세,"25,350",372,498,313,300,530,818,"2,117","1,239",977,849,"1,237",948,338,"1,283","1,072",921,574,"1,228","1,331",755,"1,145",772,766,"1,051",294,"1,003","1,765",854
2020년11월_남_70~79세,"13,132",210,328,195,178,410,507,"1,088",625,584,376,641,599,230,730,469,466,450,706,661,330,467,342,360,479,163,441,783,314
2020년11월_남_80~89세,"4,202",72,157,76,69,118,181,312,168,206,120,147,193,68,228,155,186,136,200,225,92,194,116,90,157,71,138,236,91
2020년11월_남_90~99세,347,5,16,3,9,9,13,24,12,10,7,20,11,3,18,12,20,14,14,20,8,24,9,8,11,7,11,21,8
2020년11월_남_100세 이상,11,2,1,0,1,0,0,0,0,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020년11월_여_총인구수,"217,233","2,429","3,383","2,358","1,538","4,030","5,643","19,374","10,145","6,206","6,939","11,912","5,510","3,039","9,666","8,426","8,528","3,984","8,356","7,258","6,960","15,593","7,208","5,652","6,495","1,284","11,208","19,016","15,093"
2020년11월_여_연령구간인구수,"217,233","2,429","3,383","2,358","1,538","4,030","5,643","19,374","10,145","6,206","6,939","11,912","5,510","3,039","9,666","8,426","8,528","3,984","8,356","7,258","6,960","15,593","7,208","5,652","6,495","1,284","11,208","19,016","15,093"
2020년11월_여_0~9세,"16,501",123,134,122,40,268,227,"1,310",877,319,471,"1,077",195,278,732,574,571,143,476,243,463,"1,162",588,344,276,38,"1,304","1,901","2,245"
2020년11월_여_10~19세,"20,390",89,245,144,68,268,344,"1,785","1,111",464,667,"1,089",316,265,678,945,734,316,671,418,753,"2,175",792,508,351,55,"1,223","2,061","1,855"
2020년11월_여_20~29세,"29,712",546,658,428,270,459,"1,089","3,412","1,254",848,918,"1,456",663,342,"1,100","1,143","1,279",517,"1,131",802,"1,035","2,233",908,879,928,107,"1,323","2,497","1,487"
2020년11월_여_30~39세,"26,768",434,314,309,156,561,699,"2,200","1,228",602,772,"1,758",446,404,"1,275",820,960,355,850,590,821,"1,555",852,586,668,92,"1,771","2,875","2,815"
2020년11월_여_40~49세,"33,759",246,424,295,155,546,669,"2,866","1,686",803,"1,023","1,903",598,452,"1,269","1,345","1,260",499,"1,099",778,"1,268","3,292","1,256",833,759,104,"2,008","3,249","3,074"
2020년11월_여_50~59세,"36,775",299,467,325,238,605,868,"3,535","1,665","1,070","1,318","2,037",924,431,"1,664","1,629","1,462",705,"1,525","1,364","1,285","2,822","1,336","1,082","1,335",243,"1,633","3,007","1,901"
2020년11월_여_60~69세,"27,870",322,522,336,272,661,833,"2,363","1,402","1,121","1,014","1,515","1,131",421,"1,487","1,095","1,148",723,"1,422","1,429",736,"1,171",780,760,"1,091",266,960,"1,857","1,032"
2020년11월_여_70~79세,"16,205",247,411,277,212,469,598,"1,276",631,652,462,711,787,282,909,558,731,480,786,977,386,704,413,427,627,209,559,988,436
2020년11월_여_80~89세,"7,791",102,183,104,93,154,260,538,231,284,245,311,375,136,463,271,330,206,329,565,177,418,239,192,394,138,354,494,205
2020년11월_여_90~99세,"1,354",17,23,12,30,34,48,85,56,40,47,54,65,26,80,45,52,37,63,85,36,60,41,35,64,28,67,83,41
2020년11월_여_100세 이상,108,4,2,6,4,5,8,4,4,3,2,1,10,2,9,1,1,3,4,7,0,1,3,6,2,4,6,4,2
