,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021년07월_남_30~39세,"4,586",212,161,78,70,121,56,57,57,75,105,103,67,79,33,55,991,115,888,118,496,320,152,177
2021년07월_남_40~49세,"7,537",346,252,143,111,176,95,106,107,141,202,149,95,132,48,115,"1,542",246,"1,567",194,793,492,251,234
2021년07월_남_50~59세,"9,798",471,465,323,214,248,146,189,191,266,327,251,152,239,142,234,"1,597",293,"1,696",257,810,505,397,385
2021년07월_남_60~69세,"8,762",514,441,318,219,316,204,195,233,287,359,334,184,242,162,238,988,223,"1,238",286,603,428,376,374
2021년07월_남_70~79세,"5,757",391,262,202,193,213,163,139,174,196,256,286,144,173,93,177,510,133,737,211,330,324,207,243
2021년07월_남_80~89세,"2,768",175,129,130,107,113,82,61,98,113,161,122,87,104,51,95,171,73,284,103,140,121,100,148
2021년07월_남_90~99세,255,22,8,9,9,9,7,11,13,9,25,13,11,4,2,11,12,4,21,12,6,11,11,15
2021년07월_남_100세 이상,10,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,1,2,1
2021년07월_여_총인구수,"54,011","2,754","2,098","1,419","1,005","1,391",893,882,"1,038","1,276","1,696","1,386",820,"1,128",594,"1,038","8,519","1,512","10,610","1,683","5,222","3,038","2,125","1,884"
2021년07월_여_연령구간인구수,"54,011","2,754","2,098","1,419","1,005","1,391",893,882,"1,038","1,276","1,696","1,386",820,"1,128",594,"1,038","8,519","1,512","10,610","1,683","5,222","3,038","2,125","1,884"
2021년07월_여_0~9세,"2,942",119,91,27,25,38,22,19,16,30,28,23,24,45,13,30,663,75,767,71,438,224,97,57
2021년07월_여_10~19세,"4,422",141,128,61,34,62,33,39,31,59,66,22,31,52,23,49,899,141,"1,353",126,575,246,145,106
2021년07월_여_20~29세,"4,646",160,158,72,40,51,49,55,41,59,96,61,34,59,28,57,957,149,"1,173",137,555,287,183,185
2021년07월_여_30~39세,"3,999",149,132,59,46,66,30,25,37,65,58,64,33,35,15,39,891,120,922,125,526,294,147,121
2021년07월_여_40~49세,"6,817",255,202,95,60,82,52,70,62,80,115,69,49,99,32,67,"1,508",218,"1,804",159,910,430,223,176
2021년07월_여_50~59세,"8,355",393,369,218,132,180,104,145,131,177,230,163,105,154,97,127,"1,428",248,"1,697",260,868,465,370,294
2021년07월_여_60~69세,"8,806",518,389,293,205,302,185,181,215,262,373,348,171,203,125,213,"1,042",206,"1,371",349,649,471,401,334
2021년07월_여_70~79세,"7,454",549,305,279,218,299,207,161,231,267,349,316,181,237,137,229,675,195,894,282,444,391,297,311
2021년07월_여_80~89세,"5,577",411,274,268,219,267,172,154,238,234,330,268,154,208,105,194,395,139,527,138,226,176,232,248
2021년07월_여_90~99세,940,55,45,45,25,43,38,32,35,40,50,48,36,33,18,33,53,20,99,35,30,53,26,48
2021년07월_여_100세 이상,53,4,5,2,1,1,1,1,1,3,1,4,2,3,1,0,8,1,3,1,1,1,4,4
