카테고리,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년07월_남_100세 이상,11,1,0,1,1,1,2,0,0,1,0,0,0,0,1,0,3
2021년07월_여_총인구수,"110,659","2,034","12,564","6,181","6,337","4,394","10,816","7,513","4,988","6,699","9,106","9,965","6,117","5,422","6,995","1,172","10,356"
2021년07월_여_연령구간인구수,"110,659","2,034","12,564","6,181","6,337","4,394","10,816","7,513","4,988","6,699","9,106","9,965","6,117","5,422","6,995","1,172","10,356"
2021년07월_여_0~9세,"7,079",56,"1,203",425,334,123,800,660,174,399,448,513,401,254,391,34,864
2021년07월_여_10~19세,"9,526",67,"1,583",402,465,173,919,663,401,538,832,721,469,380,578,69,"1,266"
2021년07월_여_20~29세,"14,152",143,"1,168",665,699,337,"1,556",842,"1,237",881,"1,402","1,909",622,989,664,86,952
2021년07월_여_30~39세,"11,738",150,"1,435",736,672,286,"1,358",927,411,633,826,"1,292",690,566,625,56,"1,075"
2021년07월_여_40~49세,"16,144",167,"2,436",813,867,426,"1,594","1,179",521,912,"1,286","1,446",819,695,"1,013",107,"1,863"
2021년07월_여_50~59세,"17,547",313,"1,783","1,022","1,094",705,"1,798","1,157",726,"1,072","1,615","1,558","1,017",891,"1,172",186,"1,438"
2021년07월_여_60~69세,"17,512",501,"1,595","1,092","1,061","1,017","1,556","1,052",762,"1,133","1,446","1,406","1,058",875,"1,257",256,"1,445"
2021년07월_여_70~79세,"10,492",403,887,654,689,758,775,618,477,724,780,739,653,480,815,172,868
2021년07월_여_80~89세,"5,588",205,392,323,403,492,396,355,240,362,402,334,328,251,425,179,501
2021년07월_여_90~99세,853,28,80,48,52,77,62,58,36,42,66,46,57,41,55,27,78
2021년07월_여_100세 이상,28,1,2,1,1,0,2,2,3,3,3,1,3,0,0,0,6
