카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년03월_남_10~19세,"13,876",233,447,351,367,210,487,583,196,441,500,138,"1,158",478,493,663,494,"1,947",352,"1,317","1,523",750,748
2021년03월_남_20~29세,"22,224",488,532,551,937,451,813,860,608,"1,015",931,404,"1,217","1,092","1,168","1,267","1,016","2,764",798,"1,104","2,049",909,"1,250"
2021년03월_남_30~39세,"23,102",392,681,844,815,305,785,749,617,799,831,271,"1,355",856,"1,080",923,889,"2,887",747,"1,489","2,135","2,341","1,311"
2021년03월_남_40~49세,"26,311",506,951,711,908,420,970,926,561,882,986,266,"2,002",971,"1,089","1,139","1,047","3,439",766,"2,054","2,447","1,863","1,407"
2021년03월_남_50~59세,"27,734",695,717,747,"1,249",557,"1,031","1,086",656,"1,271","1,125",377,"1,611","1,396","1,409","1,626","1,410","3,398","1,076","1,462","2,252",797,"1,786"
2021년03월_남_60~69세,"24,356",660,623,677,"1,076",564,928,813,560,"1,231","1,107",383,"1,312","1,342","1,359","1,521","1,331","2,951",944,890,"1,715",716,"1,653"
2021년03월_남_70~79세,"13,232",427,399,399,553,339,585,410,332,739,620,203,633,670,697,840,760,"1,389",496,585,851,298,"1,007"
2021년03월_남_80~89세,"4,814",195,157,157,188,134,260,188,126,310,230,87,202,209,252,322,245,455,194,203,262,72,366
2021년03월_남_90~99세,338,9,13,7,19,7,18,15,6,21,26,4,15,14,14,19,14,33,15,14,22,6,27
2021년03월_남_100세 이상,27,0,4,0,1,2,1,4,2,3,0,0,0,0,0,0,1,1,2,0,2,0,4
2021년03월_여_총인구수,"173,934","3,838","5,601","5,017","6,138","3,420","6,872","6,275","3,718","7,106","7,215","1,954","11,013","7,434","7,878","9,422","7,530","22,063","5,589","10,982","14,828","9,529","10,512"
2021년03월_여_연령구간인구수,"173,934","3,838","5,601","5,017","6,138","3,420","6,872","6,275","3,718","7,106","7,215","1,954","11,013","7,434","7,878","9,422","7,530","22,063","5,589","10,982","14,828","9,529","10,512"
2021년03월_여_0~9세,"12,135",130,465,436,178,108,358,428,81,228,353,102,"1,114",327,392,425,364,"1,768",325,"1,200","1,202","1,492",659
2021년03월_여_10~19세,"12,601",187,397,297,304,179,393,446,148,375,468,105,"1,132",431,449,593,420,"1,746",305,"1,360","1,438",734,694
2021년03월_여_20~29세,"19,371",396,492,539,856,340,722,738,697,825,819,204,"1,024",869,981,"1,062",832,"2,436",611,"1,077","1,804","1,053",994
2021년03월_여_30~39세,"20,565",271,707,741,631,253,716,738,432,585,700,188,"1,435",648,832,786,681,"2,789",611,"1,551","1,929","2,231","1,110"
2021년03월_여_40~49세,"24,968",435,889,671,721,414,924,"1,014",413,815,976,203,"1,991",830,930,"1,120",862,"3,298",666,"2,209","2,485","1,636","1,466"
2021년03월_여_50~59세,"29,258",638,827,782,"1,188",660,"1,168","1,084",621,"1,302","1,212",360,"1,684","1,514","1,525","1,885","1,348","3,597","1,125","1,420","2,411",979,"1,928"
2021년03월_여_60~69세,"28,081",770,828,794,"1,180",721,"1,218",900,687,"1,462","1,387",364,"1,436","1,524","1,415","1,833","1,497","3,419","1,044","1,086","1,958",817,"1,741"
2021년03월_여_70~79세,"17,118",615,628,479,722,475,876,567,400,990,835,270,775,834,871,"1,070",977,"1,836",623,711,"1,055",385,"1,124"
2021년03월_여_80~89세,"8,569",338,320,236,313,242,437,312,213,459,401,135,355,407,425,577,481,"1,016",237,324,492,169,680
2021년03월_여_90~99세,"1,214",53,44,40,45,26,56,44,23,58,61,23,63,49,57,67,67,154,42,43,54,31,114
2021년03월_여_100세 이상,54,5,4,2,0,2,4,4,3,7,3,0,4,1,1,4,1,4,0,1,0,2,2
