,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2020년12월_남_100세 이상,49,1,2,1,7,2,3,0,3,1,6,7,4,6,3,2,1
2020년12월_여_총인구수,"199,537","12,484","9,514","7,205","17,433","11,163","12,866","12,654","10,208","10,319","12,440","18,254","9,863","15,137","8,530","20,364","11,103"
2020년12월_여_연령구간인구수,"199,537","12,484","9,514","7,205","17,433","11,163","12,866","12,654","10,208","10,319","12,440","18,254","9,863","15,137","8,530","20,364","11,103"
2020년12월_여_0~9세,"11,143",635,499,642,774,537,554,877,390,606,494,"1,157",532,729,382,"1,656",679
2020년12월_여_10~19세,"13,116",814,572,437,"1,014",601,716,941,377,688,552,"1,546",589,941,635,"1,834",859
2020년12월_여_20~29세,"28,319","1,726","1,203",861,"2,658","1,535","1,893","1,812","2,344","1,491","1,900","2,589","1,397","2,073","1,144","2,428","1,265"
2020년12월_여_30~39세,"28,168","1,566","1,277","1,304","2,537","1,665","1,692","1,806","2,008","1,546","1,724","2,499","1,489","1,966",984,"2,598","1,507"
2020년12월_여_40~49세,"27,932","1,745","1,374","1,012","2,425","1,488","1,683","1,836","1,244","1,349","1,613","2,984","1,437","1,893","1,187","3,009","1,653"
2020년12월_여_50~59세,"35,261","2,417","1,643","1,218","3,223","2,023","2,419","2,293","1,539","1,805","2,332","2,882","1,657","2,835","1,628","3,462","1,885"
2020년12월_여_60~69세,"29,968","1,906","1,529",952,"2,512","1,811","2,081","1,699","1,293","1,596","2,000","2,497","1,559","2,551","1,361","2,859","1,762"
2020년12월_여_70~79세,"17,061","1,119","1,027",539,"1,581","1,014","1,259",910,695,845,"1,244","1,397",824,"1,382",778,"1,527",920
2020년12월_여_80~89세,"7,176",463,320,212,596,407,484,407,258,334,509,584,325,640,348,790,499
2020년12월_여_90~99세,"1,236",83,60,24,94,72,77,70,51,55,60,103,46,113,71,187,70
2020년12월_여_100세 이상,157,10,10,4,19,10,8,3,9,4,12,16,8,14,12,14,4
