,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2021년09월_남_10~19세,"31,848","17,096","1,164",790,"1,424","1,776","2,597","2,016","1,299",823,"1,024","1,878","1,272",642,391,"14,752","1,985",939,"1,028","2,657",161,946,"1,235","2,306",730,787,"1,789",189
2021년09월_남_20~29세,"56,516","31,043","1,942","2,334","3,306","2,809","3,788","3,129","2,242","1,789","1,775","3,773","2,374","1,156",626,"25,473","3,266","2,043","2,616","3,778",277,"1,598","1,779","3,956","1,430","1,281","3,025",424
2021년09월_남_30~39세,"46,623","23,921","1,645","2,185","2,666","2,201","2,794","2,422","1,559","1,317","1,336","2,428","1,701","1,137",530,"22,702","2,799","1,738","2,087","2,755",374,"1,637","1,606","4,047","1,671","1,021","2,585",382
2021년09월_남_40~49세,"53,799","28,653","2,309","2,161","2,867","2,655","3,440","3,434","2,007","1,491","1,817","2,828","1,567","1,377",700,"25,146","3,702","1,582","1,745","3,309",562,"1,531","2,201","4,042","1,409","1,486","3,018",559
2021년09월_남_50~59세,"65,169","35,172","2,502","2,443","3,366","3,159","3,435","3,897","2,709","2,028","2,475","4,040","2,550","1,551","1,017","29,997","4,078","2,017","2,116","4,363",979,"1,948","2,335","4,156","1,584","2,001","3,404","1,016"
2021년09월_남_60~69세,"40,817","21,558","1,419","1,524","1,664","1,895","1,898","2,110","1,623","1,264","1,401","2,519","1,898","1,503",840,"19,259","2,191","1,304","1,510","2,630",604,"1,440","1,483","2,498","1,162","1,128","2,113","1,196"
2021년09월_남_70~79세,"13,611","7,481",613,614,653,569,441,756,606,465,441,703,526,768,326,"6,130",731,452,414,626,285,480,495,861,336,374,519,557
2021년09월_남_80~89세,"5,013","2,901",221,222,322,229,112,316,250,228,203,269,183,245,101,"2,112",245,159,112,224,107,126,167,316,117,120,205,214
2021년09월_남_90~99세,470,291,20,17,55,22,11,21,25,19,17,19,39,20,6,179,21,9,11,26,8,6,15,24,11,15,10,23
2021년09월_남_100세 이상,22,12,0,1,4,0,0,0,0,0,0,1,5,1,0,10,0,1,2,0,0,1,1,1,0,1,0,3
2021년09월_여_총인구수,"318,696","172,263","12,108","11,153","15,548","16,125","20,380","18,017","13,280","9,864","10,538","18,695","13,470","8,757","4,328","146,433","18,116","10,777","12,490","21,831","2,600","10,295","10,434","22,790","8,627","7,300","16,912","4,261"
2021년09월_여_연령구간인구수,"318,696","172,263","12,108","11,153","15,548","16,125","20,380","18,017","13,280","9,864","10,538","18,695","13,470","8,757","4,328","146,433","18,116","10,777","12,490","21,831","2,600","10,295","10,434","22,790","8,627","7,300","16,912","4,261"
2021년09월_여_0~9세,"20,742","10,942",789,516,797,"1,116","2,237","1,160",716,418,675,"1,013",767,524,214,"9,800","1,209",550,717,"1,653",133,738,738,"1,792",601,427,"1,118",124
2021년09월_여_10~19세,"30,041","16,305","1,227",754,"1,300","1,688","2,521","1,849","1,354",797,"1,042","1,643","1,185",586,359,"13,736","1,767",870,"1,018","2,433",155,935,"1,170","2,216",663,669,"1,670",170
2021년09월_여_20~29세,"49,742","27,246","1,809","2,059","2,717","2,489","3,278","2,746","2,082","1,659","1,565","3,272","2,143",956,471,"22,496","2,643","2,071","2,623","3,583",177,"1,503","1,303","3,399","1,216","1,095","2,579",304
2021년09월_여_30~39세,"38,621","20,059","1,354","1,524","1,877","1,959","2,918","2,014","1,338","1,081","1,056","2,008","1,574",956,400,"18,562","2,138","1,354","1,796","2,690",253,"1,394","1,207","3,189","1,293",763,"2,202",283
2021년09월_여_40~49세,"51,041","27,459","2,014","1,670","2,452","2,658","3,692","3,174","2,120","1,474","1,661","2,885","1,877","1,183",599,"23,582","3,164","1,565","1,830","3,732",370,"1,516","1,748","3,856","1,283","1,177","2,924",417
2021년09월_여_50~59세,"62,775","34,027","2,221","2,075","3,030","3,169","3,427","3,496","2,776","2,145","2,243","4,010","2,977","1,621",837,"28,748","3,492","2,052","2,286","4,517",588,"2,108","2,021","4,149","1,694","1,531","3,390",920
2021년09월_여_60~69세,"37,193","19,896","1,360","1,355","1,482","1,787","1,571","1,884","1,519","1,206","1,226","2,197","1,835","1,647",827,"17,297","2,036","1,284","1,453","2,075",453,"1,361","1,351","2,343","1,107",936,"1,772","1,126"
2021년09월_여_70~79세,"16,525","9,437",829,709,914,726,428,"1,035",819,641,624,911,612,826,363,"7,088",980,609,428,619,292,480,517,"1,056",452,414,726,515
2021년09월_여_80~89세,"10,176","5,845",423,409,829,453,250,572,476,395,394,645,402,380,217,"4,331",584,369,276,433,163,220,314,654,271,253,455,339
2021년09월_여_90~99세,"1,766","1,006",78,77,143,76,58,87,75,48,49,105,94,76,40,760,97,53,60,94,16,32,63,132,45,33,74,61
2021년09월_여_100세 이상,74,41,4,5,7,4,0,0,5,0,3,6,4,2,1,33,6,0,3,2,0,8,2,4,2,2,2,2
