,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2021년08월_계_80~89세,"16,115","7,080",726,715,"1,188",243,516,609,230,628,658,604,207,79,285,392,"9,035","1,561",400,516,318,625,317,62,180,823,353,817,740,723,524,872,204
2021년08월_계_90~99세,"2,230",926,90,77,138,45,76,92,35,78,65,87,27,8,56,52,"1,304",244,62,82,54,96,36,12,26,109,54,114,92,95,67,140,21
2021년08월_계_100세 이상,74,40,4,4,7,2,4,4,1,3,2,2,2,0,3,2,34,2,1,2,0,1,1,1,3,5,3,4,2,3,2,4,0
2021년08월_남_총인구수,"254,837","119,156","3,715","15,484","29,730","1,755","4,934","1,974",923,"12,817","8,791","6,153","2,585","1,767","15,545","12,983","135,681","20,498","1,430","2,348","1,218","2,411","1,056",301,642,"7,654","8,386","9,808","10,734","16,259","11,390","36,851","4,695"
2021년08월_남_연령구간인구수,"254,837","119,156","3,715","15,484","29,730","1,755","4,934","1,974",923,"12,817","8,791","6,153","2,585","1,767","15,545","12,983","135,681","20,498","1,430","2,348","1,218","2,411","1,056",301,642,"7,654","8,386","9,808","10,734","16,259","11,390","36,851","4,695"
2021년08월_남_0~9세,"19,754","8,638",64,"1,165","2,787",28,271,38,14,570,305,213,104,84,"1,836","1,159","11,116","1,978",32,49,15,38,18,1,7,270,581,389,714,"1,696",838,"4,043",447
2021년08월_남_10~19세,"24,246","11,020",135,"1,874","3,118",62,378,51,44,779,387,356,132,95,"2,082","1,527","13,226","1,907",49,110,42,85,33,7,27,409,958,467,"1,024","1,658","1,221","4,647",582
2021년08월_남_20~29세,"32,745","15,887",255,"2,047","4,116",156,529,119,60,"1,908",997,559,438,554,"2,119","2,030","16,858","2,409",107,182,85,173,43,12,26,876,"1,201","1,255","1,325","2,058","1,575","5,043",488
2021년08월_남_30~39세,"30,776","14,147",239,"1,490","4,337",141,523,106,51,"1,680",930,574,283,229,"1,760","1,804","16,629","2,523",72,142,67,147,36,13,35,967,950,"1,362","1,093","2,373","1,307","4,976",566
2021년08월_남_40~49세,"38,702","18,384",441,"2,453","5,629",183,647,184,123,"1,804","1,242",761,333,187,"2,443","1,954","20,318","3,153",131,271,123,217,79,19,54,"1,020","1,176","1,348","1,518","2,386","1,537","6,470",816
2021년08월_남_50~59세,"44,774","21,265",783,"3,035","4,671",353,935,390,185,"2,206","1,664","1,161",436,264,"2,632","2,550","23,509","3,555",239,494,243,470,223,64,120,"1,365","1,586","1,645","1,913","2,775","2,128","5,981",708
2021년08월_남_60~69세,"40,250","18,870","1,002","2,290","3,449",505,962,499,232,"2,363","1,908","1,479",493,225,"2,038","1,425","21,380","3,110",434,561,316,652,313,98,199,"1,552","1,319","1,873","1,913","2,348","1,873","4,132",687
2021년08월_남_70~79세,"17,789","8,425",542,890,"1,215",255,497,373,149,"1,249","1,091",806,282,99,544,433,"9,364","1,341",227,360,222,413,195,60,111,870,484,"1,120",922,758,696,"1,271",314
2021년08월_남_80~89세,"5,398","2,362",236,228,379,68,175,197,62,246,258,223,80,29,87,94,"3,036",481,134,165,98,194,108,22,57,306,121,323,288,194,195,266,84
2021년08월_남_90~99세,390,150,16,11,29,4,16,17,3,12,9,20,2,1,3,7,240,40,5,14,7,22,8,5,6,17,10,25,24,13,19,22,3
2021년08월_남_100세 이상,13,8,2,1,0,0,1,0,0,0,0,1,2,0,1,0,5,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0
2021년08월_여_총인구수,"248,507","111,394","3,660","14,871","25,989","1,643","4,824","2,081",957,"11,938","8,338","6,121","2,172","1,183","15,019","12,598","137,113","20,353","1,455","2,420","1,285","2,551","1,066",303,672,"7,891","8,527","10,068","11,219","16,963","11,643","35,886","4,811"
2021년08월_여_연령구간인구수,"248,507","111,394","3,660","14,871","25,989","1,643","4,824","2,081",957,"11,938","8,338","6,121","2,172","1,183","15,019","12,598","137,113","20,353","1,455","2,420","1,285","2,551","1,066",303,672,"7,891","8,527","10,068","11,219","16,963","11,643","35,886","4,811"
2021년08월_여_0~9세,"18,349","8,045",66,"1,062","2,647",32,247,27,17,511,270,175,101,57,"1,782","1,051","10,304","1,769",29,48,21,40,19,2,8,287,570,372,652,"1,508",771,"3,795",413
2021년08월_여_10~19세,"21,999","9,960",99,"1,739","2,754",62,371,71,25,701,374,318,128,89,"1,826","1,403","12,039","1,756",30,87,49,103,23,10,15,387,835,440,911,"1,512","1,137","4,191",553
2021년08월_여_20~29세,"24,091","10,782",161,"1,471","2,675",93,409,68,35,"1,372",648,441,216,160,"1,463","1,570","13,309","1,756",66,117,62,115,16,14,26,735,851,"1,097","1,016","1,722","1,250","4,050",416
2021년08월_여_30~39세,"27,179","11,893",189,"1,430","3,573",97,426,77,31,"1,196",626,393,193,122,"1,960","1,580","15,286","2,383",51,111,32,79,27,0,22,745,875,963,"1,030","2,280","1,165","4,938",585
2021년08월_여_40~49세,"37,981","17,056",263,"2,582","4,733",109,566,108,61,"1,463",906,641,197,162,"2,868","2,397","20,925","3,091",79,177,70,147,45,15,40,898,"1,422","1,160","1,675","2,665","1,747","6,849",845
2021년08월_여_50~59세,"44,311","19,600",566,"2,944","3,980",301,867,299,132,"2,206","1,618","1,045",376,224,"2,604","2,438","24,711","3,552",230,392,207,426,165,52,89,"1,310","1,775","1,771","2,110","3,238","2,488","6,167",739
2021년08월_여_60~69세,"41,913","19,312",992,"2,218","3,301",451,911,508,216,"2,826","2,294","1,725",497,213,"1,847","1,313","22,601","3,110",374,586,315,625,310,111,181,"1,776","1,372","2,415","2,296","2,457","1,959","3,935",779
2021년08월_여_70~79세,"20,066","9,220",758,869,"1,401",280,623,432,239,"1,212","1,144",934,312,99,416,501,"10,846","1,651",272,481,262,510,223,51,145,"1,141",548,"1,264","1,007",967,748,"1,233",343
2021년08월_여_80~89세,"10,717","4,718",490,487,809,175,341,412,168,382,400,381,127,50,198,298,"5,999","1,080",266,351,220,431,209,40,123,517,232,494,452,529,329,606,120
2021년08월_여_90~99세,"1,840",776,74,66,109,41,60,75,32,66,56,67,25,7,53,45,"1,064",204,57,68,47,74,28,7,20,92,44,89,68,82,48,118,18
2021년08월_여_100세 이상,61,32,2,3,7,2,3,4,1,3,2,1,0,0,2,2,29,1,1,2,0,1,1,1,3,3,3,3,2,3,1,4,0
