,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 장단면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년08월_남_40~49세,"41,928","4,025","1,002",654,"2,285",732,"1,185",747,198,453,51,"1,748","2,835","2,244","4,293","4,703","6,297","8,476"
2021년08월_남_50~59세,"39,374","3,662","1,463","1,125","3,051",837,"1,502","1,299",424,624,77,"2,334","2,721","2,518","3,908","3,787","3,928","6,114"
2021년08월_남_60~69세,"26,655","2,743","1,298","1,133","2,431",688,"1,196","1,309",435,702,74,"1,685","1,405","1,684","2,253","2,245","2,052","3,322"
2021년08월_남_70~79세,"12,706","1,481",617,590,"1,127",286,543,610,265,405,52,757,734,795,964,983,"1,021","1,476"
2021년08월_남_80~89세,"5,449",645,299,232,492,110,268,246,136,158,28,299,316,347,418,391,419,645
2021년08월_남_90~99세,541,81,33,33,40,14,24,31,13,22,4,32,23,29,32,32,44,54
2021년08월_남_100세 이상,18,3,3,0,3,0,0,1,3,0,0,0,1,1,0,0,2,1
2021년08월_여_총인구수,"234,606","23,640","6,316","4,889","14,744","3,266","6,136","5,136","1,839","3,423",347,"10,348","16,840","13,460","22,577","25,541","32,302","43,802"
2021년08월_여_연령구간인구수,"234,606","23,640","6,316","4,889","14,744","3,266","6,136","5,136","1,839","3,423",347,"10,348","16,840","13,460","22,577","25,541","32,302","43,802"
2021년08월_여_0~9세,"21,293","2,339",292,152,825,91,298,215,35,279,12,514,"1,532","1,103","2,087","2,497","4,273","4,749"
2021년08월_여_10~19세,"24,231","2,332",405,317,"1,355",121,467,281,87,213,26,699,"2,031","1,273","2,709","3,131","3,845","4,939"
2021년08월_여_20~29세,"27,319","2,513",613,480,"1,680",755,617,466,151,341,28,"1,468","2,083","1,735","2,587","3,199","3,385","5,218"
2021년08월_여_30~39세,"31,948","3,370",594,376,"1,341",424,596,395,92,374,28,"1,181","2,120","1,643","3,037","3,690","5,738","6,949"
2021년08월_여_40~49세,"39,945","3,514",734,475,"2,157",277,901,525,145,343,32,"1,421","3,096","2,097","4,367","4,846","6,311","8,704"
2021년08월_여_50~59세,"35,953","3,380","1,109",931,"2,795",503,"1,137",999,318,515,63,"1,813","2,603","2,345","3,462","3,826","3,931","6,223"
2021년08월_여_60~69세,"26,646","2,876","1,147",974,"2,350",524,978,"1,034",410,592,57,"1,611","1,659","1,684","2,170","2,356","2,487","3,737"
2021년08월_여_70~79세,"16,093","1,945",764,660,"1,324",302,605,629,313,471,63,981,"1,039",935,"1,263","1,231","1,489","2,079"
2021년08월_여_80~89세,"9,510","1,213",556,458,787,228,442,473,231,239,35,563,576,551,741,639,727,"1,051"
2021년08월_여_90~99세,"1,611",152,96,66,122,41,87,116,56,52,3,94,100,94,150,120,114,148
2021년08월_여_100세 이상,57,6,6,0,8,0,8,3,1,4,0,3,1,0,4,6,2,5
