카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 문무대왕면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년06월_남_0~9세,"8,061",71,566,170,681,116,136,49,27,28,"1,238",84,136,98,78,234,47,568,179,"1,426","1,201",587,320,21
2021년06월_남_10~19세,"10,668",124,"1,013",279,649,113,164,100,46,87,"1,208",156,156,175,166,421,88,869,178,"1,322","1,884","1,151",280,39
2021년06월_남_20~29세,"14,809",213,"1,267",430,"1,243",289,392,162,80,101,"1,202",273,289,290,332,"1,114",210,"1,049",267,"1,444","2,012","1,634",427,89
2021년06월_남_30~39세,"13,327",189,929,382,"1,528",262,296,147,60,89,"1,453",202,324,263,301,726,166,746,246,"1,646","1,518","1,224",562,68
2021년06월_남_40~49세,"18,868",374,"1,682",590,"1,754",236,415,232,114,168,"1,834",400,396,350,409,951,264,"1,211",400,"2,146","2,350","1,763",715,114
2021년06월_남_50~59세,"24,109",560,"2,566",884,"2,373",384,750,473,299,326,"1,829",693,592,418,585,"1,145",457,"1,419",535,"1,928","2,656","2,157",910,170
2021년06월_남_60~69세,"20,960",610,"2,200","1,040","2,059",441,687,614,530,371,"1,209",705,583,489,657,"1,167",536,915,545,"1,226","1,596","1,700",878,202
2021년06월_남_70~79세,"11,045",380,"1,316",657,945,259,348,387,308,286,541,411,343,337,395,795,345,409,359,419,515,695,480,115
2021년06월_남_80~89세,"4,220",167,527,283,311,120,134,174,134,132,192,172,128,128,159,251,160,173,142,134,172,213,179,35
2021년06월_남_90~99세,348,15,39,23,32,9,17,17,8,6,6,21,14,5,14,15,12,9,16,14,12,24,17,3
2021년06월_남_100세 이상,14,1,1,1,2,1,0,1,0,1,2,0,0,0,0,1,2,0,0,0,0,1,0,0
2021년06월_여_총인구수,"126,173","2,697","12,338","4,611","10,349","2,030","2,926","2,346","1,638","1,593","11,000","3,033","2,718","2,597","3,283","6,931","2,333","7,331","2,944","12,025","14,488","11,164","4,923",875
2021년06월_여_연령구간인구수,"126,173","2,697","12,338","4,611","10,349","2,030","2,926","2,346","1,638","1,593","11,000","3,033","2,718","2,597","3,283","6,931","2,333","7,331","2,944","12,025","14,488","11,164","4,923",875
2021년06월_여_0~9세,"7,757",64,527,151,665,99,128,43,21,34,"1,112",100,137,100,86,182,43,548,174,"1,419","1,200",580,319,25
2021년06월_여_10~19세,"9,759",107,967,223,545,71,156,99,38,41,"1,184",149,153,136,143,377,96,760,151,"1,289","1,698","1,038",293,45
2021년06월_여_20~29세,"11,414",126,964,267,938,156,192,110,53,66,"1,045",197,217,231,264,825,137,832,187,"1,169","1,689","1,282",381,86
2021년06월_여_30~39세,"11,646",134,770,269,"1,085",189,205,92,66,67,"1,485",144,256,208,224,512,104,671,254,"1,701","1,630","1,016",518,46
2021년06월_여_40~49세,"17,380",220,"1,560",414,"1,241",130,289,168,75,116,"1,934",290,295,281,323,802,216,"1,290",342,"2,160","2,755","1,784",607,88
2021년06월_여_50~59세,"22,449",425,"2,365",768,"2,003",266,546,382,264,223,"1,804",539,452,413,545,"1,171",351,"1,372",474,"2,090","2,748","2,281",819,148
2021년06월_여_60~69세,"21,536",640,"2,291","1,044","1,869",409,680,542,489,396,"1,306",657,532,577,781,"1,518",528,948,594,"1,232","1,564","1,806",937,196
2021년06월_여_70~79세,"13,654",558,"1,596",814,"1,057",341,392,440,339,370,623,490,377,415,575,"1,036",457,535,434,545,693,860,570,137
2021년06월_여_80~89세,"9,072",356,"1,143",576,802,310,273,413,254,243,432,401,265,211,294,430,350,316,282,354,428,451,400,88
2021년06월_여_90~99세,"1,452",63,148,81,139,56,63,56,39,36,74,64,33,25,46,77,45,58,50,62,83,62,77,15
2021년06월_여_100세 이상,54,4,7,4,5,3,2,1,0,1,1,2,1,0,2,1,6,1,2,4,0,4,2,1
