,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년07월_계_100세 이상,107,10,13,1,3,12,12,5,2,9,3,5,6,5,3,8,10
2021년07월_남_총인구수,"174,291","11,860","17,562","10,206","10,227","6,937","7,849","11,003","11,904","11,484","8,157","9,579","8,806","7,185","8,924","18,011","14,597"
2021년07월_남_연령구간인구수,"174,291","11,860","17,562","10,206","10,227","6,937","7,849","11,003","11,904","11,484","8,157","9,579","8,806","7,185","8,924","18,011","14,597"
2021년07월_남_0~9세,"12,335","1,338","1,173",784,"1,048",350,718,853,926,403,498,497,583,288,436,"1,194","1,246"
2021년07월_남_10~19세,"14,107",798,"1,115",803,991,445,756,985,871,569,453,646,760,416,693,"1,756","2,050"
2021년07월_남_20~29세,"27,846","1,366","2,693","1,406","1,027","1,587","1,135","1,723","2,357","2,686","1,465","1,564","1,289","1,496","1,476","2,644","1,932"
2021년07월_남_30~39세,"30,154","2,254","3,131","1,731","1,684","1,205","1,230","1,757","1,969","2,501","1,738","1,840","1,368","1,494","1,574","2,958","1,720"
2021년07월_남_40~49세,"29,348","2,165","2,642","1,512","2,081","1,024","1,501","1,784","1,887","1,793","1,264","1,547","1,571","1,128","1,585","3,035","2,829"
2021년07월_남_50~59세,"26,828","1,839","3,075","1,640","1,525","1,057","1,224","1,803","1,771","1,492","1,103","1,463","1,374",931,"1,337","2,845","2,349"
2021년07월_남_60~69세,"18,894","1,343","2,193","1,297","1,054",712,723,"1,181","1,231","1,038",900,"1,105",974,777,"1,015","1,962","1,389"
2021년07월_남_70~79세,"9,949",481,"1,044",685,545,355,348,606,582,646,513,653,627,428,554,"1,135",747
2021년07월_남_80~89세,"4,354",248,454,319,243,181,194,279,280,312,197,237,237,197,237,434,305
2021년07월_남_90~99세,441,26,40,29,29,17,17,30,30,38,25,25,21,28,15,43,28
2021년07월_남_100세 이상,35,2,2,0,0,4,3,2,0,6,1,2,2,2,2,5,2
2021년07월_여_총인구수,"195,894","13,423","19,712","11,107","11,464","7,428","8,397","11,647","13,050","13,567","9,455","10,816","9,931","8,002","10,078","21,727","16,090"
2021년07월_여_연령구간인구수,"195,894","13,423","19,712","11,107","11,464","7,428","8,397","11,647","13,050","13,567","9,455","10,816","9,931","8,002","10,078","21,727","16,090"
2021년07월_여_0~9세,"11,860","1,406","1,048",669,"1,112",299,705,839,849,403,476,487,542,297,455,"1,175","1,098"
2021년07월_여_10~19세,"13,934",862,"1,118",753,"1,058",395,740,854,864,626,470,647,787,353,734,"1,626","2,047"
2021년07월_여_20~29세,"34,073","1,743","3,523","1,498","1,197","1,933","1,268","1,653","2,671","3,602","1,900","1,806","1,536","1,744","1,664","3,941","2,394"
2021년07월_여_30~39세,"33,639","2,667","3,380","1,863","1,978","1,195","1,341","1,865","2,158","2,872","1,898","2,000","1,537","1,541","1,685","3,608","2,051"
2021년07월_여_40~49세,"31,150","2,138","2,700","1,604","2,279","1,026","1,491","2,032","2,061","1,881","1,362","1,654","1,626","1,119","1,713","3,336","3,128"
2021년07월_여_50~59세,"27,740","1,968","3,179","1,802","1,489",973,"1,191","1,784","1,880","1,586","1,238","1,504","1,440","1,039","1,498","2,994","2,175"
2021년07월_여_60~69세,"21,682","1,457","2,366","1,446","1,152",774,798,"1,295","1,317","1,233","1,044","1,333","1,239",948,"1,220","2,386","1,674"
2021년07월_여_70~79세,"13,700",694,"1,461",837,740,502,550,854,781,846,678,910,834,588,748,"1,730",947
2021년07월_여_80~89세,"6,902",402,821,531,382,270,267,404,405,427,330,412,344,318,320,784,485
2021년07월_여_90~99세,"1,142",78,105,103,74,53,37,64,62,88,57,60,42,52,40,144,83
2021년07월_여_100세 이상,72,8,11,1,3,8,9,3,2,3,2,3,4,3,1,3,8
