카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 문무대왕면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년10월_남_20~29세,"14,676",203,"1,216",419,"1,225",281,381,168,79,98,"1,223",269,288,285,324,"1,141",199,"1,060",264,"1,434","2,010","1,601",416,92
2021년10월_남_30~39세,"13,209",176,905,392,"1,562",251,296,147,55,78,"1,382",190,318,271,300,711,156,753,229,"1,666","1,520","1,212",575,64
2021년10월_남_40~49세,"18,660",371,"1,639",563,"1,742",228,406,231,110,165,"1,824",392,393,343,396,931,262,"1,194",404,"2,175","2,321","1,725",735,110
2021년10월_남_50~59세,"24,122",571,"2,533",872,"2,393",394,752,472,298,312,"1,847",678,594,423,581,"1,148",443,"1,432",527,"1,953","2,660","2,174",893,172
2021년10월_남_60~69세,"21,358",615,"2,251","1,049","2,111",441,712,617,541,381,"1,242",723,594,499,657,"1,165",527,926,566,"1,275","1,628","1,737",894,207
2021년10월_남_70~79세,"11,161",382,"1,298",661,972,265,346,391,309,282,553,416,351,345,399,799,340,429,354,425,536,715,480,113
2021년10월_남_80~89세,"4,281",171,541,283,306,118,134,175,134,139,197,178,132,121,152,254,167,174,144,140,182,215,187,37
2021년10월_남_90~99세,350,16,38,24,30,9,18,19,11,7,6,20,15,5,17,14,14,8,14,15,13,23,13,1
2021년10월_남_100세 이상,8,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2021년10월_여_총인구수,"126,106","2,689","12,236","4,576","10,481","2,007","2,938","2,347","1,636","1,571","10,996","3,006","2,702","2,601","3,282","6,895","2,280","7,337","2,935","12,230","14,442","11,103","4,950",866
2021년10월_여_연령구간인구수,"126,106","2,689","12,236","4,576","10,481","2,007","2,938","2,347","1,636","1,571","10,996","3,006","2,702","2,601","3,282","6,895","2,280","7,337","2,935","12,230","14,442","11,103","4,950",866
2021년10월_여_0~9세,"7,593",62,493,148,664,85,133,44,17,34,"1,093",89,131,91,86,174,38,528,172,"1,431","1,191",552,311,26
2021년10월_여_10~19세,"9,705",106,954,217,555,65,153,99,39,38,"1,191",151,156,134,140,374,92,744,157,"1,309","1,658","1,036",296,41
2021년10월_여_20~29세,"11,297",124,948,260,918,150,189,104,52,66,"1,029",188,215,233,265,826,134,834,188,"1,163","1,689","1,270",373,79
2021년10월_여_30~39세,"11,518",139,756,253,"1,117",197,199,91,60,64,"1,446",136,238,195,218,507,99,655,244,"1,738","1,616",973,533,44
2021년10월_여_40~49세,"17,200",217,"1,515",405,"1,238",132,278,173,81,110,"1,928",281,285,281,319,788,214,"1,271",339,"2,218","2,679","1,746",612,90
2021년10월_여_50~59세,"22,506",412,"2,342",749,"2,034",270,554,385,255,216,"1,822",541,458,425,550,"1,149",337,"1,397",469,"2,116","2,784","2,282",811,148
2021년10월_여_60~69세,"21,772",639,"2,289","1,058","1,918",412,698,544,495,387,"1,324",664,543,572,778,"1,521",519,956,589,"1,264","1,621","1,838",944,199
2021년10월_여_70~79세,"13,811",565,"1,628",809,"1,076",331,392,436,338,373,647,494,375,422,577,"1,039",451,564,440,569,697,872,581,135
2021년10월_여_80~89세,"9,163",359,"1,146",593,811,306,277,406,261,244,440,396,265,219,299,438,349,329,285,355,425,461,412,87
2021년10월_여_90~99세,"1,487",62,158,82,145,56,62,64,38,38,75,64,35,29,48,77,44,58,48,63,81,70,74,16
2021년10월_여_100세 이상,54,4,7,2,5,3,3,1,0,1,1,2,1,0,2,2,3,1,4,4,1,3,3,1
