,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2021년05월_여_총인구수,"363,139","31,123","46,048","52,029","7,393","11,499","26,661","14,746","9,849","4,277","2,009","29,350","18,665","9,160","1,962","41,096","18,386","38,886"
2021년05월_여_연령구간인구수,"363,139","31,123","46,048","52,029","7,393","11,499","26,661","14,746","9,849","4,277","2,009","29,350","18,665","9,160","1,962","41,096","18,386","38,886"
2021년05월_여_0~9세,"31,211","1,841","3,844","4,122",786,430,"1,836",856,575,152,95,"3,045","1,580",338,79,"5,147","2,301","4,184"
2021년05월_여_10~19세,"37,934","3,547","5,497","5,493",692,903,"3,198","1,211",875,246,124,"3,482","2,380",557,94,"4,258","1,841","3,536"
2021년05월_여_20~29세,"41,113","3,615","5,010","5,797",777,"1,432","3,140","1,864","1,259",334,180,"2,988","2,305","1,077",216,"4,667","1,845","4,607"
2021년05월_여_30~39세,"45,435","2,960","5,064","6,112","1,072","1,042","2,661","1,536",858,341,194,"4,001","2,204",884,185,"7,005","3,022","6,294"
2021년05월_여_40~49세,"65,470","5,665","8,566","9,687","1,227","1,502","5,053","2,097","1,596",461,239,"6,163","3,726","1,032",173,"7,812","3,655","6,816"
2021년05월_여_50~59세,"58,378","5,503","7,194","8,536","1,138","2,399","4,575","2,923","1,746",800,350,"4,131","2,912","1,919",382,"5,372","2,643","5,855"
2021년05월_여_60~69세,"44,685","4,072","5,702","6,434",971,"1,980","3,060","2,343","1,451",939,426,"2,871","1,846","1,818",439,"3,927","1,891","4,515"
2021년05월_여_70~79세,"24,607","2,508","3,311","3,838",436,"1,085","1,997","1,191",943,564,233,"1,767","1,072",873,239,"1,844",762,"1,944"
2021년05월_여_80~89세,"12,097","1,198","1,611","1,719",238,609,989,638,458,330,137,744,553,557,134,884,354,944
2021년05월_여_90~99세,"2,104",205,236,281,56,111,149,81,73,105,31,150,85,101,18,173,70,179
2021년05월_여_100세 이상,105,9,13,10,0,6,3,6,15,5,0,8,2,4,3,7,2,12
