,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2021년06월_남_40~49세,"10,125",476,189,186,126,147,228,172,182,120,113,121,60,67,84,47,485,469,216,"1,970","1,430",932,"2,305"
2021년06월_남_50~59세,"12,326",749,330,336,250,325,399,314,375,200,225,298,150,124,197,127,589,664,359,"2,139","1,771",994,"1,411"
2021년06월_남_60~69세,"11,319",785,343,389,325,465,489,420,438,226,294,374,212,188,260,157,694,704,397,"1,422","1,458",712,567
2021년06월_남_70~79세,"5,849",383,183,212,170,244,291,229,200,135,165,229,115,88,173,62,449,428,288,591,714,329,171
2021년06월_남_80~89세,"2,740",182,122,109,73,143,137,87,109,81,82,114,73,55,98,45,173,221,141,251,305,98,41
2021년06월_남_90~99세,268,19,14,10,11,17,11,16,7,6,8,19,12,7,9,4,13,10,14,25,21,10,5
2021년06월_남_100세 이상,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"69,849","3,473","1,437","1,517","1,197","1,669","1,944","1,507","1,675",949,"1,108","1,423",775,634,"1,162",539,"3,252","3,886","2,038","12,831","10,141","5,423","11,269"
2021년06월_여_연령구간인구수,"69,849","3,473","1,437","1,517","1,197","1,669","1,944","1,507","1,675",949,"1,108","1,423",775,634,"1,162",539,"3,252","3,886","2,038","12,831","10,141","5,423","11,269"
2021년06월_여_0~9세,"4,911",161,62,30,19,28,69,43,39,19,25,29,21,9,18,3,87,105,58,975,667,438,"2,006"
2021년06월_여_10~19세,"5,653",192,57,64,51,51,65,56,87,30,39,29,20,17,155,15,181,189,104,"1,561",910,469,"1,311"
2021년06월_여_20~29세,"6,348",218,104,81,59,54,107,106,105,68,56,75,29,25,40,17,262,342,150,"1,699",952,638,"1,161"
2021년06월_여_30~39세,"6,952",255,88,90,56,73,95,64,87,34,50,50,25,22,45,13,200,274,114,"1,377",971,565,"2,404"
2021년06월_여_40~49세,"9,091",350,108,114,72,96,170,100,127,70,75,66,41,35,63,38,316,376,183,"2,110","1,491",876,"2,214"
2021년06월_여_50~59세,"11,231",658,227,254,207,259,320,269,325,170,196,228,105,88,162,84,469,648,309,"2,166","1,922",939,"1,226"
2021년06월_여_60~69세,"11,597",719,328,330,304,394,448,381,391,214,260,340,169,142,239,147,855,919,479,"1,466","1,689",805,578
2021년06월_여_70~79세,"7,456",477,250,257,209,318,344,268,251,155,175,273,179,135,196,93,537,616,379,825,886,418,215
2021년06월_여_80~89세,"5,590",364,185,239,185,333,265,192,212,159,200,274,164,137,209,114,303,353,228,571,552,228,123
2021년06월_여_90~99세,990,78,27,56,34,63,60,28,48,30,30,59,21,22,32,15,42,61,33,75,100,46,30
2021년06월_여_100세 이상,30,1,1,2,1,0,1,0,3,0,2,0,1,2,3,0,0,3,1,6,1,1,1
