,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동,인천광역시 서구 아라동
2021년08월_계_80~89세,"10,779",654,"1,190",319,464,214,527,133,255,601,408,404,579,366,525,599,308,687,643,424,451,561,436,31
2021년08월_계_90~99세,"1,731",120,198,37,81,51,101,35,30,101,68,57,98,34,97,93,52,90,63,68,65,110,74,8
2021년08월_계_100세 이상,79,3,11,1,4,1,4,7,4,4,2,2,5,3,2,3,2,7,3,3,1,6,0,1
2021년08월_남_총인구수,"275,064","23,180","20,782","15,693","24,248","15,554","14,135","3,399","4,819","11,554","6,833","7,035","15,871","6,469","9,806","8,404","5,462","16,956","11,553","12,291","13,947","12,970","11,310","2,793"
2021년08월_남_연령구간인구수,"275,064","23,180","20,782","15,693","24,248","15,554","14,135","3,399","4,819","11,554","6,833","7,035","15,871","6,469","9,806","8,404","5,462","16,956","11,553","12,291","13,947","12,970","11,310","2,793"
2021년08월_남_0~9세,"25,023","2,232","1,120","1,996","3,314","2,380","1,710",159,204,579,318,317,"1,356",316,685,340,376,"1,309",916,"1,202","1,411","1,151","1,040",592
2021년08월_남_10~19세,"28,920","2,335","1,769","2,211","3,376","2,038","1,124",192,374,807,487,580,"1,457",424,943,628,402,"1,703","1,422","1,825","1,672","1,387","1,560",204
2021년08월_남_20~29세,"37,078","3,252","3,453","1,901","2,809","1,709","1,703",579,805,"1,700",955,"1,102","2,150",936,"1,459","1,217",638,"2,449","1,535","1,414","1,876","1,632","1,599",205
2021년08월_남_30~39세,"40,186","4,101","2,627","2,812","3,712","2,637","2,309",479,641,"1,649",828,895,"2,163",901,"1,308","1,015",829,"2,484","1,268","1,511","2,160","1,712","1,336",809
2021년08월_남_40~49세,"48,903","4,477","3,105","3,151","5,004","3,227","2,474",451,649,"1,746",998,"1,042","2,572","1,014","1,384","1,174",844,"2,984","2,202","2,711","2,682","2,338","2,100",574
2021년08월_남_50~59세,"47,489","3,536","4,262","2,195","3,413","2,065","2,242",778,"1,017","2,263","1,363","1,421","2,871","1,338","1,813","1,661",976,"3,103","2,183","2,127","2,362","2,295","1,977",228
2021년08월_남_60~69세,"31,961","2,155","2,996","1,029","1,888","1,153","1,759",578,833,"1,889","1,211","1,128","2,317","1,029","1,529","1,506",949,"1,949","1,161",890,"1,180","1,634","1,069",129
2021년08월_남_70~79세,"11,558",838,986,287,554,286,643,140,220,735,518,428,787,378,506,626,337,736,592,437,412,611,462,39
2021년08월_남_80~89세,"3,584",232,418,109,163,51,154,35,67,161,138,114,184,122,158,215,97,224,253,162,170,193,153,11
2021년08월_남_90~99세,339,20,43,2,15,7,16,5,6,23,17,8,13,9,20,22,14,14,20,12,21,16,14,2
2021년08월_남_100세 이상,23,2,3,0,0,1,1,3,3,2,0,0,1,2,1,0,0,1,1,0,1,1,0,0
2021년08월_여_총인구수,"269,662","22,325","20,065","15,793","24,612","15,803","13,961","3,104","4,849","10,876","6,297","6,859","15,913","5,698","10,314","8,112","5,121","15,888","11,150","11,961","14,095","12,453","11,624","2,789"
2021년08월_여_연령구간인구수,"269,662","22,325","20,065","15,793","24,612","15,803","13,961","3,104","4,849","10,876","6,297","6,859","15,913","5,698","10,314","8,112","5,121","15,888","11,150","11,961","14,095","12,453","11,624","2,789"
2021년08월_여_0~9세,"23,461","2,102","1,115","1,771","3,061","2,305","1,494",167,220,532,310,245,"1,307",292,631,328,378,"1,220",857,"1,120","1,353","1,141",957,555
2021년08월_여_10~19세,"27,553","2,092","1,660","2,199","3,199","1,986","1,026",174,341,735,419,607,"1,501",417,917,569,336,"1,667","1,343","1,680","1,600","1,279","1,578",228
2021년08월_여_20~29세,"34,445","3,058","2,949","2,033","2,783","1,671","1,632",462,735,"1,439",726,937,"1,968",790,"1,338","1,110",619,"2,182","1,307","1,347","1,936","1,557","1,601",265
2021년08월_여_30~39세,"38,491","3,879","2,226","2,794","4,225","2,964","2,384",414,543,"1,267",651,671,"2,141",650,"1,233",810,763,"2,073","1,191","1,573","2,170","1,641","1,397",831
2021년08월_여_40~49세,"46,610","4,039","2,951","3,309","5,162","3,235","2,149",337,606,"1,412",825,942,"2,417",774,"1,546","1,063",698,"2,760","2,162","2,736","2,699","2,135","2,179",474
2021년08월_여_50~59세,"46,360","3,513","4,224","2,054","3,357","2,054","2,345",760,"1,182","2,280","1,325","1,455","2,977","1,121","2,084","1,664",929,"2,800","1,913","1,660","2,279","2,193","1,965",226
2021년08월_여_60~69세,"30,816","2,181","2,723","1,006","1,842","1,063","1,764",508,729,"1,888","1,168","1,151","2,284",918,"1,546","1,459",812,"1,805","1,193",976,"1,204","1,399","1,066",131
2021년08월_여_70~79세,"13,283",938,"1,282",381,612,318,706,150,280,803,550,510,834,466,574,651,335,836,749,548,529,641,538,52
2021년08월_여_80~89세,"7,195",422,772,210,301,163,373,98,188,440,270,290,395,244,367,384,211,463,390,262,281,368,283,20
2021년08월_여_90~99세,"1,392",100,155,35,66,44,85,30,24,78,51,49,85,25,77,71,38,76,43,56,44,94,60,6
2021년08월_여_100세 이상,56,1,8,1,4,0,3,4,1,2,2,2,4,1,1,3,2,6,2,3,0,5,0,1
