카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년01월_계_80~89세,"9,743",911,254,525,320,442,357,869,312,312,726,852,697,415,597,487,"1,044",11,612
2020년01월_계_90~99세,"1,738",153,51,108,84,118,76,135,42,70,124,142,90,74,94,76,179,8,114
2020년01월_계_100세 이상,231,15,7,10,5,26,4,21,11,8,12,25,13,4,17,11,21,8,13
2020년01월_남_총인구수,"217,545","15,391","7,250","13,032","8,758","13,718","10,297","18,009","7,261","9,119","13,869","17,415","13,545","9,900","12,041","11,699","22,489",128,"13,624"
2020년01월_남_연령구간인구수,"217,545","15,391","7,250","13,032","8,758","13,718","10,297","18,009","7,261","9,119","13,869","17,415","13,545","9,900","12,041","11,699","22,489",128,"13,624"
2020년01월_남_0~9세,"17,030","1,401",628,"1,119",616,"1,759","1,178","1,213",686,"1,079",807,"1,008",798,832,647,747,"1,434",5,"1,073"
2020년01월_남_10~19세,"20,521","2,295",871,"1,448","1,439","1,999",932,"1,490",498,"1,019","1,023","1,063",729,951,642,"1,180","1,685",4,"1,253"
2020년01월_남_20~29세,"29,767","1,964",953,"1,702","1,181","1,442","1,200","2,579",988,"1,038","1,986","2,408","1,885","1,373","1,801","1,866","3,351",10,"2,040"
2020년01월_남_30~39세,"34,312","1,533","1,009","2,129",907,"1,889","1,743","2,919","1,395","1,246","2,208","3,268","2,462","1,634","2,289","1,853","3,773",15,"2,040"
2020년01월_남_40~49세,"35,455","2,695","1,139","2,068","1,431","2,764","1,700","2,915","1,174","1,657","2,185","2,675","2,116","1,682","1,874","1,814","3,529",26,"2,011"
2020년01월_남_50~59세,"34,816","2,465","1,225","1,973","1,419","1,849","1,600","3,049","1,064","1,305","2,303","3,067","2,332","1,465","1,989","1,877","3,593",18,"2,223"
2020년01월_남_60~69세,"27,788","1,739",923,"1,638","1,177","1,307","1,270","2,325",823,"1,141","2,007","2,313","1,943","1,153","1,625","1,383","3,131",26,"1,864"
2020년01월_남_70~79세,"13,874",920,409,749,463,509,528,"1,191",497,495,"1,073","1,246",999,623,905,787,"1,585",15,880
2020년01월_남_80~89세,"3,548",331,85,182,107,167,124,291,121,123,254,332,260,164,247,169,371,7,213
2020년01월_남_90~99세,376,44,7,22,18,22,19,33,13,12,20,28,16,23,18,20,34,1,26
2020년01월_남_100세 이상,58,4,1,2,0,11,3,4,2,4,3,7,5,0,4,3,3,1,1
2020년01월_여_총인구수,"223,250","16,492","7,284","13,609","8,965","13,267","9,923","18,360","7,658","9,502","14,225","17,631","13,919","10,555","12,377","11,963","23,425",140,"13,955"
2020년01월_여_연령구간인구수,"223,250","16,492","7,284","13,609","8,965","13,267","9,923","18,360","7,658","9,502","14,225","17,631","13,919","10,555","12,377","11,963","23,425",140,"13,955"
2020년01월_여_0~9세,"15,795","1,358",585,"1,063",580,"1,590","1,084","1,215",646,"1,030",806,926,764,782,553,657,"1,264",2,890
2020년01월_여_10~19세,"18,386","2,187",796,"1,334","1,215","1,477",846,"1,373",524,963,930,977,714,903,680,801,"1,520",4,"1,142"
2020년01월_여_20~29세,"29,638","1,937",800,"1,624","1,094","1,203","1,030","2,410","1,000","1,016","1,962","2,579","2,193","1,385","2,098","1,744","3,581",10,"1,972"
2020년01월_여_30~39세,"34,158","1,825","1,039","2,064",964,"2,178","1,746","2,722","1,411","1,451","1,999","3,041","2,427","1,746","2,060","1,800","3,642",12,"2,031"
2020년01월_여_40~49세,"35,532","2,915","1,233","2,291","1,741","2,730","1,599","2,840","1,196","1,674","2,033","2,489","1,894","1,775","1,759","1,893","3,373",26,"2,071"
2020년01월_여_50~59세,"36,604","2,526","1,254","2,225","1,466","1,790","1,549","3,111","1,150","1,422","2,531","3,008","2,248","1,639","2,009","2,146","4,066",15,"2,449"
2020년01월_여_60~69세,"30,614","1,957",973,"1,799","1,191","1,356","1,283","2,593",972,"1,182","2,225","2,520","2,064","1,377","1,831","1,694","3,528",29,"2,040"
2020년01월_여_70~79세,"14,793","1,087",385,772,430,557,495,"1,399",530,513,"1,154","1,439","1,096",642,948,846,"1,615",24,861
2020년01월_여_80~89세,"6,195",580,169,343,213,275,233,578,191,189,472,520,437,251,350,318,673,4,399
2020년01월_여_90~99세,"1,362",109,44,86,66,96,57,102,29,58,104,114,74,51,76,56,145,7,88
2020년01월_여_100세 이상,173,11,6,8,5,15,1,17,9,4,9,18,8,4,13,8,18,7,12
