,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년10월_남_10~19세,"23,012",552,"2,082","1,295",28,23,60,70,92,"1,198",106,"1,622",57,"2,628",836,"1,004",83,128,544,175,"1,898","1,332","3,081",549,"3,459",110
2021년10월_남_20~29세,"30,819",816,"2,602","1,142",58,66,88,166,133,"1,752",412,"2,080",127,"2,811","1,048","1,499",382,211,979,350,"2,674","1,362","3,939","2,262","3,434",426
2021년10월_남_30~39세,"33,937",630,"2,460","4,036",41,42,60,138,92,"1,769",436,"1,697",95,"2,448",803,871,327,327,"1,545",419,"2,405","1,474","4,418","2,599","4,211",594
2021년10월_남_40~49세,"36,637",973,"2,777","2,655",76,93,114,243,184,"1,828",553,"2,224",149,"3,573","1,015","1,138",257,234,"1,123",404,"2,903","1,922","4,847","1,572","5,341",439
2021년10월_남_50~59세,"35,684","1,440","3,911","1,159",207,176,235,470,324,"2,059",784,"2,768",235,"3,566","1,399","1,786",329,333,"1,106",415,"3,229","1,726","3,696",997,"3,013",321
2021년10월_남_60~69세,"22,077","1,437","2,553",611,262,237,270,516,354,"1,663",712,"1,945",281,"2,186",975,"1,219",248,216,557,251,"1,267",721,"1,860",459,"1,072",205
2021년10월_남_70~79세,"7,303",667,725,177,132,134,165,278,219,577,294,561,116,571,362,321,105,81,151,113,329,168,555,148,317,37
2021년10월_남_80~89세,"2,620",292,288,76,74,82,97,174,105,151,95,197,33,178,86,74,32,31,33,29,100,60,175,34,117,7
2021년10월_남_90~99세,236,25,32,12,13,7,12,18,6,6,9,16,1,11,4,7,1,2,3,2,10,6,17,4,12,0
2021년10월_남_100세 이상,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2021년10월_여_총인구수,"200,939","7,421","18,846","12,806",919,816,"1,060","1,917","1,496","12,251","2,878","14,943","1,046","19,200","7,180","8,294","1,419","1,444","6,244","1,982","14,858","8,966","23,201","7,534","22,235","1,983"
2021년10월_여_연령구간인구수,"200,939","7,421","18,846","12,806",919,816,"1,060","1,917","1,496","12,251","2,878","14,943","1,046","19,200","7,180","8,294","1,419","1,444","6,244","1,982","14,858","8,966","23,201","7,534","22,235","1,983"
2021년10월_여_0~9세,"19,035",398,"1,713","2,771",22,5,16,26,21,865,62,"1,060",35,"1,774",468,377,65,132,801,137,"1,377",993,"2,089",426,"3,130",272
2021년10월_여_10~19세,"21,168",562,"1,796","1,183",28,29,40,73,96,"1,186",89,"1,698",56,"2,350",702,826,83,90,546,172,"1,774","1,149","2,804",505,"3,216",115
2021년10월_여_20~29세,"24,178",520,"1,969","1,200",35,31,44,106,92,"1,508",297,"1,575",81,"2,287",820,"1,118",199,169,788,257,"2,018","1,026","3,226","2,064","2,481",267
2021년10월_여_30~39세,"29,531",574,"2,364","3,664",30,22,35,66,71,"1,543",291,"1,622",49,"2,409",766,745,180,218,"1,222",241,"1,935","1,381","3,822","1,760","4,065",456
2021년10월_여_40~49세,"35,946",922,"3,036","2,081",45,42,69,140,149,"2,006",404,"2,593",120,"3,764","1,273","1,450",187,183,"1,030",342,"3,096","1,934","4,644","1,196","4,934",306
2021년10월_여_50~59세,"34,295","1,440","4,018",960,144,138,152,323,259,"2,333",540,"3,191",218,"3,555","1,561","1,994",267,277,"1,105",411,"2,841","1,477","3,436",813,"2,537",305
2021년10월_여_60~69세,"20,905","1,382","2,186",493,235,204,261,421,318,"1,842",622,"2,027",266,"1,961","1,007","1,194",240,198,513,242,"1,112",596,"1,881",472,"1,046",186
2021년10월_여_70~79세,"9,080",818,929,213,174,137,200,389,242,635,367,723,126,669,376,385,142,104,146,117,410,247,796,186,496,53
2021년10월_여_80~89세,"5,764",652,695,206,173,174,210,321,212,300,169,401,79,365,183,181,46,62,79,53,247,133,432,89,286,16
2021년10월_여_90~99세,"1,002",147,137,34,33,33,33,49,34,33,35,53,15,65,23,22,10,8,14,9,47,29,70,21,42,6
2021년10월_여_100세 이상,35,6,3,1,0,1,0,3,2,0,2,0,1,1,1,2,0,3,0,1,1,1,1,2,2,1
