카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2020년10월_여_연령구간인구수,"175,872","20,831","1,171","1,516","2,776","4,164","2,864","3,420","2,673","1,648","1,156","9,839","15,278","18,868","11,984","15,300","17,646","15,857","9,935","5,499","13,447"
2020년10월_여_0~9세,"22,947","1,583",44,46,172,165,104,174,96,45,47,"1,297","2,103","2,462","1,768","2,352","3,020","2,716","1,586",784,"2,383"
2020년10월_여_10~19세,"20,928","2,068",48,63,165,203,143,205,176,60,96,"1,671","1,987","2,483","2,071","2,103","2,302","1,667","1,241",511,"1,665"
2020년10월_여_20~29세,"18,084","2,773",150,116,249,359,383,311,236,120,114,838,"2,043","2,342",861,"1,400","1,361","1,584",982,652,"1,210"
2020년10월_여_30~39세,"31,250","2,468",105,121,265,333,270,265,205,93,73,"1,458","3,208","3,604","1,990","2,982","3,636","3,839","2,043","1,159","3,133"
2020년10월_여_40~49세,"33,121","3,233",108,123,323,386,309,361,279,134,140,"2,337","3,023","3,939","3,104","3,145","3,713","2,929","1,948",935,"2,652"
2020년10월_여_50~59세,"21,385","3,170",218,246,459,730,558,534,474,294,196,"1,205","1,609","2,034","1,212","1,606","1,784","1,768","1,127",827,"1,334"
2020년10월_여_60~69세,"14,838","2,671",224,314,508,837,509,664,450,380,187,598,842,"1,102",605,"1,033","1,224",873,657,415,745
2020년10월_여_70~79세,"7,706","1,751",143,226,356,613,309,511,387,262,155,271,282,526,239,427,426,299,214,115,194
2020년10월_여_80~89세,"4,650",935,107,211,249,445,240,335,300,211,128,138,144,305,107,219,143,141,109,79,104
2020년10월_여_90~99세,920,167,22,47,29,89,37,57,65,44,20,24,37,71,27,33,37,38,28,22,26
2020년10월_여_100세 이상,43,12,2,3,1,4,2,3,5,5,0,2,0,0,0,0,0,3,0,0,1
