,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2020년10월_남_40~49세,"55,437","29,294","2,424","2,271","3,036","2,787","2,589","3,574","2,198","1,574","1,923","3,026","1,692","1,457",743,"26,143","3,865","1,649","1,856","3,512",627,"1,417","2,257","4,279","1,392","1,588","3,155",546
2020년10월_남_50~59세,"65,384","34,996","2,470","2,497","3,345","3,208","2,718","3,873","2,715","2,112","2,475","4,154","2,696","1,714","1,019","30,388","4,088","2,060","2,211","4,538","1,045","1,855","2,314","4,150","1,525","2,115","3,494",993
2020년10월_남_60~69세,"36,700","19,190","1,285","1,379","1,532","1,727","1,365","1,924","1,492","1,147","1,228","2,218","1,705","1,424",764,"17,510","2,018","1,191","1,432","2,352",575,"1,193","1,353","2,273","1,070","1,042","1,907","1,104"
2020년10월_남_70~79세,"13,206","7,350",606,608,621,546,370,781,599,466,456,704,502,774,317,"5,856",697,453,400,591,287,416,477,799,302,383,506,545
2020년10월_남_80~89세,"4,720","2,713",203,214,331,207,93,295,234,213,191,246,178,218,90,"2,007",236,156,115,211,105,104,156,286,108,122,197,211
2020년10월_남_90~99세,443,269,19,13,55,19,9,19,21,19,11,20,35,20,9,174,21,8,11,25,11,6,13,25,9,14,12,19
2020년10월_남_100세 이상,30,15,0,1,4,0,0,0,1,0,1,1,4,2,1,15,0,0,2,1,1,2,1,2,1,1,1,3
2020년10월_여_총인구수,"318,469","170,681","12,401","11,313","15,853","16,424","15,196","18,517","13,635","10,227","10,690","19,029","13,844","9,160","4,392","147,788","18,561","11,064","12,778","22,303","2,666","9,122","10,586","23,225","8,376","7,622","17,335","4,150"
2020년10월_여_연령구간인구수,"318,469","170,681","12,401","11,313","15,853","16,424","15,196","18,517","13,635","10,227","10,690","19,029","13,844","9,160","4,392","147,788","18,561","11,064","12,778","22,303","2,666","9,122","10,586","23,225","8,376","7,622","17,335","4,150"
2020년10월_여_0~9세,"22,032","11,504",910,568,905,"1,281","1,698","1,326",771,486,736,"1,127",862,583,251,"10,528","1,334",629,815,"1,760",143,660,819,"1,921",617,460,"1,239",131
2020년10월_여_10~19세,"31,295","16,723","1,289",810,"1,441","1,803","1,799","1,974","1,508",891,"1,077","1,844","1,268",646,373,"14,572","1,873",952,"1,098","2,545",152,877,"1,240","2,469",667,772,"1,749",178
2020년10월_여_20~29세,"49,626","26,840","1,863","2,099","2,705","2,526","2,277","2,794","2,145","1,739","1,627","3,234","2,287","1,027",517,"22,786","2,753","2,092","2,542","3,752",194,"1,354","1,339","3,466","1,194","1,118","2,677",305
2020년10월_여_30~39세,"38,937","20,036","1,437","1,551","1,942","1,983","2,220","2,147","1,399","1,165","1,127","1,994","1,594","1,058",419,"18,901","2,292","1,411","1,869","2,749",255,"1,151","1,269","3,269","1,216",818,"2,327",275
2020년10월_여_40~49세,"53,375","28,484","2,152","1,796","2,692","2,799","2,791","3,369","2,377","1,616","1,770","3,162","2,066","1,263",631,"24,891","3,354","1,700","1,971","3,992",404,"1,448","1,848","4,128","1,280","1,277","3,089",400
2020년10월_여_50~59세,"62,211","33,427","2,186","2,079","2,974","3,196","2,658","3,493","2,723","2,176","2,191","4,067","3,066","1,765",853,"28,784","3,489","2,041","2,364","4,559",611,"1,887","2,010","4,126","1,670","1,611","3,443",973
2020년10월_여_60~69세,"33,324","17,837","1,244","1,274","1,370","1,632","1,159","1,731","1,351","1,099","1,098","1,960","1,616","1,560",743,"15,487","1,836","1,206","1,337","1,817",431,"1,087","1,226","2,091",984,881,"1,595",996
2020년10월_여_70~79세,"16,371","9,360",832,704,903,713,347,"1,028",831,652,636,919,604,832,359,"7,011",980,618,440,619,299,439,492,"1,038",439,404,732,511
2020년10월_여_80~89세,"9,551","5,476",408,359,772,416,202,574,460,352,378,616,393,351,195,"4,075",554,361,266,422,153,183,287,602,268,248,417,314
2020년10월_여_90~99세,"1,647",940,76,67,139,70,45,81,65,51,47,98,84,71,46,707,91,52,73,85,19,27,53,109,40,31,63,64
2020년10월_여_100세 이상,100,54,4,6,10,5,0,0,5,0,3,8,4,4,5,46,5,2,3,3,5,9,3,6,1,2,4,3
