,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2021년03월_남_연령구간인구수,"142,785","1,352","4,470",949,"10,403","3,270","3,363","1,427",658,405,"1,156","2,430","1,592","2,187","2,079","3,187","1,882","2,774","5,794","3,478","9,317","10,858","6,342","5,210","5,286","16,760","18,708","11,318","4,212","1,313",605
2021년03월_남_0~9세,"10,383",26,289,15,"1,078",142,73,31,7,10,26,111,48,69,60,131,60,76,354,222,567,957,328,380,523,"1,338","2,343",595,485,32,7
2021년03월_남_10~19세,"13,627",44,336,39,"1,047",171,161,67,17,17,47,158,103,156,114,172,117,125,464,314,980,"1,178",578,630,485,"2,013","2,373","1,011",612,71,27
2021년03월_남_20~29세,"19,076",108,446,85,"1,266",275,333,82,30,29,87,271,193,239,206,375,239,267,699,402,"1,415","1,499","1,084",764,584,"2,990","2,441","1,962",471,168,66
2021년03월_남_30~39세,"16,412",79,424,48,"1,274",247,224,77,41,11,84,271,191,189,178,336,168,236,620,338,"1,033","1,325",720,625,721,"2,083","2,764","1,380",572,111,42
2021년03월_남_40~49세,"22,106",162,755,94,"1,699",492,380,163,67,51,157,338,199,314,297,450,247,402,873,502,"1,375","1,794",983,809,848,"2,655","3,168","1,710",864,169,89
2021년03월_남_50~59세,"25,434",246,765,167,"1,822",605,706,274,97,92,270,375,253,384,369,544,308,512,998,559,"1,631","1,810","1,220",937,765,"3,117","3,147","2,404",620,293,144
2021년03월_남_60~69세,"20,449",314,802,237,"1,334",633,776,338,183,81,274,454,269,416,390,582,358,551,984,669,"1,478","1,426",911,700,745,"1,676","1,699","1,479",331,242,117
2021년03월_남_70~79세,"11,325",251,455,177,617,479,491,264,148,77,154,359,241,317,352,462,282,457,624,370,605,657,400,295,475,711,593,586,200,158,68
2021년03월_남_80~89세,"3,657",113,180,77,245,209,190,118,61,33,52,81,89,95,104,124,98,139,174,95,222,196,109,65,134,166,162,172,53,60,41
2021년03월_남_90~99세,299,9,18,10,20,15,29,12,7,4,4,8,6,8,8,10,5,9,4,6,11,16,9,5,6,11,17,19,2,7,4
2021년03월_남_100세 이상,17,0,0,0,1,2,0,1,0,0,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2021년03월_여_총인구수,"137,059","1,328","4,102",980,"10,013","3,045","3,145","1,371",676,409,898,"2,356","1,600","2,204","1,952","2,961","1,925","2,679","5,683","3,450","9,594","10,705","5,479","5,092","5,226","15,838","18,566","10,128","3,992","1,106",556
2021년03월_여_연령구간인구수,"137,059","1,328","4,102",980,"10,013","3,045","3,145","1,371",676,409,898,"2,356","1,600","2,204","1,952","2,961","1,925","2,679","5,683","3,450","9,594","10,705","5,479","5,092","5,226","15,838","18,566","10,128","3,992","1,106",556
2021년03월_여_0~9세,"10,150",27,273,14,981,126,59,31,7,8,32,130,64,76,44,93,84,92,342,218,610,884,312,373,519,"1,342","2,288",587,490,33,11
2021년03월_여_10~19세,"12,524",43,315,33,"1,000",140,126,54,17,21,35,133,92,128,112,127,122,139,432,313,900,"1,153",496,561,446,"1,855","2,115","1,006",516,59,35
2021년03월_여_20~29세,"14,545",76,302,59,967,188,246,50,29,22,61,206,181,174,140,285,189,194,518,314,"1,111","1,206",721,651,481,"2,155","2,135","1,343",418,80,43
2021년03월_여_30~39세,"14,178",44,369,38,"1,263",189,146,40,19,16,48,199,123,150,112,225,132,201,482,314,946,"1,202",501,511,658,"1,871","2,865",884,548,65,17
2021년03월_여_40~49세,"19,704",73,523,54,"1,511",242,220,81,22,30,59,237,149,235,176,298,186,224,697,445,"1,396","1,804",810,875,724,"2,824","3,314","1,557",804,101,33
2021년03월_여_50~59세,"23,013",207,622,150,"1,694",436,504,170,84,45,186,332,211,333,282,484,298,388,"1,045",582,"1,777","1,706",999,941,797,"2,852","3,004","2,149",455,192,88
2021년03월_여_60~69세,"20,862",304,813,221,"1,242",620,639,315,132,84,209,530,333,544,454,685,443,677,"1,141",695,"1,602","1,425",796,702,799,"1,691","1,674","1,390",378,222,102
2021년03월_여_70~79세,"13,420",321,541,208,760,590,634,348,179,96,142,399,301,391,424,514,286,506,703,400,783,825,521,326,512,758,685,705,253,187,122
2021년03월_여_80~89세,"7,191",196,290,166,515,414,467,236,148,72,98,156,128,148,183,209,148,214,270,145,391,404,279,122,233,401,401,424,109,138,86
2021년03월_여_90~99세,"1,387",36,53,34,75,98,100,45,37,14,28,31,17,18,21,36,35,37,45,22,76,96,44,29,50,82,85,82,21,21,19
2021년03월_여_100세 이상,85,1,1,3,5,2,4,1,2,1,0,3,1,7,4,5,2,7,8,2,2,0,0,1,7,7,0,1,0,8,0
