카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년04월_남_총인구수,"213,007","7,342","19,376","13,896",927,876,"1,127","2,119","1,599","11,963","2,107","1,566","14,419","1,138","19,779","7,148","8,420","1,855","1,744","6,963","2,347","16,139","9,820","24,897","8,838","24,177","2,425"
2021년04월_남_연령구간인구수,"213,007","7,342","19,376","13,896",927,876,"1,127","2,119","1,599","11,963","2,107","1,566","14,419","1,138","19,779","7,148","8,420","1,855","1,744","6,963","2,347","16,139","9,820","24,897","8,838","24,177","2,425"
2021년04월_남_0~9세,"20,772",445,"1,913","2,822",21,6,19,33,45,873,37,39,"1,207",31,"1,910",541,440,70,147,856,177,"1,378","1,103","2,455",471,"3,418",315
2021년04월_남_10~19세,"23,137",562,"2,099","1,208",27,21,68,75,99,"1,242",49,74,"1,680",62,"2,622",852,"1,027",87,124,546,169,"1,948","1,340","3,109",536,"3,403",108
2021년04월_남_20~29세,"31,086",840,"2,713","1,189",63,72,95,168,136,"1,818",260,188,"2,169",134,"2,801","1,095","1,545",386,228,"1,035",359,"2,667","1,332","3,895","2,130","3,361",407
2021년04월_남_30~39세,"34,569",652,"2,491","4,213",49,51,65,140,101,"1,797",294,166,"1,744",95,"2,497",820,861,326,329,"1,587",425,"2,382","1,517","4,461","2,558","4,336",612
2021년04월_남_40~49세,"36,748","1,004","2,792","2,487",82,94,116,259,212,"1,828",407,196,"2,254",152,"3,567","1,066","1,175",263,242,"1,128",423,"2,932","1,909","4,846","1,569","5,330",415
2021년04월_남_50~59세,"35,641","1,459","3,938","1,133",208,178,231,486,341,"2,099",506,311,"2,758",249,"3,574","1,420","1,822",335,343,"1,108",404,"3,213","1,706","3,617",966,"2,899",337
2021년04월_남_60~69세,"21,142","1,424","2,408",577,258,232,262,502,342,"1,595",371,358,"1,877",269,"2,059",938,"1,170",249,222,519,245,"1,180",685,"1,791",424,996,189
2021년04월_남_70~79세,"7,105",646,700,175,131,135,165,264,219,569,147,173,523,111,573,328,302,102,72,152,112,321,164,535,146,303,37
2021년04월_남_80~89세,"2,582",290,295,80,77,80,95,177,98,137,34,55,191,35,167,84,71,36,34,30,29,105,58,171,31,117,5
2021년04월_남_90~99세,222,20,27,12,11,7,11,15,6,4,2,6,16,0,9,4,7,1,3,2,4,12,6,17,7,13,0
2021년04월_남_100세 이상,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2021년04월_여_총인구수,"201,723","7,492","18,848","12,712",931,826,"1,078","1,948","1,535","12,276","1,660","1,439","15,033","1,064","19,156","7,281","8,354","1,459","1,472","6,276","2,036","14,828","9,002","23,264","7,530","22,246","1,977"
2021년04월_여_연령구간인구수,"201,723","7,492","18,848","12,712",931,826,"1,078","1,948","1,535","12,276","1,660","1,439","15,033","1,064","19,156","7,281","8,354","1,459","1,472","6,276","2,036","14,828","9,002","23,264","7,530","22,246","1,977"
2021년04월_여_0~9세,"19,565",416,"1,736","2,761",22,6,24,31,23,883,34,34,"1,065",40,"1,832",507,379,68,133,819,151,"1,398","1,043","2,159",450,"3,280",271
2021년04월_여_10~19세,"21,257",562,"1,816","1,096",31,33,44,76,97,"1,181",48,54,"1,733",62,"2,347",730,854,83,95,552,177,"1,780","1,155","2,835",523,"3,183",110
2021년04월_여_20~29세,"24,770",563,"2,023","1,298",39,28,52,112,104,"1,561",207,112,"1,661",80,"2,291",838,"1,143",227,189,842,267,"2,006","1,042","3,221","2,087","2,501",276
2021년04월_여_30~39세,"30,176",604,"2,396","3,697",34,27,33,72,78,"1,557",229,86,"1,675",57,"2,476",812,742,166,204,"1,222",269,"1,966","1,424","3,948","1,741","4,204",457
2021년04월_여_40~49세,"36,039",936,"3,090","1,982",47,45,72,151,163,"2,016",300,128,"2,657",122,"3,735","1,314","1,496",189,191,"1,025",338,"3,133","1,932","4,621","1,207","4,845",304
2021년04월_여_50~59세,"34,241","1,460","3,988",948,151,150,160,328,275,"2,360",332,281,"3,190",222,"3,560","1,560","2,027",289,287,"1,090",414,"2,793","1,438","3,405",778,"2,446",309
2021년04월_여_60~69세,"20,024","1,349","2,047",476,227,197,257,424,312,"1,789",278,370,"1,919",264,"1,828",960,"1,136",234,192,492,247,"1,040",579,"1,786",453,986,182
2021년04월_여_70~79세,"8,974",806,926,215,170,138,205,390,243,624,150,240,694,125,667,347,373,139,111,139,116,424,240,790,179,475,48
2021년04월_여_80~89세,"5,668",653,685,208,179,172,201,314,208,267,61,119,388,76,351,189,176,53,60,82,49,244,125,428,88,279,13
2021년04월_여_90~99세,972,138,137,29,31,29,30,47,30,37,20,14,51,15,67,23,26,11,7,13,7,44,23,70,22,45,6
2021년04월_여_100세 이상,37,5,4,2,0,1,0,3,2,1,1,1,0,1,2,1,2,0,3,0,1,0,1,1,2,2,1
