,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2021년11월_남_60~69세,"41,233","21,818","1,432","1,530","1,675","1,936","1,933","2,148","1,632","1,276","1,421","2,539","1,930","1,512",854,"19,415","2,231","1,302","1,498","2,663",617,"1,465","1,481","2,499","1,180","1,131","2,146","1,202"
2021년11월_남_70~79세,"13,680","7,512",607,618,651,577,446,744,611,469,451,714,531,759,334,"6,168",736,451,416,637,283,492,506,866,340,369,513,559
2021년11월_남_80~89세,"5,068","2,927",227,230,322,230,111,319,251,234,196,269,181,252,105,"2,141",246,166,105,232,105,129,173,322,117,124,204,218
2021년11월_남_90~99세,474,295,20,19,55,20,10,22,27,20,17,21,38,22,4,179,19,10,12,26,7,5,16,24,12,14,10,24
2021년11월_남_100세 이상,23,12,0,1,3,0,0,1,0,0,0,1,5,1,0,11,0,1,2,0,0,1,1,1,0,2,0,3
2021년11월_여_총인구수,"318,458","172,061","12,078","11,112","15,476","16,129","20,575","17,936","13,227","9,834","10,525","18,656","13,456","8,713","4,344","146,397","18,047","10,776","12,320","21,829","2,582","10,569","10,438","22,825","8,614","7,267","16,839","4,291"
2021년11월_여_연령구간인구수,"318,458","172,061","12,078","11,112","15,476","16,129","20,575","17,936","13,227","9,834","10,525","18,656","13,456","8,713","4,344","146,397","18,047","10,776","12,320","21,829","2,582","10,569","10,438","22,825","8,614","7,267","16,839","4,291"
2021년11월_여_0~9세,"20,525","10,771",768,491,793,"1,100","2,228","1,128",699,408,670,"1,011",748,509,218,"9,754","1,203",535,706,"1,646",131,766,733,"1,795",598,422,"1,090",129
2021년11월_여_10~19세,"29,850","16,220","1,232",739,"1,288","1,679","2,573","1,837","1,339",787,"1,034","1,605","1,169",579,359,"13,630","1,754",866,977,"2,457",155,948,"1,171","2,200",644,665,"1,623",170
2021년11월_여_20~29세,"49,561","27,184","1,796","2,061","2,661","2,485","3,396","2,711","2,053","1,631","1,561","3,267","2,136",948,478,"22,377","2,599","2,045","2,611","3,515",171,"1,552","1,304","3,371","1,221","1,100","2,590",298
2021년11월_여_30~39세,"38,739","20,092","1,360","1,503","1,904","1,945","2,911","2,019","1,356","1,079","1,043","2,023","1,600",944,405,"18,647","2,123","1,366","1,788","2,703",250,"1,474","1,195","3,240","1,288",754,"2,178",288
2021년11월_여_40~49세,"50,652","27,187","1,987","1,655","2,414","2,654","3,681","3,130","2,102","1,480","1,649","2,844","1,837","1,163",591,"23,465","3,155","1,540","1,809","3,711",366,"1,535","1,739","3,840","1,290","1,167","2,894",419
2021년11월_여_50~59세,"62,831","34,089","2,233","2,087","3,024","3,189","3,437","3,505","2,756","2,126","2,251","4,030","2,990","1,624",837,"28,742","3,479","2,080","2,224","4,531",589,"2,146","2,025","4,138","1,682","1,523","3,400",925
2021년11월_여_60~69세,"37,634","20,129","1,370","1,362","1,498","1,800","1,617","1,902","1,545","1,235","1,243","2,220","1,851","1,658",828,"17,505","2,059","1,299","1,453","2,104",453,"1,406","1,368","2,368","1,123",929,"1,802","1,141"
2021년11월_여_70~79세,"16,532","9,430",818,713,909,730,428,"1,035",811,635,631,904,623,826,367,"7,102",990,618,409,626,288,476,521,"1,064",450,417,726,517
2021년11월_여_80~89세,"10,264","5,894",436,412,831,465,245,583,483,404,388,640,404,385,218,"4,370",580,372,278,436,165,228,321,670,273,253,454,340
2021년11월_여_90~99세,"1,795","1,023",74,83,148,79,59,85,78,49,52,105,94,75,42,772,99,55,62,98,13,30,60,135,43,35,80,62
2021년11월_여_100세 이상,75,42,4,6,6,3,0,1,5,0,3,7,4,2,1,33,6,0,3,2,1,8,1,4,2,2,2,2
