카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2021년03월_남_40~49세,"34,018","1,538","1,643","1,310","1,867","1,522","1,038","1,947","2,027","1,376","1,543","3,032","3,993","4,862","2,609","3,711"
2021년03월_남_50~59세,"31,915","1,813","1,907","1,587","2,197","1,816","1,396","2,678","2,190","1,619","1,662","3,157","2,936","3,048","1,659","2,250"
2021년03월_남_60~69세,"20,648","1,249","1,269","1,554","1,452","1,443","1,273","2,039","1,548","1,132","1,060","1,820","1,192","1,507",821,"1,289"
2021년03월_남_70~79세,"7,274",575,562,581,558,513,506,789,464,368,381,584,350,475,247,321
2021년03월_남_80~89세,"2,416",220,182,195,170,189,183,294,140,133,143,187,127,127,63,63
2021년03월_남_90~99세,290,21,23,20,17,25,22,27,31,15,24,26,13,14,3,9
2021년03월_남_100세 이상,11,0,0,0,0,2,2,4,0,0,0,0,1,2,0,0
2021년03월_여_총인구수,"196,408","9,881","10,486","8,324","9,049","10,896","8,629","12,116","13,104","9,499","9,666","19,384","18,668","24,890","12,642","19,174"
2021년03월_여_연령구간인구수,"196,408","9,881","10,486","8,324","9,049","10,896","8,629","12,116","13,104","9,499","9,666","19,384","18,668","24,890","12,642","19,174"
2021년03월_여_0~9세,"18,846",665,748,413,449,675,473,591,"1,141",661,768,"1,532","2,388","3,425","1,861","3,056"
2021년03월_여_10~19세,"20,963",888,"1,065",520,723,825,588,867,"1,334",942,"1,403","2,784","3,078","2,897","1,409","1,640"
2021년03월_여_20~29세,"25,203","1,209","1,405","1,056","1,354","1,570","1,105","1,489","1,718","1,295","1,226","3,277","1,773","3,207","1,417","2,102"
2021년03월_여_30~39세,"29,474","1,108","1,255",982,"1,043","1,529","1,056","1,291","1,952","1,265","1,005","2,323","2,602","4,982","2,514","4,567"
2021년03월_여_40~49세,"34,976","1,574","1,686","1,034","1,403","1,561","1,153","1,705","2,174","1,558","1,853","3,593","4,550","5,005","2,604","3,523"
2021년03월_여_50~59세,"32,809","1,895","2,044","1,772","1,822","2,071","1,652","2,575","2,506","1,880","1,698","3,138","2,547","3,049","1,648","2,512"
2021년03월_여_60~69세,"19,581","1,311","1,252","1,427","1,240","1,410","1,287","1,934","1,421","1,100",932,"1,685","1,041","1,466",811,"1,264"
2021년03월_여_70~79세,"8,482",760,596,668,621,683,673,970,479,444,460,606,412,548,245,317
2021년03월_여_80~89세,"4,967",405,359,371,332,468,512,577,298,312,256,346,218,257,110,146
2021년03월_여_90~99세,"1,068",66,72,76,59,101,124,112,77,39,65,99,56,54,22,46
2021년03월_여_100세 이상,39,0,4,5,3,3,6,5,4,3,0,1,3,0,1,1
