,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2021년03월_계_90~99세,"1,649",86,90,79,76,157,93,78,54,59,54,33,95,95,73,189,99,102,137
2021년03월_계_100세 이상,65,5,3,4,10,4,4,2,2,3,0,4,3,2,3,6,4,1,5
2021년03월_남_총인구수,"222,010","14,999","14,702","10,655","12,587","20,739","10,619","10,269","8,144","8,933","7,357","6,785","9,936","10,051","9,676","23,999","16,236","12,076","14,247"
2021년03월_남_연령구간인구수,"222,010","14,999","14,702","10,655","12,587","20,739","10,619","10,269","8,144","8,933","7,357","6,785","9,936","10,051","9,676","23,999","16,236","12,076","14,247"
2021년03월_남_0~9세,"16,091","1,484",854,692,659,"1,805",500,721,466,708,481,758,539,950,652,"1,930",857,"1,058",977
2021년03월_남_10~19세,"26,228","2,535","1,325",827,"1,767","4,088",661,869,579,853,684,604,684,"1,507","1,542","2,866","1,179","1,880","1,778"
2021년03월_남_20~29세,"30,121","1,633","2,432","1,736","2,213","2,280","1,395","1,357","1,044","1,132","1,073",789,"1,367","1,236","1,276","3,188","2,498","1,626","1,846"
2021년03월_남_30~39세,"28,264","1,372","2,679","1,972","1,374","1,728","1,513","1,496","1,084","1,196","1,072","1,303","1,389",893,842,"2,997","2,657","1,201","1,496"
2021년03월_남_40~49세,"37,498","3,125","2,223","1,506","2,000","4,025","1,605","1,662","1,216","1,530","1,131","1,093","1,508","1,898","1,747","4,082","2,576","2,129","2,442"
2021년03월_남_50~59세,"37,936","2,607","2,311","1,638","2,383","3,464","1,998","1,615","1,600","1,372","1,210",979,"1,733","1,772","1,805","4,118","2,583","2,159","2,589"
2021년03월_남_60~69세,"28,093","1,405","1,820","1,427","1,325","2,103","1,827","1,509","1,366","1,294","1,067",811,"1,637","1,086","1,156","2,857","2,214","1,296","1,893"
2021년03월_남_70~79세,"13,522",649,812,632,671,931,894,825,606,657,494,363,786,513,478,"1,489","1,274",546,902
2021년03월_남_80~89세,"3,847",164,220,206,174,273,209,200,172,174,137,79,271,172,159,430,368,149,290
2021년03월_남_90~99세,396,23,26,18,18,42,16,14,10,17,8,6,19,24,19,42,29,32,33
2021년03월_남_100세 이상,14,2,0,1,3,0,1,1,1,0,0,0,3,0,0,0,1,0,1
2021년03월_여_총인구수,"230,667","16,275","15,510","11,587","13,181","21,084","10,070","10,718","7,308","9,292","7,546","7,004","10,303","10,549","10,066","25,214","16,939","12,778","15,243"
2021년03월_여_연령구간인구수,"230,667","16,275","15,510","11,587","13,181","21,084","10,070","10,718","7,308","9,292","7,546","7,004","10,303","10,549","10,066","25,214","16,939","12,778","15,243"
2021년03월_여_0~9세,"15,244","1,470",825,612,738,"1,573",468,701,382,710,486,702,479,880,653,"1,841",767,"1,013",944
2021년03월_여_10~19세,"24,082","2,521","1,178",705,"1,533","3,385",640,893,543,753,575,635,671,"1,449","1,419","2,692","1,126","1,754","1,610"
2021년03월_여_20~29세,"29,065","1,720","2,531","1,815","1,936","2,112","1,276","1,278",947,"1,057","1,076",780,"1,216","1,172","1,204","3,003","2,717","1,521","1,704"
2021년03월_여_30~39세,"29,092","1,878","2,580","2,009","1,373","2,215","1,216","1,443",906,"1,219",986,"1,295","1,203","1,154",952,"3,125","2,356","1,516","1,666"
2021년03월_여_40~49세,"40,909","3,754","2,384","1,664","2,518","5,020","1,447","1,628",980,"1,492","1,155","1,073","1,430","2,138","2,035","4,366","2,610","2,577","2,638"
2021년03월_여_50~59세,"38,344","2,365","2,573","1,975","2,440","3,208","1,800","1,691","1,302","1,474","1,305","1,059","1,804","1,699","1,717","4,274","2,799","2,212","2,647"
2021년03월_여_60~69세,"30,539","1,504","2,048","1,629","1,403","2,169","1,819","1,797","1,171","1,474","1,142",890,"1,850","1,150","1,127","3,284","2,592","1,352","2,138"
2021년03월_여_70~79세,"15,104",673,892,727,801,820,965,884,734,725,548,400,"1,030",555,616,"1,713","1,405",483,"1,133"
2021년03월_여_80~89세,"6,984",324,432,387,374,463,359,338,298,343,227,139,544,279,286,763,494,279,655
2021년03월_여_90~99세,"1,253",63,64,61,58,115,77,64,44,42,46,27,76,71,54,147,70,70,104
2021년03월_여_100세 이상,51,3,3,3,7,4,3,1,1,3,0,4,0,2,3,6,3,1,4
