,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2021년04월_계_80~89세,"13,126",520,223,834,"1,083",802,434,676,911,694,552,975,376,426,716,641,489,475,"1,032",419,848
2021년04월_계_90~99세,"1,459",56,41,110,118,85,49,77,78,76,66,136,34,42,68,78,49,42,114,50,90
2021년04월_계_100세 이상,61,1,1,2,5,2,1,3,2,3,4,2,0,0,0,6,0,0,3,2,24
2021년04월_남_총인구수,"172,498","7,852","4,914","9,871","10,776","9,557","5,864","10,712","9,850","11,217","8,709","11,199","4,944","5,625","9,702","8,277","8,112","5,484","14,129","5,705","9,999"
2021년04월_남_연령구간인구수,"172,498","7,852","4,914","9,871","10,776","9,557","5,864","10,712","9,850","11,217","8,709","11,199","4,944","5,625","9,702","8,277","8,112","5,484","14,129","5,705","9,999"
2021년04월_남_0~9세,"10,627",324,334,702,678,571,282,718,494,"1,038",575,561,382,346,419,505,620,279,933,234,632
2021년04월_남_10~19세,"12,467",290,221,932,853,759,269,636,588,946,956,977,344,435,611,706,473,431,"1,235",249,556
2021년04월_남_20~29세,"25,650","1,566",911,"1,102","1,220","1,416","1,183","2,108","1,586","1,303","1,095","1,564",631,690,"1,713","1,134","1,421",840,"1,899","1,065","1,203"
2021년04월_남_30~39세,"24,379","1,334",921,"1,183","1,246","1,216","1,078","2,218","1,470","1,503",854,"1,204",829,666,"1,191",924,"1,376",633,"1,687","1,175","1,671"
2021년04월_남_40~49세,"25,887","1,006",792,"1,594","1,574","1,437",886,"1,592","1,430","1,919","1,378","1,635",752,872,"1,431","1,190","1,254",781,"2,083",792,"1,489"
2021년04월_남_50~59세,"27,962","1,340",743,"1,534","1,747","1,704",817,"1,365","1,465","1,816","1,638","2,057",701,"1,074","1,627","1,336","1,233",929,"2,441",857,"1,538"
2021년04월_남_60~69세,"26,511","1,211",652,"1,566","1,830","1,445",742,"1,173","1,514","1,575","1,324","1,951",738,932,"1,569","1,384",981,911,"2,480",792,"1,741"
2021년04월_남_70~79세,"13,956",585,253,909,"1,192",710,427,634,941,857,684,910,408,457,870,812,559,498,"1,013",377,860
2021년04월_남_80~89세,"4,750",186,76,319,413,275,170,249,352,243,196,318,153,146,262,264,185,174,337,150,282
2021년04월_남_90~99세,297,9,11,29,22,23,10,19,10,16,9,22,6,7,9,22,10,8,21,13,21
2021년04월_남_100세 이상,12,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6
2021년04월_여_총인구수,"184,695","7,818","4,957","10,996","11,422","10,711","6,917","11,594","11,100","11,668","9,039","12,217","5,396","5,849","9,709","8,761","8,830","5,716","15,097","6,330","10,568"
2021년04월_여_연령구간인구수,"184,695","7,818","4,957","10,996","11,422","10,711","6,917","11,594","11,100","11,668","9,039","12,217","5,396","5,849","9,709","8,761","8,830","5,716","15,097","6,330","10,568"
2021년04월_여_0~9세,"10,308",327,284,735,620,578,262,705,454,918,547,582,365,321,446,506,606,323,868,265,596
2021년04월_여_10~19세,"12,147",260,237,917,709,765,300,658,572,930,926,938,342,459,589,672,526,403,"1,233",228,483
2021년04월_여_20~29세,"26,952","1,952","1,022","1,002","1,033","1,470","1,789","2,642","1,848","1,238",908,"1,325",691,574,"1,413",990,"1,786",718,"1,720","1,472","1,359"
2021년04월_여_30~39세,"23,408","1,168",818,"1,119","1,181","1,274","1,169","2,090","1,481","1,550",832,"1,129",815,608,"1,044",904,"1,352",535,"1,691","1,130","1,518"
2021년04월_여_40~49세,"25,242",794,689,"1,757","1,547","1,520",866,"1,503","1,511","1,857","1,485","1,711",733,850,"1,195","1,222","1,133",742,"2,104",735,"1,288"
2021년04월_여_50~59세,"29,597","1,107",776,"1,762","1,870","1,881",785,"1,415","1,581","1,911","1,678","2,297",772,"1,125","1,652","1,492","1,265",973,"2,790",821,"1,644"
2021년04월_여_60~69세,"29,969","1,170",660,"1,928","2,210","1,635",870,"1,285","1,833","1,704","1,455","2,221",919,"1,002","1,798","1,629","1,175","1,048","2,669",865,"1,893"
2021년04월_여_70~79세,"17,485",659,293,"1,179","1,482",998,572,808,"1,191","1,047",791,"1,241",508,595,"1,059",907,644,639,"1,231",507,"1,134"
2021년04월_여_80~89세,"8,376",334,147,515,670,527,264,427,559,451,356,657,223,280,454,377,304,301,695,269,566
2021년04월_여_90~99세,"1,162",47,30,81,96,62,39,58,68,60,57,114,28,35,59,56,39,34,93,37,69
2021년04월_여_100세 이상,49,0,1,1,4,1,1,3,2,2,4,2,0,0,0,6,0,0,3,1,18
