,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2021년07월_남_연령구간인구수,"203,720","7,442","7,050","8,310","9,382","8,959","3,877","23,708","15,964","9,081","11,571","16,659","10,746","8,463","4,453","6,831","8,676","11,004","6,110","10,388","7,506","7,540"
2021년07월_남_0~9세,"13,590",556,567,527,321,683,132,"2,008","1,108",518,836,"1,630",644,463,216,269,376,980,263,590,516,387
2021년07월_남_10~19세,"16,244",471,428,693,503,699,172,"2,537","1,875",859,749,"1,317",444,565,340,410,567,927,487,932,676,593
2021년07월_남_20~29세,"29,884","1,030","1,018","1,125","2,530","1,274",525,"3,467","2,227","1,263","1,629","2,013","2,099","1,155",645,903,"1,244","1,407",799,"1,490","1,028","1,013"
2021년07월_남_30~39세,"29,677","1,187","1,278","1,177","1,091","1,479",501,"3,198","1,694","1,095","1,877","3,080","2,384","1,097",529,839,"1,376","1,749",695,"1,336",952,"1,063"
2021년07월_남_40~49세,"33,479","1,202","1,133","1,281","1,180","1,359",552,"4,220","2,759","1,422","1,904","2,894","1,822","1,296",716,"1,000","1,398","2,030",951,"1,643","1,119","1,598"
2021년07월_남_50~59세,"33,694","1,227","1,106","1,372","1,361","1,391",719,"3,860","2,888","1,633","1,908","2,359","1,589","1,477",763,"1,197","1,529","1,638","1,075","1,861","1,254","1,487"
2021년07월_남_60~69세,"27,641","1,015",900,"1,207","1,267","1,146",667,"2,732","2,085","1,302","1,520","2,120","1,155","1,362",704,"1,170","1,297","1,327","1,061","1,512","1,197",895
2021년07월_남_70~79세,"14,141",540,431,683,794,697,418,"1,220",976,720,829,923,437,770,396,759,634,670,543,748,579,374
2021년07월_남_80~89세,"4,889",191,178,212,302,207,172,432,326,241,286,301,159,254,122,266,235,258,213,251,162,121
2021년07월_남_90~99세,453,22,10,32,33,20,18,34,23,27,33,17,10,24,20,17,18,18,22,25,22,8
2021년07월_남_100세 이상,28,1,1,1,0,4,1,0,3,1,0,5,3,0,2,1,2,0,1,0,1,1
2021년07월_여_총인구수,"200,840","7,250","7,051","8,252","7,912","8,881","3,486","24,049","16,099","9,397","11,611","16,173","9,791","8,262","4,361","6,864","8,672","11,085","6,493","10,845","7,794","6,512"
2021년07월_여_연령구간인구수,"200,840","7,250","7,051","8,252","7,912","8,881","3,486","24,049","16,099","9,397","11,611","16,173","9,791","8,262","4,361","6,864","8,672","11,085","6,493","10,845","7,794","6,512"
2021년07월_여_0~9세,"12,974",521,513,523,293,605,134,"1,936","1,118",545,724,"1,575",566,449,215,275,401,910,268,590,441,372
2021년07월_여_10~19세,"15,284",453,410,591,448,604,164,"2,354","1,683",809,782,"1,240",438,510,299,429,584,892,429,944,653,568
2021년07월_여_20~29세,"26,856",912,"1,077","1,013","1,445","1,290",347,"3,389","1,974","1,062","1,601","1,912","2,114",941,546,770,"1,181","1,384",684,"1,334",984,896
2021년07월_여_30~39세,"25,593",976,"1,128",995,735,"1,309",332,"3,071","1,644",981,"1,654","2,678","1,874",976,428,654,"1,051","1,629",594,"1,151",910,823
2021년07월_여_40~49세,"29,772",983,923,"1,218",865,"1,248",385,"4,118","2,820","1,425","1,672","2,448","1,338","1,085",615,809,"1,154","1,786",901,"1,608","1,138","1,233"
2021년07월_여_50~59세,"33,098","1,161","1,116","1,317","1,252","1,349",563,"3,937","2,859","1,665","1,898","2,426","1,515","1,360",721,"1,119","1,508","1,619","1,193","2,028","1,402","1,090"
2021년07월_여_60~69세,"30,174","1,104",938,"1,312","1,366","1,252",760,"2,870","2,199","1,485","1,699","2,156","1,156","1,531",755,"1,414","1,458","1,608","1,248","1,753","1,284",826
2021년07월_여_70~79세,"16,999",702,543,792,978,785,484,"1,493","1,149",863,"1,015","1,095",488,876,511,899,813,783,754,929,605,442
2021년07월_여_80~89세,"8,505",372,333,419,442,359,274,751,552,476,488,535,248,454,233,416,439,385,361,442,313,213
2021년07월_여_90~99세,"1,519",62,66,70,86,71,37,129,97,82,75,101,53,79,34,79,80,86,59,64,62,47
2021년07월_여_100세 이상,66,4,4,2,2,9,6,1,4,4,3,7,1,1,4,0,3,3,2,2,2,2
