카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년08월_계_80~89세,"10,117",600,"1,115",295,433,225,528,131,241,571,416,416,553,332,467,527,267,634,609,383,428,522,424
2020년08월_계_90~99세,"1,648",99,197,45,73,47,94,33,24,93,62,56,99,44,93,84,59,99,51,61,61,103,71
2020년08월_계_100세 이상,100,5,11,2,3,1,7,7,2,10,4,1,7,3,2,6,6,10,6,4,2,1,0
2020년08월_남_총인구수,"274,487","23,457","21,184","15,648","24,385","14,637","14,271","3,502","4,989","11,781","7,021","7,483","16,194","6,455","10,052","8,469","5,666","17,090","11,528","12,441","14,153","12,634","11,447"
2020년08월_남_연령구간인구수,"274,487","23,457","21,184","15,648","24,385","14,637","14,271","3,502","4,989","11,781","7,021","7,483","16,194","6,455","10,052","8,469","5,666","17,090","11,528","12,441","14,153","12,634","11,447"
2020년08월_남_0~9세,"26,540","2,502","1,260","2,084","3,645","2,425","1,774",177,251,655,377,371,"1,426",331,746,367,390,"1,464","1,014","1,411","1,554","1,191","1,125"
2020년08월_남_10~19세,"29,124","2,347","1,893","2,214","3,183","1,906","1,111",220,411,845,493,624,"1,522",455,985,690,434,"1,774","1,479","1,785","1,725","1,400","1,628"
2020년08월_남_20~29세,"37,870","3,383","3,554","1,875","2,925","1,573","1,778",602,839,"1,810",988,"1,222","2,242",916,"1,578","1,240",738,"2,516","1,523","1,390","1,934","1,671","1,573"
2020년08월_남_30~39세,"41,235","4,359","2,669","2,942","4,002","2,589","2,535",509,681,"1,696",885,904,"2,319",894,"1,323","1,072",911,"2,572","1,314","1,666","2,311","1,654","1,428"
2020년08월_남_40~49세,"48,872","4,459","3,282","3,176","4,969","2,964","2,399",473,673,"1,822","1,044","1,161","2,580","1,049","1,463","1,176",859,"3,057","2,283","2,810","2,739","2,241","2,193"
2020년08월_남_50~59세,"47,301","3,447","4,419","2,051","3,278","1,876","2,308",826,"1,097","2,382","1,432","1,574","3,028","1,370","1,890","1,713","1,042","3,056","2,055","1,969","2,266","2,283","1,939"
2020년08월_남_60~69세,"28,847","1,946","2,673",933,"1,701",983,"1,604",518,744,"1,710","1,166","1,050","2,128",940,"1,420","1,406",883,"1,709","1,045",824,"1,055","1,434",975
2020년08월_남_70~79세,"11,044",792,985,273,521,255,596,140,214,681,492,444,753,375,487,613,311,714,563,421,397,580,437
2020년08월_남_80~89세,"3,308",200,398,96,146,60,150,30,74,158,130,125,182,110,140,172,81,211,235,156,153,165,136
2020년08월_남_90~99세,313,19,46,4,14,5,14,4,5,18,14,8,13,13,20,19,15,14,15,8,18,14,13
2020년08월_남_100세 이상,33,3,5,0,1,1,2,3,0,4,0,0,1,2,0,1,2,3,2,1,1,1,0
2020년08월_여_총인구수,"269,140","22,693","20,437","15,824","24,584","14,918","14,108","3,164","4,928","11,092","6,510","7,365","16,170","5,660","10,590","8,134","5,311","15,953","11,301","12,136","14,245","12,181","11,836"
2020년08월_여_연령구간인구수,"269,140","22,693","20,437","15,824","24,584","14,918","14,108","3,164","4,928","11,092","6,510","7,365","16,170","5,660","10,590","8,134","5,311","15,953","11,301","12,136","14,245","12,181","11,836"
2020년08월_여_0~9세,"24,811","2,332","1,236","1,883","3,366","2,285","1,580",180,249,631,372,286,"1,403",274,702,346,395,"1,311",986,"1,250","1,507","1,163","1,074"
2020년08월_여_10~19세,"27,808","2,126","1,747","2,209","3,043","1,842","1,027",214,381,777,448,668,"1,546",438,993,625,366,"1,691","1,401","1,695","1,612","1,306","1,653"
2020년08월_여_20~29세,"35,106","3,207","3,054","1,983","2,868","1,565","1,738",458,755,"1,521",768,"1,089","2,135",780,"1,462","1,104",709,"2,218","1,340","1,321","1,918","1,509","1,604"
2020년08월_여_30~39세,"39,470","4,146","2,380","3,034","4,463","2,970","2,474",394,527,"1,266",724,693,"2,237",627,"1,300",813,789,"2,141","1,273","1,756","2,328","1,661","1,474"
2020년08월_여_40~49세,"47,028","4,097","3,158","3,293","4,962","2,960","2,134",388,675,"1,515",874,"1,061","2,464",830,"1,595","1,125",765,"2,888","2,245","2,799","2,769","2,110","2,321"
2020년08월_여_50~59세,"45,914","3,418","4,320","1,909","3,285","1,912","2,381",789,"1,190","2,392","1,364","1,601","3,072","1,173","2,154","1,688",980,"2,716","1,808","1,564","2,190","2,136","1,872"
2020년08월_여_60~69세,"27,780","1,976","2,403",894,"1,648",878,"1,615",456,663,"1,707","1,083","1,088","2,052",819,"1,398","1,363",752,"1,629","1,114",935,"1,080","1,247",980
2020년08월_여_70~79세,"13,012",909,"1,265",377,601,299,696,151,300,789,539,539,798,465,584,645,321,844,720,533,522,603,512
2020년08월_여_80~89세,"6,809",400,717,199,287,165,378,101,167,413,286,291,371,222,327,355,186,423,374,227,275,357,288
2020년08월_여_90~99세,"1,335",80,151,41,59,42,80,29,19,75,48,48,86,31,73,65,44,85,36,53,43,89,58
2020년08월_여_100세 이상,67,2,6,2,2,0,5,4,2,6,4,1,6,1,2,5,4,7,4,3,1,0,0
