카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2021년11월_남_50~59세,"155,181","52,932","27,761","25,171","23,260","24,736","9,772","7,281","7,319","8,495","2,475","2,290","2,047","2,561","2,393","4,866","4,754"
2021년11월_남_60~69세,"132,534","38,378","20,845","17,533","19,278","20,915","8,875","6,755","7,632","7,749","2,793","2,419","2,248","2,851","2,603","5,079","4,959"
2021년11월_남_70~79세,"76,234","20,089","10,890","9,199","10,697","11,225","5,730","4,150","5,003","4,354","1,740","1,380","1,374","1,878","1,670","3,574","3,370"
2021년11월_남_80~89세,"32,341","7,605","4,046","3,559","3,665","4,287","2,816","2,105","2,330","1,850",869,862,729,"1,039",920,"1,750","1,514"
2021년11월_남_90~99세,"3,212",690,382,308,345,453,256,247,290,195,82,76,77,106,110,153,132
2021년11월_남_100세 이상,65,9,5,4,6,7,9,5,6,6,3,3,1,3,3,2,2
2021년11월_여_총인구수,"898,792","334,206","172,654","161,552","131,065","139,850","53,662","40,542","40,790","44,290","12,336","11,924","10,901","13,019","13,711","26,930","25,566"
2021년11월_여_연령구간인구수,"898,792","334,206","172,654","161,552","131,065","139,850","53,662","40,542","40,790","44,290","12,336","11,924","10,901","13,019","13,711","26,930","25,566"
2021년11월_여_0~9세,"58,518","25,156","11,242","13,914","9,585","8,564","2,860","2,182","1,881","3,202",591,494,491,627,618,"1,157","1,110"
2021년11월_여_10~19세,"82,255","33,921","16,668","17,253","12,663","13,236","4,368","3,438","2,963","3,898",760,884,811,736,"1,041","1,845","1,691"
2021년11월_여_20~29세,"95,179","44,149","23,558","20,591","13,079","16,060","4,540","3,246","3,074","3,829",782,758,669,760,823,"1,698","1,712"
2021년11월_여_30~39세,"88,335","40,133","19,364","20,769","13,875","13,092","3,927","2,944","2,889","4,259",772,715,691,797,901,"1,657","1,683"
2021년11월_여_40~49세,"126,314","53,552","26,807","26,745","20,233","19,778","6,698","5,004","4,233","5,985","1,065","1,229","1,048","1,059","1,343","2,542","2,545"
2021년11월_여_50~59세,"143,528","54,427","29,523","24,904","20,906","23,804","8,357","6,310","5,959","6,764","1,917","1,850","1,579","1,936","1,995","3,919","3,805"
2021년11월_여_60~69세,"135,314","42,483","23,527","18,956","19,754","21,379","8,864","6,739","7,423","7,077","2,412","2,227","2,144","2,358","2,440","5,047","4,967"
2021년11월_여_70~79세,"94,646","24,887","13,476","11,411","12,743","13,640","7,380","5,569","6,332","4,953","2,010","1,902","1,714","2,336","2,330","4,549","4,301"
2021년11월_여_80~89세,"62,833","13,099","7,119","5,980","6,853","8,598","5,638","4,296","5,043","3,624","1,711","1,584","1,507","2,033","1,899","3,755","3,193"
2021년11월_여_90~99세,"11,496","2,333","1,330","1,003","1,336","1,660",989,787,960,679,304,264,237,366,304,738,539
2021년11월_여_100세 이상,374,66,40,26,38,39,41,27,33,20,12,17,10,11,17,23,20
