,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020년12월_남_90~99세,254,22,9,8,8,10,5,10,12,12,24,11,15,5,4,9,15,3,22,12,7,11,11,9
2020년12월_남_100세 이상,22,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,6,1,5,2,1,1,1,1
2020년12월_여_총인구수,"54,717","2,847","2,119","1,436","1,020","1,402",907,892,"1,064","1,304","1,753","1,396",845,"1,139",606,"1,063","8,671","1,527","10,650","1,777","5,260","3,025","2,128","1,886"
2020년12월_여_연령구간인구수,"54,717","2,847","2,119","1,436","1,020","1,402",907,892,"1,064","1,304","1,753","1,396",845,"1,139",606,"1,063","8,671","1,527","10,650","1,777","5,260","3,025","2,128","1,886"
2020년12월_여_0~9세,"3,104",126,90,29,24,39,20,19,20,37,31,28,25,49,15,30,713,83,813,78,455,223,94,63
2020년12월_여_10~19세,"4,533",148,122,67,31,60,33,45,37,61,79,28,33,50,23,49,944,136,"1,363",135,572,258,156,103
2020년12월_여_20~29세,"4,756",178,172,76,43,48,48,60,44,67,106,57,41,69,28,55,985,162,"1,162",148,549,289,184,185
2020년12월_여_30~39세,"4,151",164,141,63,44,73,32,31,43,62,57,61,36,36,16,39,907,117,984,125,554,305,139,122
2020년12월_여_40~49세,"7,030",276,206,96,68,78,53,68,59,87,141,77,47,98,32,79,"1,565",228,"1,815",175,921,429,244,188
2020년12월_여_50~59세,"8,496",419,378,226,142,194,109,152,135,183,244,178,126,158,109,129,"1,398",251,"1,675",275,856,484,381,294
2020년12월_여_60~69세,"8,529",509,375,269,199,288,193,177,204,253,367,339,159,207,120,214,"1,017",195,"1,315",346,637,450,376,320
2020년12월_여_70~79세,"7,626",561,317,294,231,318,209,161,245,284,355,314,185,247,147,244,687,199,894,303,445,371,298,317
2020년12월_여_80~89세,"5,493",406,268,268,208,261,170,152,236,234,329,265,156,195,96,196,387,135,519,139,232,173,227,241
2020년12월_여_90~99세,908,52,45,48,29,41,38,26,40,33,43,45,35,27,19,28,55,19,98,39,33,41,25,49
2020년12월_여_100세 이상,91,8,5,0,1,2,2,1,1,3,1,4,2,3,1,0,13,2,12,14,6,2,4,4
