카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역북동,경기도 용인시 처인구 삼가동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 죽전3동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 상현3동,경기도 용인시 수지구 성복동
2021년11월_계_80~89세,"30,370","7,870",961,854,803,650,505,660,647,723,484,321,859,403,"12,331","1,163",497,613,718,438,972,672,352,"1,527","1,277",684,589,884,708,"1,237","10,169","1,057","1,002","1,131",973,507,692,982,594,"1,034",587,"1,610"
2021년11월_계_90~99세,"4,445","1,227",140,141,131,92,86,81,122,103,82,49,122,78,"1,788",131,88,171,119,43,142,89,44,225,188,89,82,104,94,179,"1,430",151,117,164,122,97,96,156,99,134,77,217
2021년11월_계_100세 이상,146,34,1,3,6,3,2,1,7,2,3,0,2,4,64,8,2,4,7,0,5,5,2,7,7,2,2,1,6,6,48,9,2,2,5,3,4,5,3,4,3,8
2021년11월_남_총인구수,"535,053","133,624","17,302","14,202","10,450","12,039","4,291","4,625","10,526","12,677","16,142","6,212","18,317","6,841","218,341","19,145","15,172","8,662","20,899","6,850","16,497","10,746","13,612","19,410","15,661","15,715","13,395","12,850","11,944","17,783","183,088","18,059","20,207","18,318","14,129","9,120","13,012","24,462","9,775","16,183","13,511","26,312"
2021년11월_남_연령구간인구수,"535,053","133,624","17,302","14,202","10,450","12,039","4,291","4,625","10,526","12,677","16,142","6,212","18,317","6,841","218,341","19,145","15,172","8,662","20,899","6,850","16,497","10,746","13,612","19,410","15,661","15,715","13,395","12,850","11,944","17,783","183,088","18,059","20,207","18,318","14,129","9,120","13,012","24,462","9,775","16,183","13,511","26,312"
2021년11월_남_0~9세,"48,630","10,262","1,095",974,708,"1,582",169,129,640,761,"1,802",538,"1,511",353,"20,544","1,596","1,636",915,"2,114",482,"1,432",891,"1,488","1,653","1,294","1,543","1,275","1,660",939,"1,626","17,824","1,342","2,254","1,636","1,172",748,"1,140","2,871",993,"1,615","1,289","2,764"
2021년11월_남_10~19세,"61,846","12,996","1,897","1,289",929,"1,040",281,302,"1,125","1,113","1,566",660,"2,192",602,"25,913","1,837","1,837",615,"1,697",617,"2,202","1,123","1,286","2,477","1,577","2,820","2,391","1,702","1,401","2,331","22,937","1,820","2,918","2,722","1,810",797,"1,623","2,758","1,375","2,144","1,690","3,280"
2021년11월_남_20~29세,"72,123","18,940","2,695","1,921","1,220",980,404,545,"1,428","2,338","2,765",958,"2,667","1,019","29,953","2,515","2,013","1,284","3,279","1,041","2,103","1,375","3,205","2,308","2,122","1,834","1,681","1,251","1,756","2,186","23,230","2,650","2,458","2,089","1,919","1,443","2,010","2,816","1,123","1,897","1,903","2,922"
2021년11월_남_30~39세,"69,804","17,836","2,108","1,639","1,319","1,983",417,440,"1,396","1,771","2,914",802,"2,258",789,"28,109","3,123","2,186","1,599","3,757","1,033","1,753","1,356","2,194","2,060","1,917","1,438",969,"1,625","1,285","1,814","23,859","3,400","2,740","1,763","1,575","1,652","1,631","3,516","1,083","1,895","2,006","2,598"
2021년11월_남_40~49세,"97,317","22,851","3,068","2,430","1,797","2,366",567,591,"1,707","2,018","2,924",997,"3,380","1,006","40,320","3,271","2,887","1,388","3,627","1,186","3,114","1,920","2,361","3,634","2,542","3,570","2,750","2,718","1,967","3,385","34,146","2,841","4,290","3,563","2,523","1,457","2,438","4,742","1,839","3,026","2,519","4,908"
2021년11월_남_50~59세,"86,927","22,760","3,208","2,624","1,943","1,536",839,889,"1,855","2,143","2,034","1,124","3,265","1,300","35,157","3,172","2,576","1,320","3,338","1,217","2,759","1,755","1,576","3,121","2,505","2,648","2,469","1,615","2,255","2,831","29,010","2,737","3,137","3,077","2,390","1,418","2,080","3,706","1,592","2,585","2,079","4,209"
2021년11월_남_60~69세,"54,666","17,323","2,031","2,060","1,579","1,510",932,"1,031","1,542","1,598","1,353",683,"1,871","1,133","20,751","2,090","1,301",878,"1,891",682,"1,666","1,339",990,"2,032","1,789",977,"1,000","1,029","1,374","1,713","16,592","1,801","1,292","1,639","1,419",878,"1,155","2,354",852,"1,418","1,111","2,673"
2021년11월_남_70~79세,"29,703","7,479",833,887,667,778,477,444,579,652,574,308,816,464,"11,769","1,013",552,379,877,385,995,677,372,"1,376","1,242",596,569,802,683,"1,251","10,455",995,686,"1,223",821,489,630,"1,233",608,"1,074",625,"2,071"
2021년11월_남_80~89세,"12,838","2,911",341,350,267,242,187,234,229,262,192,131,324,152,"5,315",489,169,219,290,200,424,295,131,704,607,259,265,409,264,590,"4,612",429,397,555,458,204,276,430,290,487,267,819
2021년11월_남_90~99세,"1,177",260,26,28,20,21,18,20,24,20,17,11,33,22,498,38,14,64,28,7,48,13,9,44,64,30,25,38,20,56,419,44,35,51,42,34,29,35,19,41,21,68
2021년11월_남_100세 이상,22,6,0,0,1,1,0,0,1,1,1,0,0,1,12,1,1,1,1,0,1,2,0,1,2,0,1,1,0,0,4,0,0,0,0,0,0,1,1,1,1,0
2021년11월_여_총인구수,"543,551","126,863","16,205","12,901","9,992","11,846","4,004","3,857","9,207","12,306","15,798","6,430","17,957","6,360","223,982","19,211","15,314","8,856","20,873","6,407","16,867","10,949","12,761","20,854","16,381","17,016","13,905","13,541","12,581","18,466","192,706","18,173","20,829","19,516","15,053","9,288","14,095","25,248","10,656","17,131","14,422","28,295"
2021년11월_여_연령구간인구수,"543,551","126,863","16,205","12,901","9,992","11,846","4,004","3,857","9,207","12,306","15,798","6,430","17,957","6,360","223,982","19,211","15,314","8,856","20,873","6,407","16,867","10,949","12,761","20,854","16,381","17,016","13,905","13,541","12,581","18,466","192,706","18,173","20,829","19,516","15,053","9,288","14,095","25,248","10,656","17,131","14,422","28,295"
2021년11월_여_0~9세,"46,518","9,786","1,043",854,739,"1,537",167,101,558,751,"1,733",488,"1,502",313,"19,540","1,582","1,554",912,"2,005",410,"1,343",846,"1,465","1,573","1,206","1,602","1,189","1,525",840,"1,488","17,192","1,260","2,156","1,647","1,171",678,"1,130","2,681",994,"1,528","1,319","2,628"
2021년11월_여_10~19세,"58,991","12,064","1,753","1,157",860,"1,041",298,245,950,"1,057","1,534",622,"2,040",507,"24,615","1,708","1,749",595,"1,578",607,"2,081","1,040","1,300","2,332","1,458","2,780","2,219","1,652","1,318","2,198","22,312","1,719","2,754","2,591","1,737",730,"1,660","2,644","1,440","2,021","1,629","3,387"
2021년11월_여_20~29세,"66,209","15,867","2,133","1,587",937,857,311,321,"1,069","2,096","2,571",903,"2,262",820,"27,365","2,479","1,791","1,112","3,303",895,"1,955","1,208","2,202","2,131","1,978","1,813","1,584","1,253","1,618","2,043","22,977","2,541","2,425","1,973","1,881","1,396","2,072","2,762","1,121","1,851","2,105","2,850"
2021년11월_여_30~39세,"71,081","15,587","1,717","1,432","1,022","2,024",298,292,"1,054","1,444","2,726",817,"2,153",608,"29,240","2,856","2,229","1,580","3,758",867,"1,861","1,352","2,145","2,193","1,974","1,734","1,290","1,921","1,376","2,104","26,254","2,873","3,152","2,108","1,731","1,573","1,844","4,029","1,318","2,139","2,162","3,325"
2021년11월_여_40~49세,"100,216","20,589","2,853","2,110","1,511","2,034",472,374,"1,406","1,811","2,679","1,084","3,328",927,"42,239","3,255","2,965","1,340","3,431","1,091","3,221","1,908","2,188","4,013","2,730","4,070","3,295","2,783","2,157","3,792","37,388","2,999","4,512","4,188","2,885","1,504","2,587","4,878","2,116","3,341","2,734","5,644"
2021년11월_여_50~59세,"84,299","21,325","2,879","2,236","1,807","1,545",729,670,"1,640","2,116","2,165","1,178","3,084","1,276","34,599","3,075","2,510","1,469","3,321","1,058","2,701","1,825","1,693","3,179","2,685","2,343","2,093","1,599","2,358","2,690","28,375","2,757","2,812","2,899","2,433","1,504","2,122","3,600","1,515","2,588","2,060","4,085"
2021년11월_여_60~69세,"59,112","16,967","1,989","1,910","1,623","1,563",895,886,"1,393","1,648","1,347",750,"1,899","1,064","23,316","2,127","1,465",954,"1,941",700,"1,851","1,513","1,027","2,556","2,030","1,291","1,145","1,287","1,536","1,893","18,829","2,022","1,306","1,884","1,540",967,"1,353","2,585",987,"1,719","1,289","3,177"
2021년11월_여_70~79세,"36,201","8,724","1,103",995,841,764,446,480,615,838,684,360,"1,063",535,"14,710","1,355",648,390,"1,011",505,"1,208",801,483,"1,867","1,521",897,708,980,854,"1,482","12,767","1,258","1,023","1,535","1,075",567,840,"1,392",779,"1,301",746,"2,251"
2021년11월_여_80~89세,"17,532","4,959",620,504,536,408,318,426,418,461,292,190,535,251,"7,016",674,328,394,428,238,548,377,221,823,670,425,324,475,444,647,"5,557",628,605,576,515,303,416,552,304,547,320,791
2021년11월_여_90~99세,"3,268",967,114,113,111,71,68,61,98,83,65,38,89,56,"1,290",93,74,107,91,36,94,76,35,181,124,59,57,66,74,123,"1,011",107,82,113,80,63,67,121,80,93,56,149
2021년11월_여_100세 이상,124,28,1,3,5,2,2,1,6,1,2,0,2,3,52,7,1,3,6,0,4,3,2,6,5,2,1,0,6,6,44,9,2,2,5,3,4,4,2,3,2,8
