카테고리,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년12월_남_70~79세,"5,449",396,116,280,241,68,187,341,134,148,174,110,49,150,174,83,22,195,97,32,183,180,64,488,326,318,377,210,306
2021년12월_남_80~89세,"2,720",224,58,159,142,49,116,174,73,86,91,66,27,73,119,59,12,101,56,30,102,105,29,163,132,133,142,87,112
2021년12월_남_90~99세,260,18,4,13,15,5,11,19,8,6,4,10,1,5,11,4,0,10,5,3,11,21,2,13,8,14,16,4,19
2021년12월_남_100세 이상,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"48,697","3,290",707,"1,939","1,522",489,"1,316","1,977",818,927,"1,261",840,390,966,"1,438",601,148,"1,389",609,182,"1,106","1,017",412,"5,970","4,648","4,590","4,039","1,784","4,322"
2021년12월_여_연령구간인구수,"48,697","3,290",707,"1,939","1,522",489,"1,316","1,977",818,927,"1,261",840,390,966,"1,438",601,148,"1,389",609,182,"1,106","1,017",412,"5,970","4,648","4,590","4,039","1,784","4,322"
2021년12월_여_0~9세,"2,350",114,13,49,38,12,33,46,26,26,41,32,11,23,77,9,2,45,12,7,20,17,16,384,369,338,228,51,311
2021년12월_여_10~19세,"3,448",268,33,64,71,16,37,89,23,32,74,29,18,53,84,32,4,60,18,5,47,43,15,531,386,462,360,141,453
2021년12월_여_20~29세,"3,230",151,24,67,66,16,47,59,34,36,48,26,11,45,59,37,3,48,19,2,34,34,25,523,436,370,344,113,553
2021년12월_여_30~39세,"3,258",176,26,86,43,13,57,75,37,27,60,26,20,39,77,23,2,51,16,3,30,25,20,552,512,445,329,108,380
2021년12월_여_40~49세,"5,155",323,28,102,81,27,67,113,38,56,96,60,22,57,112,45,9,122,29,13,61,73,24,872,698,639,549,211,628
2021년12월_여_50~59세,"7,578",456,91,261,218,72,179,262,112,157,229,133,71,160,245,104,23,203,68,23,128,116,67,"1,010",757,751,672,294,716
2021년12월_여_60~69세,"9,683",682,158,426,319,118,323,524,187,234,337,217,94,230,314,148,43,319,157,36,268,220,86,"1,040",780,696,716,378,633
2021년12월_여_70~79세,"6,939",548,165,377,300,80,262,397,164,176,209,156,59,175,235,99,27,257,145,34,228,225,71,627,397,454,465,271,336
2021년12월_여_80~89세,"5,901",489,145,420,317,116,260,345,163,157,138,138,73,144,203,82,29,243,114,49,230,222,66,362,265,371,321,177,262
2021년12월_여_90~99세,"1,121",78,24,84,65,19,49,65,33,26,27,23,11,40,32,21,6,40,29,10,59,40,22,68,48,61,53,39,49
2021년12월_여_100세 이상,34,5,0,3,4,0,2,2,1,0,2,0,0,0,0,1,0,1,2,0,1,2,0,1,0,3,2,1,1
