카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년04월_계_80~89세,"9,950",603,"1,089",296,427,226,506,128,245,584,415,404,557,317,461,513,263,610,586,384,407,528,401
2020년04월_계_90~99세,"1,582",100,190,42,72,42,92,34,28,88,57,51,91,45,84,74,60,98,48,58,61,95,72
2020년04월_계_100세 이상,103,6,10,2,3,1,7,7,2,10,4,1,7,3,2,7,6,10,5,5,2,2,1
2020년04월_남_총인구수,"274,644","23,545","21,476","15,657","24,477","13,402","14,355","3,531","5,061","11,834","7,141","7,623","16,312","6,455","10,109","8,480","5,634","17,203","11,565","12,413","14,166","12,679","11,526"
2020년04월_남_연령구간인구수,"274,644","23,545","21,476","15,657","24,477","13,402","14,355","3,531","5,061","11,834","7,141","7,623","16,312","6,455","10,109","8,480","5,634","17,203","11,565","12,413","14,166","12,679","11,526"
2020년04월_남_0~9세,"26,846","2,556","1,309","2,101","3,722","2,197","1,800",179,258,677,407,375,"1,451",338,754,375,389,"1,486","1,045","1,410","1,600","1,240","1,177"
2020년04월_남_10~19세,"29,277","2,360","1,945","2,216","3,176","1,788","1,098",239,419,861,507,656,"1,529",462,999,709,431,"1,789","1,497","1,811","1,735","1,408","1,642"
2020년04월_남_20~29세,"38,208","3,390","3,621","1,857","2,964","1,444","1,843",613,879,"1,829","1,015","1,263","2,309",919,"1,638","1,241",759,"2,527","1,527","1,365","1,925","1,706","1,574"
2020년04월_남_30~39세,"41,694","4,435","2,762","2,987","4,077","2,322","2,619",518,668,"1,717",913,932,"2,367",875,"1,344","1,082",907,"2,648","1,341","1,698","2,355","1,676","1,451"
2020년04월_남_40~49세,"48,986","4,495","3,361","3,198","4,947","2,689","2,385",474,708,"1,854","1,066","1,177","2,593","1,090","1,450","1,186",839,"3,093","2,298","2,838","2,756","2,266","2,223"
2020년04월_남_50~59세,"47,324","3,439","4,508","2,024","3,249","1,760","2,320",850,"1,119","2,391","1,467","1,618","3,041","1,384","1,914","1,730","1,047","3,084","2,051","1,894","2,238","2,277","1,919"
2020년04월_남_60~69세,"27,919","1,880","2,575",904,"1,655",905,"1,545",493,721,"1,673","1,135","1,029","2,102",892,"1,383","1,371",864,"1,658",997,812,"1,008","1,370",947
2020년04월_남_70~79세,"10,808",760,958,265,532,230,595,130,204,649,484,446,730,375,469,599,300,694,572,423,387,556,450
2020년04월_남_80~89세,"3,239",205,389,101,138,60,136,28,80,160,134,120,177,106,139,168,79,207,221,151,145,165,130
2020년04월_남_90~99세,314,22,44,4,17,6,12,4,5,19,13,7,12,12,19,18,17,14,15,10,16,15,13
2020년04월_남_100세 이상,29,3,4,0,0,1,2,3,0,4,0,0,1,2,0,1,2,3,1,1,1,0,0
2020년04월_여_총인구수,"269,350","22,796","20,652","15,848","24,704","13,699","14,178","3,170","5,001","11,155","6,597","7,462","16,284","5,634","10,706","8,144","5,343","16,031","11,389","12,121","14,340","12,179","11,917"
2020년04월_여_연령구간인구수,"269,350","22,796","20,652","15,848","24,704","13,699","14,178","3,170","5,001","11,155","6,597","7,462","16,284","5,634","10,706","8,144","5,343","16,031","11,389","12,121","14,340","12,179","11,917"
2020년04월_여_0~9세,"25,269","2,408","1,278","1,951","3,448","2,035","1,624",175,257,650,392,298,"1,428",272,736,377,396,"1,383","1,027","1,248","1,569","1,195","1,122"
2020년04월_여_10~19세,"27,893","2,149","1,775","2,176","3,007","1,743","1,032",222,391,789,444,697,"1,567",439,"1,020",635,360,"1,702","1,420","1,709","1,624","1,323","1,669"
2020년04월_여_20~29세,"35,222","3,187","3,174","1,967","2,910","1,438","1,740",471,779,"1,546",801,"1,095","2,159",778,"1,492","1,080",737,"2,256","1,340","1,293","1,913","1,475","1,591"
2020년04월_여_30~39세,"40,037","4,269","2,379","3,093","4,548","2,676","2,553",397,529,"1,284",755,707,"2,281",625,"1,320",803,813,"2,182","1,320","1,829","2,450","1,702","1,522"
2020년04월_여_40~49세,"47,132","4,076","3,247","3,270","4,962","2,720","2,125",391,707,"1,537",892,"1,114","2,529",827,"1,606","1,150",770,"2,893","2,281","2,797","2,761","2,123","2,354"
2020년04월_여_50~59세,"45,905","3,393","4,357","1,909","3,285","1,811","2,365",790,"1,208","2,431","1,377","1,631","3,083","1,189","2,184","1,719","1,005","2,719","1,793","1,511","2,179","2,126","1,840"
2020년04월_여_60~69세,"27,017","1,936","2,339",857,"1,602",797,"1,601",446,640,"1,649","1,078","1,058","2,003",792,"1,374","1,326",714,"1,578","1,098",926,"1,019","1,202",982
2020년04월_여_70~79세,"12,822",899,"1,251",390,595,277,683,144,300,770,529,533,769,467,585,647,317,824,708,523,517,588,506
2020년04월_여_80~89세,"6,711",398,700,195,289,166,370,100,165,424,281,284,380,211,322,345,184,403,365,233,262,363,271
2020년04월_여_90~99세,"1,268",78,146,38,55,36,80,30,23,69,44,44,79,33,65,56,43,84,33,48,45,80,59
2020년04월_여_100세 이상,74,3,6,2,3,0,5,4,2,6,4,1,6,1,2,6,4,7,4,4,1,2,1
