,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년06월_계_80~89세,"7,896",950,927,251,251,277,480,273,310,282,93,168,526,111,577,259,236,76,94,62,44,15,72,314,183,574,120,371
2020년06월_계_90~99세,"1,122",144,155,45,38,37,61,41,31,29,19,21,65,13,72,31,26,10,12,6,4,5,13,56,30,80,26,52
2020년06월_계_100세 이상,49,5,8,1,2,2,4,1,2,4,3,1,0,1,1,0,2,0,3,0,0,1,0,2,0,2,2,2
2020년06월_남_총인구수,"214,220","7,538","18,711",938,901,"1,146","2,175","13,732","1,644","8,301","2,144","1,716","14,961","1,193","23,979","7,471","8,829","1,863","1,796","3,447","3,524","2,478","2,414","15,070","10,279","25,261","8,597","24,112"
2020년06월_남_연령구간인구수,"214,220","7,538","18,711",938,901,"1,146","2,175","13,732","1,644","8,301","2,144","1,716","14,961","1,193","23,979","7,471","8,829","1,863","1,796","3,447","3,524","2,478","2,414","15,070","10,279","25,261","8,597","24,112"
2020년06월_남_0~9세,"21,971",463,"1,759",19,10,20,40,"2,838",51,474,32,49,"1,309",41,"2,542",588,516,70,161,384,485,355,188,"1,357","1,209","2,807",488,"3,716"
2020년06월_남_10~19세,"23,890",608,"2,143",32,30,88,84,"1,087",118,691,53,87,"1,843",71,"3,320",948,"1,136",101,126,250,322,99,185,"1,923","1,442","3,170",598,"3,335"
2020년06월_남_20~29세,"31,433",929,"2,765",69,68,90,181,"1,285",144,"1,441",303,206,"2,296",141,"3,347","1,181","1,604",374,247,539,496,412,402,"2,477","1,430","3,792","2,057","3,157"
2020년06월_남_30~39세,"35,637",721,"2,315",60,50,67,146,"4,396",107,"1,351",290,186,"1,873",106,"3,069",884,942,341,342,809,822,672,439,"2,082","1,659","4,774","2,478","4,656"
2020년06월_남_40~49세,"37,069","1,034","2,768",86,102,118,300,"2,231",223,"1,185",431,211,"2,369",165,"4,454","1,162","1,288",272,258,528,579,401,423,"2,892","1,966","4,913","1,492","5,218"
2020년06월_남_50~59세,"35,447","1,512","3,891",206,187,241,499,"1,114",358,"1,500",511,361,"2,885",260,"4,205","1,451","1,901",347,342,590,538,345,402,"2,916","1,747","3,491",914,"2,733"
2020년06월_남_60~69세,"19,187","1,329","2,073",244,227,246,468,506,321,"1,165",349,379,"1,717",263,"2,179",871,"1,089",225,210,242,219,155,232,999,612,"1,613",396,858
2020년06월_남_70~79세,"6,932",638,678,133,139,181,272,187,211,396,144,183,487,108,670,302,279,99,74,86,55,34,112,320,157,536,131,320
2020년06월_남_80~89세,"2,438",279,291,77,78,85,171,75,105,95,29,49,170,38,185,82,71,33,32,18,7,5,27,91,53,148,37,107
2020년06월_남_90~99세,209,24,27,12,10,9,13,13,6,2,2,5,12,0,8,2,3,1,4,1,1,0,4,12,4,17,6,11
2020년06월_남_100세 이상,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2020년06월_여_총인구수,"203,260","7,644","18,112",951,860,"1,097","2,005","12,557","1,576","8,458","1,741","1,616","15,503","1,100","23,404","7,627","8,727","1,479","1,506","2,921","3,343","2,031","2,121","13,846","9,441","23,766","7,465","22,363"
2020년06월_여_연령구간인구수,"203,260","7,644","18,112",951,860,"1,097","2,005","12,557","1,576","8,458","1,741","1,616","15,503","1,100","23,404","7,627","8,727","1,479","1,506","2,921","3,343","2,031","2,121","13,846","9,441","23,766","7,465","22,363"
2020년06월_여_0~9세,"20,575",463,"1,637",24,10,22,30,"2,735",30,483,35,39,"1,192",41,"2,437",541,429,74,130,338,471,300,185,"1,311","1,160","2,416",491,"3,551"
2020년06월_여_10~19세,"21,776",582,"1,804",32,36,53,83,987,94,663,59,69,"1,822",67,"3,049",819,959,100,105,237,332,103,180,"1,746","1,231","2,896",559,"3,109"
2020년06월_여_20~29세,"25,626",627,"2,033",39,34,58,121,"1,476",123,"1,228",241,135,"1,812",99,"2,637",924,"1,244",224,190,460,442,300,295,"1,811","1,114","3,317","2,113","2,529"
2020년06월_여_30~39세,"31,325",648,"2,218",37,26,31,81,"3,723",83,"1,051",247,102,"1,833",63,"3,188",875,825,167,220,559,651,489,303,"1,884","1,530","4,294","1,683","4,514"
2020년06월_여_40~49세,"36,334",975,"3,084",52,49,83,158,"1,807",163,"1,309",298,155,"2,810",136,"4,687","1,415","1,641",200,195,461,582,283,356,"2,956","2,043","4,611","1,154","4,671"
2020년06월_여_50~59세,"33,944","1,529","3,820",162,153,161,338,933,303,"1,758",352,334,"3,241",230,"4,154","1,602","2,066",292,305,545,528,322,403,"2,536","1,456","3,341",779,"2,301"
2020년06월_여_60~69세,"18,356","1,236","1,799",223,192,246,429,442,294,"1,285",283,386,"1,729",246,"2,027",897,"1,013",232,181,196,235,175,229,905,527,"1,613",421,915
2020년06월_여_70~79세,"8,911",789,946,174,157,222,405,227,254,464,142,260,655,131,768,348,360,138,107,76,62,43,116,429,224,787,160,467
2020년06월_여_80~89세,"5,458",671,636,174,173,192,309,198,205,187,64,119,356,73,392,177,165,43,62,44,37,10,45,223,130,426,83,264
2020년06월_여_90~99세,913,120,128,33,28,28,48,28,25,27,17,16,53,13,64,29,23,9,8,5,3,5,9,44,26,63,20,41
2020년06월_여_100세 이상,42,4,7,1,2,1,3,1,2,3,3,1,0,1,1,0,2,0,3,0,0,1,0,1,0,2,2,1
