카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년02월_남_40~49세,"36,208","2,696","1,748","2,076","1,436","2,787","1,789","2,905","1,207","1,658","2,181","2,673","2,097","1,702","1,882","1,814","3,520",25,"2,012"
2020년02월_남_50~59세,"35,088","2,468","1,517","1,964","1,401","1,824","1,633","3,057","1,084","1,300","2,298","3,054","2,332","1,455","1,974","1,889","3,597",19,"2,222"
2020년02월_남_60~69세,"28,137","1,746","1,198","1,636","1,175","1,306","1,299","2,314",833,"1,127","2,020","2,326","1,938","1,169","1,634","1,393","3,133",25,"1,865"
2020년02월_남_70~79세,"13,991",932,473,755,468,515,536,"1,197",503,496,"1,072","1,246",990,627,903,790,"1,591",15,882
2020년02월_남_80~89세,"3,590",330,97,184,109,164,124,293,122,128,258,337,262,164,256,167,373,7,215
2020년02월_남_90~99세,379,42,10,24,19,22,19,34,12,11,19,28,17,22,18,20,35,1,26
2020년02월_남_100세 이상,61,4,1,2,0,11,3,5,2,4,4,7,5,0,4,3,4,1,1
2020년02월_여_총인구수,"226,423","16,521","10,239","13,627","8,953","13,221","10,257","18,323","7,854","9,470","14,153","17,604","13,842","10,528","12,432","11,939","23,430",138,"13,892"
2020년02월_여_연령구간인구수,"226,423","16,521","10,239","13,627","8,953","13,221","10,257","18,323","7,854","9,470","14,153","17,604","13,842","10,528","12,432","11,939","23,430",138,"13,892"
2020년02월_여_0~9세,"16,298","1,341","1,110","1,079",594,"1,593","1,139","1,196",689,"1,047",791,904,731,779,544,637,"1,248",2,874
2020년02월_여_10~19세,"18,642","2,176","1,142","1,325","1,201","1,472",883,"1,377",544,953,909,950,705,886,676,798,"1,511",4,"1,130"
2020년02월_여_20~29세,"29,924","1,956","1,024","1,620","1,086","1,174","1,051","2,402","1,018","1,001","1,943","2,610","2,218","1,378","2,134","1,745","3,593",9,"1,962"
2020년02월_여_30~39세,"34,786","1,831","1,626","2,075",959,"2,165","1,816","2,695","1,454","1,453","1,989","3,023","2,412","1,735","2,073","1,787","3,652",12,"2,029"
2020년02월_여_40~49세,"36,135","2,919","1,807","2,292","1,748","2,732","1,671","2,845","1,232","1,655","2,020","2,482","1,875","1,763","1,764","1,892","3,366",26,"2,046"
2020년02월_여_50~59세,"36,869","2,530","1,613","2,221","1,441","1,780","1,589","3,109","1,169","1,424","2,511","2,995","2,227","1,645","2,003","2,127","4,033",13,"2,439"
2020년02월_여_60~69세,"30,976","1,972","1,206","1,789","1,203","1,357","1,304","2,591",978,"1,172","2,247","2,534","2,063","1,382","1,831","1,714","3,561",30,"2,042"
2020년02월_여_70~79세,"14,978","1,097",454,787,438,561,507,"1,411",541,512,"1,151","1,447","1,087",650,961,846,"1,634",24,870
2020년02월_여_80~89세,"6,259",579,202,345,211,272,239,578,192,190,478,526,438,254,356,329,669,4,397
2020년02월_여_90~99세,"1,381",109,49,86,67,100,57,100,28,59,105,115,78,52,77,56,145,7,91
2020년02월_여_100세 이상,175,11,6,8,5,15,1,19,9,4,9,18,8,4,13,8,18,7,12
