카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년04월_계_80~89세,"10,709","1,085",469,562,329,423,385,910,350,350,749,914,746,455,699,546,"1,115",5,617
2021년04월_계_90~99세,"1,838",217,94,108,83,115,76,139,48,65,120,132,91,70,79,81,199,3,118
2021년04월_계_100세 이상,116,9,3,3,4,29,2,8,2,2,3,2,6,2,10,7,11,1,12
2021년04월_남_총인구수,"228,768","19,875","18,869","12,703","8,614","12,838","11,357","17,337","7,425","8,851","13,335","16,590","12,943","9,799","11,783","11,456","22,500",76,"12,417"
2021년04월_남_연령구간인구수,"228,768","19,875","18,869","12,703","8,614","12,838","11,357","17,337","7,425","8,851","13,335","16,590","12,943","9,799","11,783","11,456","22,500",76,"12,417"
2021년04월_남_0~9세,"18,439","2,011","2,592","1,099",579,"1,545","1,328","1,069",718,"1,007",698,859,695,822,562,648,"1,293",2,912
2021년04월_남_10~19세,"20,618","2,545","1,986","1,285","1,377","1,969","1,046","1,332",486,"1,007",907,928,639,880,576,"1,033","1,520",3,"1,099"
2021년04월_남_20~29세,"30,315","2,376","2,047","1,610","1,129","1,263","1,260","2,526",948,969,"1,874","2,276","1,866","1,370","1,773","1,891","3,354",10,"1,773"
2021년04월_남_30~39세,"36,289","2,807","2,761","2,028",927,"1,547","1,923","2,696","1,431","1,135","2,122","3,141","2,394","1,607","2,262","1,773","3,844",7,"1,884"
2021년04월_남_40~49세,"37,612","3,271","3,566","2,013","1,361","2,680","2,004","2,830","1,208","1,621","2,114","2,518","1,960","1,626","1,751","1,723","3,484",12,"1,870"
2021년04월_남_50~59세,"35,290","2,868","2,567","1,943","1,355","1,758","1,650","2,880","1,063","1,290","2,173","2,784","2,165","1,430","1,894","1,902","3,553",11,"2,004"
2021년04월_남_60~69세,"30,694","2,298","2,300","1,698","1,211","1,353","1,381","2,394",897,"1,132","2,088","2,438","1,957","1,195","1,746","1,461","3,360",19,"1,766"
2021년04월_남_70~79세,"15,008","1,246",863,789,536,531,594,"1,230",517,531,"1,065","1,260",972,657,912,802,"1,637",6,860
2021년04월_남_80~89세,"4,098",395,175,214,121,160,154,346,146,146,280,362,277,188,289,203,416,5,221
2021년04월_남_90~99세,376,57,11,23,17,22,16,33,11,11,14,24,16,23,15,18,37,1,27
2021년04월_남_100세 이상,29,1,1,1,1,10,1,1,0,2,0,0,2,1,3,2,2,0,1
2021년04월_여_총인구수,"236,563","21,536","19,373","13,381","8,775","12,404","11,160","17,559","7,916","9,244","13,815","17,034","13,470","10,415","12,233","11,884","23,580",58,"12,726"
2021년04월_여_연령구간인구수,"236,563","21,536","19,373","13,381","8,775","12,404","11,160","17,559","7,916","9,244","13,815","17,034","13,470","10,415","12,233","11,884","23,580",58,"12,726"
2021년04월_여_0~9세,"17,129","1,891","2,434","1,038",558,"1,369","1,246","1,081",691,957,699,780,586,736,506,593,"1,164",1,799
2021년04월_여_10~19세,"18,504","2,375","1,917","1,177","1,100","1,495",932,"1,218",510,914,836,862,628,857,597,712,"1,394",4,976
2021년04월_여_20~29세,"31,461","2,472","1,935","1,584","1,101","1,086","1,128","2,280","1,051",992,"1,919","2,574","2,422","1,391","2,188","1,793","3,779",7,"1,759"
2021년04월_여_30~39세,"36,666","3,113","3,249","2,069",945,"1,761","2,053","2,508","1,450","1,356","1,911","2,969","2,352","1,683","2,027","1,697","3,704",6,"1,813"
2021년04월_여_40~49세,"37,399","3,474","3,493","2,209","1,684","2,676","1,880","2,664","1,182","1,646","1,901","2,366","1,809","1,737","1,624","1,852","3,338",13,"1,851"
2021년04월_여_50~59세,"36,875","3,051","2,797","2,095","1,381","1,668","1,601","3,000","1,166","1,360","2,390","2,764","2,032","1,572","1,900","2,084","3,821",7,"2,186"
2021년04월_여_60~69세,"34,366","2,871","2,393","1,943","1,283","1,421","1,470","2,646","1,054","1,228","2,371","2,636","2,026","1,437","1,966","1,849","3,781",13,"1,978"
2021년04월_여_70~79세,"16,003","1,431",776,831,446,553,558,"1,485",569,533,"1,210","1,421","1,067",687,944,893,"1,729",4,866
2021년04월_여_80~89세,"6,611",690,294,348,208,263,231,564,204,204,469,552,469,267,410,343,699,0,396
2021년04월_여_90~99세,"1,462",160,83,85,66,93,60,106,37,54,106,108,75,47,64,63,162,2,91
2021년04월_여_100세 이상,87,8,2,2,3,19,1,7,2,0,3,2,4,1,7,5,9,1,11
