카테고리,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년06월_남_20~29세,"20,789",325,"5,285",162,"1,720","1,317","1,481",262,337,99,204,"1,412",574,959,"2,378","1,211","1,545","1,518"
2021년06월_남_30~39세,"25,767",366,"7,637",146,"2,071","1,951","2,814",248,386,115,178,"1,171",962,745,"2,431","1,080","1,482","1,984"
2021년06월_남_40~49세,"31,139",510,"8,039",298,"2,771","2,078","2,319",346,597,160,241,"1,868",858,791,"3,582","1,764","2,045","2,872"
2021년06월_남_50~59세,"25,436",620,"5,435",421,"1,496","1,564","1,735",551,734,307,469,"1,788",705,"1,020","2,800","1,693","1,774","2,324"
2021년06월_남_60~69세,"16,985",600,"2,917",435,579,"1,188","1,317",689,634,376,526,"1,325",574,825,"1,596","1,030",968,"1,406"
2021년06월_남_70~79세,"8,070",337,"1,186",276,256,468,532,382,310,277,329,669,295,436,764,504,439,610
2021년06월_남_80~89세,"3,504",182,430,127,119,185,207,205,177,158,186,298,99,167,310,193,194,267
2021년06월_남_90~99세,302,15,39,13,7,17,21,18,16,10,12,26,8,17,29,17,15,22
2021년06월_남_100세 이상,9,0,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2021년06월_여_총인구수,"153,915","3,073","38,886","2,062","10,203","9,266","9,672","2,607","2,827","1,491","2,174","9,421","4,465","5,180","18,357","9,154","10,480","14,597"
2021년06월_여_연령구간인구수,"153,915","3,073","38,886","2,062","10,203","9,266","9,672","2,607","2,827","1,491","2,174","9,421","4,465","5,180","18,357","9,154","10,480","14,597"
2021년06월_여_0~9세,"15,600",171,"4,748",89,"1,393","1,260","1,188",72,139,27,59,715,437,222,"1,846",678,985,"1,571"
2021년06월_여_10~19세,"16,968",234,"4,689",169,"1,509",861,728,114,175,50,88,"1,011",335,372,"2,425","1,141","1,295","1,772"
2021년06월_여_20~29세,"16,532",217,"4,805",137,"1,227",781,958,155,196,78,146,995,513,729,"2,119",921,"1,182","1,373"
2021년06월_여_30~39세,"22,536",229,"7,146",128,"1,873","1,616","1,883",155,210,64,123,990,760,485,"2,477","1,021","1,349","2,027"
2021년06월_여_40~49세,"26,221",371,"7,204",233,"2,076","1,435","1,347",223,329,90,158,"1,579",639,659,"3,414","1,681","2,002","2,781"
2021년06월_여_50~59세,"21,538",504,"4,915",333,988,"1,243","1,312",419,483,211,360,"1,450",603,966,"2,577","1,513","1,630","2,031"
2021년06월_여_60~69세,"16,899",594,"2,953",408,562,"1,098","1,123",587,548,398,483,"1,219",584,872,"1,824","1,104","1,051","1,491"
2021년06월_여_70~79세,"10,048",374,"1,451",291,329,513,620,454,366,285,394,858,357,539,"1,034",663,615,905
2021년06월_여_80~89세,"6,464",321,819,225,205,382,433,364,324,250,320,532,186,286,555,368,315,579
2021년06월_여_90~99세,"1,063",55,151,44,41,76,78,63,57,37,42,68,48,47,79,60,51,66
2021년06월_여_100세 이상,46,3,5,5,0,1,2,1,0,1,1,4,3,3,7,4,5,1
