,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2020년04월_남_40~49세,"56,047","29,768","2,501","2,291","3,084","2,844","2,347","3,680","2,262","1,670","1,979","3,167","1,710","1,468",765,"26,279","3,833","1,686","1,862","3,588",656,"1,441","2,271","4,253","1,267","1,703","3,179",540
2020년04월_남_50~59세,"65,413","34,869","2,442","2,522","3,343","3,231","2,430","3,876","2,739","2,098","2,477","4,190","2,776","1,722","1,023","30,544","4,076","2,066","2,258","4,600","1,063","1,880","2,256","4,148","1,434","2,232","3,542",989
2020년04월_남_60~69세,"34,708","18,197","1,236","1,322","1,444","1,628","1,212","1,828","1,414","1,113","1,144","2,132","1,628","1,350",746,"16,511","1,854","1,122","1,354","2,223",575,"1,155","1,295","2,125",957,"1,034","1,788","1,029"
2020년04월_남_70~79세,"12,910","7,177",612,595,608,537,341,778,586,440,453,677,506,748,296,"5,733",701,433,387,586,298,403,462,772,263,384,499,545
2020년04월_남_80~89세,"4,596","2,644",198,202,330,190,88,272,233,216,189,259,176,208,83,"1,952",223,160,112,199,96,107,157,277,104,125,185,207
2020년04월_남_90~99세,426,251,17,17,52,18,6,14,20,18,8,17,37,18,9,175,23,9,15,20,12,7,11,25,8,16,8,21
2020년04월_남_100세 이상,26,13,0,1,3,0,0,0,1,0,1,1,3,2,1,13,0,0,2,1,1,1,0,2,1,1,1,3
2020년04월_여_총인구수,"318,542","170,834","12,615","11,518","16,207","16,463","13,470","18,858","13,814","10,346","10,799","19,314","13,972","9,033","4,425","147,708","18,393","11,095","12,978","22,329","2,732","9,156","10,607","23,116","7,590","8,055","17,580","4,077"
2020년04월_여_연령구간인구수,"318,542","170,834","12,615","11,518","16,207","16,463","13,470","18,858","13,814","10,346","10,799","19,314","13,972","9,033","4,425","147,708","18,393","11,095","12,978","22,329","2,732","9,156","10,607","23,116","7,590","8,055","17,580","4,077"
2020년04월_여_0~9세,"22,642","11,923",963,635,"1,012","1,343","1,492","1,389",836,526,771,"1,195",902,597,262,"10,719","1,322",656,856,"1,790",151,678,842,"1,934",537,495,"1,325",133
2020년04월_여_10~19세,"32,148","17,142","1,322",841,"1,497","1,854","1,669","2,068","1,551",923,"1,127","1,935","1,303",666,386,"15,006","1,917",992,"1,169","2,602",157,901,"1,267","2,521",652,825,"1,831",172
2020년04월_여_20~29세,"49,659","26,882","1,895","2,133","2,781","2,512","1,977","2,807","2,178","1,746","1,668","3,276","2,348","1,021",540,"22,777","2,693","2,087","2,539","3,772",198,"1,375","1,350","3,481","1,052","1,195","2,724",311
2020년04월_여_30~39세,"39,305","20,313","1,511","1,623","2,022","2,004","1,902","2,293","1,440","1,215","1,157","2,052","1,607","1,048",439,"18,992","2,346","1,403","1,927","2,745",268,"1,157","1,300","3,252","1,057",874,"2,393",270
2020년04월_여_40~49세,"54,353","29,087","2,202","1,845","2,800","2,870","2,532","3,484","2,477","1,696","1,828","3,285","2,144","1,270",654,"25,266","3,358","1,726","2,023","4,073",430,"1,471","1,861","4,188","1,191","1,375","3,174",396
2020년04월_여_50~59세,"61,542","32,994","2,216","2,081","2,949","3,154","2,340","3,473","2,712","2,168","2,132","4,079","3,077","1,753",860,"28,548","3,428","2,062","2,394","4,545",630,"1,840","2,009","4,062","1,526","1,681","3,426",945
2020년04월_여_60~69세,"31,768","16,925","1,211","1,235","1,308","1,554","1,027","1,675","1,271","1,033","1,067","1,844","1,513","1,475",712,"14,843","1,753","1,165","1,299","1,704",421,"1,095","1,165","1,990",877,890,"1,530",954
2020년04월_여_70~79세,"16,093","9,262",819,688,939,682,305,"1,033",821,652,639,931,609,798,346,"6,831",960,596,441,600,301,420,477,991,408,420,705,512
2020년04월_여_80~89세,"9,364","5,339",401,360,752,423,184,557,456,341,356,610,389,334,176,"4,025",523,359,264,418,151,185,291,588,253,260,411,322
2020년04월_여_90~99세,"1,581",921,72,71,136,63,41,78,69,46,52,103,76,68,46,660,90,45,62,78,20,27,42,104,37,38,58,59
2020년04월_여_100세 이상,87,46,3,6,11,4,1,1,3,0,2,4,4,3,4,41,3,4,4,2,5,7,3,5,0,2,3,3
