,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2021년03월_남_총인구수,"265,947","22,685","18,795","5,237","27,867","6,362","21,397","11,585","8,350","12,807","13,326","17,312","12,931","10,584","36,399","1,217","12,095","15,592","11,406"
2021년03월_남_연령구간인구수,"265,947","22,685","18,795","5,237","27,867","6,362","21,397","11,585","8,350","12,807","13,326","17,312","12,931","10,584","36,399","1,217","12,095","15,592","11,406"
2021년03월_남_0~9세,"25,009","1,788",870,219,"3,719",328,"2,959",796,684,571,638,"1,210",879,854,"5,535",22,875,"1,878","1,184"
2021년03월_남_10~19세,"25,973","1,822","1,677",392,"2,915",627,"1,713","1,146",781,593,"1,020","1,829","1,109","1,376","4,024",30,"1,502","2,064","1,353"
2021년03월_남_20~29세,"38,135","3,562","3,203",780,"3,423",962,"2,142","1,591","1,000","2,115","2,444","2,995","1,757","1,841","4,751",101,"1,937","1,988","1,543"
2021년03월_남_30~39세,"42,111","3,640","2,179",555,"4,829",581,"4,179","1,505","1,255","2,736","2,133","2,524","1,885","1,232","7,382",116,"1,333","2,270","1,777"
2021년03월_남_40~49세,"49,482","3,390","2,750",675,"5,007","1,030","4,061","2,132","1,747","2,847","2,823","3,378","2,804","1,803","7,820",129,"2,058","3,072","1,956"
2021년03월_남_50~59세,"46,626","4,254","4,169","1,178","4,277","1,369","2,861","2,151","1,471","2,397","2,602","3,305","2,593","2,161","4,334",300,"2,538","2,666","2,000"
2021년03월_남_60~69세,"26,319","2,936","2,735",918,"2,580",907,"2,320","1,448",871,"1,105","1,224","1,431","1,345",877,"1,953",344,"1,177","1,118","1,030"
2021년03월_남_70~79세,"8,986",940,922,365,852,403,892,586,396,346,324,431,405,281,468,133,461,391,390
2021년03월_남_80~89세,"2,993",318,259,132,242,137,242,212,134,89,110,188,144,145,123,35,199,130,154
2021년03월_남_90~99세,284,34,28,18,22,17,24,15,9,7,7,21,9,14,9,5,13,14,18
2021년03월_남_100세 이상,29,1,3,5,1,1,4,3,2,1,1,0,1,0,0,2,2,1,1
2021년03월_여_총인구수,"243,168","22,040","17,506","4,741","27,864","5,771","20,832","10,467","7,676","7,521","9,245","14,752","10,004","10,787","34,664",771,"11,676","15,303","11,548"
2021년03월_여_연령구간인구수,"243,168","22,040","17,506","4,741","27,864","5,771","20,832","10,467","7,676","7,521","9,245","14,752","10,004","10,787","34,664",771,"11,676","15,303","11,548"
2021년03월_여_0~9세,"24,115","1,690",742,223,"3,618",352,"2,896",737,701,562,659,"1,184",844,797,"5,371",18,824,"1,780","1,117"
2021년03월_여_10~19세,"24,536","1,725","1,546",357,"2,813",558,"1,625","1,052",698,526,935,"1,722","1,018","1,327","3,977",23,"1,376","1,916","1,342"
2021년03월_여_20~29세,"32,031","3,250","2,669",623,"3,232",688,"2,062","1,283",873,"1,128","1,352","2,180","1,308","1,742","4,304",61,"1,741","1,924","1,611"
2021년03월_여_30~39세,"36,676","3,324","1,728",411,"4,971",519,"4,182","1,162","1,102","1,277","1,245","1,822","1,258","1,201","7,149",57,"1,253","2,382","1,633"
2021년03월_여_40~49세,"42,468","3,186","2,504",629,"4,703",914,"3,393","1,719","1,434","1,374","1,731","2,747","1,814","2,026","6,947",51,"2,122","3,088","2,086"
2021년03월_여_50~59세,"41,963","4,357","3,948","1,047","4,354","1,103","2,853","1,936","1,230","1,368","1,720","2,911","1,970","2,163","4,258",176,"2,285","2,382","1,902"
2021년03월_여_60~69세,"23,234","2,580","2,415",773,"2,475",783,"2,239","1,392",931,757,921,"1,167",991,772,"1,792",223,"1,039","1,003",981
2021년03월_여_70~79세,"10,739","1,091","1,168",392,980,491,951,715,442,318,417,592,466,446,561,95,614,497,503
2021년03월_여_80~89세,"6,199",691,677,246,589,311,517,393,219,176,218,376,262,286,250,52,347,278,311
2021년03월_여_90~99세,"1,133",140,89,36,124,49,104,70,44,33,46,48,72,26,54,13,72,51,62
2021년03월_여_100세 이상,74,6,20,4,5,3,10,8,2,2,1,3,1,1,1,2,3,2,0
