,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2021년06월_남_총인구수,"273,017","28,675","9,296","3,520","4,050","2,030","1,711","3,035","4,991","4,557","5,069","36,715","40,222","5,052","20,447","16,933","3,857","28,448","18,275","36,134"
2021년06월_남_연령구간인구수,"273,017","28,675","9,296","3,520","4,050","2,030","1,711","3,035","4,991","4,557","5,069","36,715","40,222","5,052","20,447","16,933","3,857","28,448","18,275","36,134"
2021년06월_남_0~9세,"24,189","3,262","1,410",117,91,51,46,66,297,315,299,"2,419","3,627",286,"1,263",748,252,"2,559","1,748","5,333"
2021년06월_남_10~19세,"31,387","3,173",649,169,185,63,72,119,318,283,338,"3,808","5,442",381,"1,998","1,583",349,"4,125","2,652","5,680"
2021년06월_남_20~29세,"37,269","2,961","1,055",376,385,184,150,245,720,578,752,"6,655","5,900",669,"3,222","3,170",559,"3,805","2,395","3,488"
2021년06월_남_30~39세,"34,891","4,407","2,006",293,359,155,133,220,682,614,658,"4,441","4,683",562,"2,343","1,648",420,"3,434","2,227","5,606"
2021년06월_남_40~49세,"48,376","5,844","1,571",480,456,212,204,319,696,629,735,"5,386","7,164",727,"3,156","2,409",596,"5,768","3,757","8,267"
2021년06월_남_50~59세,"49,957","4,328","1,368",826,891,444,394,559,"1,013",819,"1,047","7,921","7,615","1,059","4,333","3,695",776,"5,034","3,268","4,567"
2021년06월_남_60~69세,"31,318","3,077",905,771,"1,009",541,455,891,846,809,805,"4,348","4,020",908,"2,855","2,550",608,"2,354","1,461","2,105"
2021년06월_남_70~79세,"11,675","1,205",248,339,495,272,196,457,316,367,333,"1,271","1,326",342,984,833,220,"1,012",584,875
2021년06월_남_80~89세,"3,684",391,78,140,171,103,54,144,95,134,100,432,414,114,272,278,68,329,171,196
2021년06월_남_90~99세,259,27,6,9,8,5,7,15,7,8,2,32,31,4,21,18,7,24,11,17
2021년06월_남_100세 이상,12,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,2,4,1,0
2021년06월_여_총인구수,"266,824","26,976","8,901","2,913","3,371","1,776","1,407","2,812","4,756","4,555","4,806","36,943","40,137","4,507","19,724","16,136","3,750","28,630","18,038","36,686"
2021년06월_여_연령구간인구수,"266,824","26,976","8,901","2,913","3,371","1,776","1,407","2,812","4,756","4,555","4,806","36,943","40,137","4,507","19,724","16,136","3,750","28,630","18,038","36,686"
2021년06월_여_0~9세,"23,227","3,033","1,383",90,87,30,29,75,260,285,267,"2,195","3,470",256,"1,180",735,237,"2,627","1,729","5,259"
2021년06월_여_10~19세,"29,124","2,954",607,142,131,56,65,92,346,254,296,"3,574","4,916",345,"1,805","1,408",373,"3,893","2,482","5,385"
2021년06월_여_20~29세,"31,021","2,344","1,026",202,207,114,107,145,578,462,620,"5,623","4,925",551,"2,744","2,489",440,"3,266","1,961","3,217"
2021년06월_여_30~39세,"32,747","4,082","1,942",222,200,98,81,148,528,576,536,"3,979","4,643",408,"1,932","1,283",351,"3,426","2,153","6,159"
2021년06월_여_40~49세,"48,904","5,069","1,408",293,238,137,114,220,659,566,656,"6,115","8,002",612,"3,092","2,414",601,"6,139","3,998","8,571"
2021년06월_여_50~59세,"47,480","3,992","1,364",591,644,355,311,486,932,839,"1,046","8,323","7,374",897,"4,306","3,715",766,"4,576","2,909","4,054"
2021년06월_여_60~69세,"29,968","3,115",695,648,845,447,372,788,815,807,798,"3,934","3,854",782,"2,667","2,277",557,"2,573","1,557","2,437"
2021년06월_여_70~79세,"14,989","1,443",253,401,527,308,185,493,403,504,383,"1,917","1,857",414,"1,281","1,106",279,"1,348",824,"1,063"
2021년06월_여_80~89세,"8,126",804,194,260,424,204,115,303,202,215,180,"1,144",956,215,640,633,126,685,359,467
2021년06월_여_90~99세,"1,198",137,29,63,67,27,25,61,33,42,22,132,133,26,77,75,17,94,66,72
2021년06월_여_100세 이상,40,3,0,1,1,0,3,1,0,5,2,7,7,1,0,1,3,3,0,2
