,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2020년10월_남_20~29세,"37,337","3,546","3,216",785,"3,275",942,"2,134","1,629",967,"2,032","2,265","2,961","1,768","1,842","4,716",94,"1,926","1,860","1,379"
2020년10월_남_30~39세,"40,985","3,589","2,204",558,"4,019",584,"4,277","1,531","1,259","2,806","2,155","2,505","1,945","1,252","7,603",117,"1,319","2,077","1,185"
2020년10월_남_40~49세,"48,245","3,292","2,839",706,"4,335","1,052","4,047","2,163","1,750","2,853","2,885","3,373","2,777","1,834","7,629",129,"2,138","2,849","1,594"
2020년10월_남_50~59세,"45,918","4,270","4,219","1,184","4,070","1,387","2,873","2,170","1,436","2,396","2,602","3,240","2,598","2,186","4,256",295,"2,546","2,431","1,759"
2020년10월_남_60~69세,"24,460","2,803","2,603",890,"2,256",855,"2,234","1,383",852,"1,052","1,168","1,323","1,258",802,"1,828",324,"1,059",894,876
2020년10월_남_70~79세,"8,678",907,916,356,792,389,872,572,394,332,328,434,395,282,450,123,460,305,371
2020년10월_남_80~89세,"2,852",313,248,124,218,137,239,210,128,87,98,177,138,140,119,34,198,114,130
2020년10월_남_90~99세,266,27,30,16,20,17,21,16,9,7,7,16,8,14,8,5,14,15,16
2020년10월_남_100세 이상,27,1,2,5,1,1,4,2,2,1,1,0,1,0,0,2,2,1,1
2020년10월_여_총인구수,"236,452","21,803","17,628","4,779","24,619","5,828","20,905","10,651","7,661","7,543","9,238","14,791","10,011","10,789","34,423",757,"11,715","13,967","9,344"
2020년10월_여_연령구간인구수,"236,452","21,803","17,628","4,779","24,619","5,828","20,905","10,651","7,661","7,543","9,238","14,791","10,011","10,789","34,423",757,"11,715","13,967","9,344"
2020년10월_여_0~9세,"23,513","1,709",818,230,"2,924",364,"3,019",781,723,578,688,"1,243",861,820,"5,476",20,864,"1,670",725
2020년10월_여_10~19세,"24,282","1,763","1,595",374,"2,578",583,"1,604","1,086",696,544,935,"1,770","1,030","1,334","3,906",22,"1,439","1,840","1,183"
2020년10월_여_20~29세,"31,462","3,271","2,679",633,"3,032",715,"2,056","1,309",849,"1,110","1,303","2,185","1,330","1,747","4,338",64,"1,732","1,783","1,326"
2020년10월_여_30~39세,"35,532","3,246","1,760",434,"4,111",530,"4,309","1,216","1,132","1,324","1,292","1,821","1,295","1,217","7,260",55,"1,252","2,193","1,085"
2020년10월_여_40~49세,"41,608","3,217","2,619",658,"4,173",935,"3,339","1,759","1,433","1,376","1,763","2,820","1,813","2,079","6,729",52,"2,200","2,901","1,742"
2020년10월_여_50~59세,"40,973","4,298","3,965","1,054","4,077","1,130","2,893","1,960","1,233","1,386","1,714","2,859","1,940","2,109","4,190",172,"2,247","2,094","1,652"
2020년10월_여_60~69세,"21,495","2,423","2,284",731,"2,129",741,"2,135","1,360",894,717,871,"1,093",954,720,"1,665",213,963,790,812
2020년10월_여_70~79세,"10,552","1,066","1,159",391,933,482,947,720,438,309,416,599,464,455,559,97,617,427,473
2020년10월_여_80~89세,"5,919",669,641,240,557,302,496,385,220,168,216,359,256,279,247,48,325,224,287
2020년10월_여_90~99세,"1,045",132,90,31,100,43,97,67,41,29,39,40,68,28,52,13,73,43,59
2020년10월_여_100세 이상,71,9,18,3,5,3,10,8,2,2,1,2,0,1,1,1,3,2,0
