,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020년12월_남_연령구간인구수,"227,342","16,130","15,503","17,671","17,086","9,867","21,618","23,395","19,679","16,728","22,616","13,268","13,043","9,652","11,086"
2020년12월_남_0~9세,"17,819",596,949,"1,200","1,290",765,"1,501","1,833","1,665","1,478","3,406",957,763,582,834
2020년12월_남_10~19세,"21,925",810,"1,135","1,421","1,725","1,061","2,061","2,728","1,832","2,199","2,565","1,317","1,063",839,"1,169"
2020년12월_남_20~29세,"32,826","2,969","2,590","2,302","2,314","1,224","3,218","3,559","2,858","2,398","2,581","1,964","1,872","1,363","1,614"
2020년12월_남_30~39세,"30,694","2,613","2,383","2,366","2,042","1,147","2,687","2,734","2,921","1,870","3,978","1,594","1,792","1,225","1,342"
2020년12월_남_40~49세,"37,482","2,449","2,486","3,033","2,737","1,702","3,308","3,702","3,171","3,060","4,509","2,077","1,978","1,471","1,799"
2020년12월_남_50~59세,"39,509","2,995","2,746","2,798","2,904","1,626","4,135","4,221","3,377","3,077","2,892","2,466","2,486","1,829","1,957"
2020년12월_남_60~69세,"27,613","2,256","1,889","2,376","2,145","1,340","2,887","2,854","2,402","1,431","1,701","1,711","1,845","1,391","1,385"
2020년12월_남_70~79세,"13,752","1,006",936,"1,575","1,305",719,"1,313","1,251","1,033",818,749,812,901,655,679
2020년12월_남_80~89세,"5,222",391,353,552,566,266,472,468,389,362,209,323,321,274,276
2020년12월_남_90~99세,449,33,32,43,56,16,33,42,28,33,25,36,21,20,31
2020년12월_남_100세 이상,51,12,4,5,2,1,3,3,3,2,1,11,1,3,0
2020년12월_여_총인구수,"234,368","15,420","15,777","18,575","18,171","10,821","22,322","24,816","19,946","17,053","23,915","13,867","13,082","9,496","11,107"
2020년12월_여_연령구간인구수,"234,368","15,420","15,777","18,575","18,171","10,821","22,322","24,816","19,946","17,053","23,915","13,867","13,082","9,496","11,107"
2020년12월_여_0~9세,"16,634",516,857,"1,101","1,202",766,"1,297","1,674","1,619","1,380","3,274",964,748,524,712
2020년12월_여_10~19세,"20,614",782,979,"1,387","1,709","1,015","1,991","2,507","1,673","2,105","2,563","1,200",968,748,987
2020년12월_여_20~29세,"31,745","3,334","2,693","2,417","2,246","1,205","2,968","3,412","2,654","2,137","2,607","1,773","1,717","1,151","1,431"
2020년12월_여_30~39세,"29,453","2,102","2,204","2,258","2,023","1,174","2,532","2,717","2,657","1,935","4,395","1,595","1,538","1,019","1,304"
2020년12월_여_40~49세,"37,312","1,913","2,335","2,785","2,896","1,760","3,490","4,046","3,205","3,288","4,499","2,150","1,879","1,308","1,758"
2020년12월_여_50~59세,"40,878","2,522","2,788","3,074","3,056","1,806","4,429","4,750","3,518","2,852","3,122","2,638","2,539","1,773","2,011"
2020년12월_여_60~69세,"29,671","2,174","2,092","2,807","2,424","1,496","2,986","3,048","2,460","1,564","1,966","1,776","1,879","1,513","1,486"
2020년12월_여_70~79세,"17,561","1,271","1,202","1,886","1,709",989,"1,646","1,615","1,219","1,118",931,"1,059","1,163",886,867
2020년12월_여_80~89세,"8,880",644,535,744,793,507,843,876,804,561,489,618,550,457,459
2020년12월_여_90~99세,"1,438",112,84,101,104,92,131,164,127,110,67,84,88,85,89
2020년12월_여_100세 이상,182,50,8,15,9,11,9,7,10,3,2,10,13,32,3
