,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년04월_남_50~59세,"18,949",528,213,334,837,307,193,428,773,292,375,219,303,174,244,"2,153",644,"1,295",478,883,"1,413",415,935,"1,432","3,426",655
2021년04월_남_60~69세,"16,513",620,307,413,703,431,320,568,603,303,491,319,473,294,247,"1,707",638,833,428,964,879,432,772,882,"2,478",408
2021년04월_남_70~79세,"7,703",293,169,218,294,218,194,306,247,147,259,179,224,146,147,753,356,361,247,486,340,208,405,388,928,190
2021년04월_남_80~89세,"3,488",160,63,85,133,136,95,147,100,92,142,111,136,98,78,294,137,166,131,232,112,98,138,148,389,67
2021년04월_남_90~99세,311,9,6,9,15,12,12,15,17,6,13,11,17,7,2,37,10,8,8,19,4,4,9,16,35,10
2021년04월_남_100세 이상,8,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2021년04월_여_총인구수,"103,416","2,332",989,"1,445","3,863","1,427","1,128","1,904","6,528","1,775","1,802","1,107","1,562",958,"1,355","11,774","3,466","7,816","2,620","4,724","9,294","1,718","4,463","7,351","18,847","3,168"
2021년04월_여_연령구간인구수,"103,416","2,332",989,"1,445","3,863","1,427","1,128","1,904","6,528","1,775","1,802","1,107","1,562",958,"1,355","11,774","3,466","7,816","2,620","4,724","9,294","1,718","4,463","7,351","18,847","3,168"
2021년04월_여_0~9세,"7,053",38,22,41,289,19,28,23,"1,021",180,57,21,33,32,49,763,135,617,116,171,"1,005",49,254,479,"1,354",257
2021년04월_여_10~19세,"8,931",106,29,45,185,50,32,54,484,139,96,37,59,31,82,"1,192",255,927,231,333,"1,157",67,382,813,"1,832",313
2021년04월_여_20~29세,"10,246",135,48,69,500,64,44,89,678,174,103,49,77,38,112,"1,171",366,824,252,469,"1,008",202,458,874,"2,128",314
2021년04월_여_30~39세,"10,570",117,37,61,524,65,45,65,"1,395",191,73,44,75,55,87,"1,155",242,821,202,366,"1,308",92,450,685,"2,036",379
2021년04월_여_40~49세,"14,843",187,64,97,484,67,52,140,"1,004",217,126,78,97,58,142,"1,838",436,"1,481",351,519,"1,732",165,624,"1,298","3,051",535
2021년04월_여_50~59세,"18,108",459,201,271,643,252,189,348,780,223,322,211,251,162,214,"2,169",603,"1,366",449,846,"1,453",308,778,"1,407","3,633",570
2021년04월_여_60~69세,"16,424",581,282,384,627,374,325,531,610,280,434,274,411,246,298,"1,778",652,913,466,"1,024",907,357,795,933,"2,554",388
2021년04월_여_70~79세,"9,572",370,151,265,305,268,203,341,287,195,291,199,281,173,202,982,443,513,334,585,411,269,473,506,"1,306",219
2021년04월_여_80~89세,"6,639",301,125,181,267,241,181,263,232,153,248,169,246,147,135,648,293,307,192,353,261,180,215,311,823,167
2021년04월_여_90~99세,"1,005",37,30,31,37,27,27,49,37,22,51,25,31,16,33,76,38,44,27,57,51,29,33,43,129,25
2021년04월_여_100세 이상,25,1,0,0,2,0,2,1,0,1,1,0,1,0,1,2,3,3,0,1,1,0,1,2,1,1
