,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2021년09월_계_80~89세,"14,786","1,593","1,059",658,581,507,265,562,460,461,"1,105",906,372,318,676,236,372,777,427,187,"1,160","1,162",249,693
2021년09월_계_90~99세,"1,996",189,151,121,110,62,30,92,64,67,141,114,60,34,110,37,68,82,49,25,155,125,31,79
2021년09월_계_100세 이상,94,9,4,4,5,2,0,2,0,3,4,3,1,2,14,1,24,3,0,0,5,7,0,1
2021년09월_남_총인구수,"290,020","14,830","22,570","14,737","14,378","6,266","2,020","16,744","3,559","2,744","22,906","12,949","11,174","7,131","11,076","3,668","2,949","11,911","5,561","2,148","45,226","26,892","13,676","14,905"
2021년09월_남_연령구간인구수,"290,020","14,830","22,570","14,737","14,378","6,266","2,020","16,744","3,559","2,744","22,906","12,949","11,174","7,131","11,076","3,668","2,949","11,911","5,561","2,148","45,226","26,892","13,676","14,905"
2021년09월_남_0~9세,"25,327",833,"1,847",883,"2,008",215,58,"1,877",166,80,"1,356",597,"1,308",310,775,302,93,518,259,53,"5,746","2,918","1,794","1,331"
2021년09월_남_10~19세,"27,791",968,"2,882","1,002","1,732",419,120,"1,127",239,137,"2,455","1,180",933,438,"1,068",244,156,895,322,117,"5,020","3,241","1,652","1,444"
2021년09월_남_20~29세,"42,720","1,813","3,198","2,176","1,345",917,216,"2,838",403,259,"4,218","2,044","1,562","1,500","1,634",595,398,"2,221",924,358,"6,031","3,756","1,934","2,380"
2021년09월_남_30~39세,"46,601","1,853","3,089","2,598","2,425",865,202,"3,791",368,201,"3,106","1,747","2,011","1,457","1,307",672,401,"1,773",889,263,"8,696","4,017","2,545","2,325"
2021년09월_남_40~49세,"51,682","2,267","4,274","3,052","3,168","1,016",299,"2,798",522,372,"3,823","2,213","2,097","1,261","1,919",625,472,"1,808",841,290,"8,800","4,562","2,806","2,397"
2021년09월_남_50~59세,"47,340","2,882","3,950","2,538","1,741","1,162",388,"2,221",714,534,"4,205","2,456","1,747","1,100","2,075",582,536,"2,169",988,415,"6,188","4,320","1,783","2,646"
2021년09월_남_60~69세,"30,173","2,392","2,067","1,595","1,200",995,428,"1,316",657,608,"2,376","1,608","1,042",636,"1,458",394,479,"1,533",787,376,"3,195","2,643",815,"1,573"
2021년09월_남_70~79세,"12,613","1,191",850,628,539,483,213,561,316,382,971,740,325,299,568,162,260,679,381,196,"1,108",950,260,551
2021년09월_남_80~89세,"5,279",585,380,233,196,180,90,198,152,155,361,325,140,124,239,83,128,295,160,74,404,452,82,243
2021년09월_남_90~99세,468,44,33,32,24,14,6,16,22,15,35,38,9,6,25,8,16,20,10,6,37,32,5,15
2021년09월_남_100세 이상,26,2,0,0,0,0,0,1,0,1,0,1,0,0,8,1,10,0,0,0,1,1,0,0
2021년09월_여_총인구수,"267,430","13,597","21,108","9,648","12,740","5,094","1,647","14,885","3,051","2,434","21,418","12,486","10,181","5,787","10,976","3,380","2,800","11,017","5,057","1,966","43,903","27,203","12,399","14,653"
2021년09월_여_연령구간인구수,"267,430","13,597","21,108","9,648","12,740","5,094","1,647","14,885","3,051","2,434","21,418","12,486","10,181","5,787","10,976","3,380","2,800","11,017","5,057","1,966","43,903","27,203","12,399","14,653"
2021년09월_여_0~9세,"24,450",774,"1,877",892,"1,889",232,58,"1,900",125,63,"1,383",628,"1,237",331,772,281,66,461,268,62,"5,547","2,731","1,623","1,250"
2021년09월_여_10~19세,"26,154",886,"2,824",899,"1,598",382,83,"1,121",236,130,"2,288","1,070",950,460,"1,053",229,125,794,310,98,"4,708","2,949","1,541","1,420"
2021년09월_여_20~29세,"34,566","1,412","2,698","1,135","1,059",563,130,"2,131",276,172,"3,225","1,675","1,269","1,052","1,329",462,320,"1,889",697,265,"5,579","3,455","1,699","2,074"
2021년09월_여_30~39세,"38,171","1,365","2,464","1,267","2,226",481,142,"3,049",233,142,"2,293","1,311","1,793",889,"1,260",553,263,"1,234",580,162,"8,240","3,966","2,199","2,059"
2021년09월_여_40~49세,"44,725","1,839","4,085","1,588","2,471",667,161,"2,205",340,218,"3,618","1,903","1,721",895,"1,749",503,299,"1,588",724,237,"8,261","4,858","2,502","2,293"
2021년09월_여_50~59세,"42,452","2,265","3,237","1,443","1,329",965,278,"2,103",528,393,"4,021","2,368","1,623",901,"2,004",504,448,"2,045",865,361,"5,991","4,505","1,560","2,715"
2021년09월_여_60~69세,"29,759","2,349","2,011","1,238","1,139",895,349,"1,338",589,548,"2,443","1,817",913,617,"1,471",387,551,"1,578",803,396,"3,310","2,680",783,"1,554"
2021년09월_여_70~79세,"16,050","1,547","1,111",668,553,532,247,597,374,408,"1,293","1,055",391,418,810,279,418,881,504,253,"1,389","1,250",299,773
2021년09월_여_80~89세,"9,507","1,008",679,425,385,327,175,364,308,306,744,581,232,194,437,153,244,482,267,113,756,710,167,450
2021년09월_여_90~99세,"1,528",145,118,89,86,48,24,76,42,52,106,76,51,28,85,29,52,62,39,19,118,93,26,64
2021년09월_여_100세 이상,68,7,4,4,5,2,0,1,0,2,4,2,1,2,6,0,14,3,0,0,4,6,0,1
