카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  해밀동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  반곡동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년12월_남_50~59세,"25,581","3,572",329,282,611,887,765,708,575,392,250,"1,458","2,349","2,229",436,"1,577","1,734","1,749","1,156",926,"1,253",814,"1,529"
2021년12월_남_60~69세,"16,596","2,882",301,384,569,994,640,784,584,487,220,607,"1,017","1,096",193,637,937,"1,196",692,444,659,438,835
2021년12월_남_70~79세,"6,870","1,369",124,206,269,544,293,411,290,249,112,217,302,409,78,235,375,432,212,127,214,137,265
2021년12월_남_80~89세,"2,606",615,51,97,149,234,138,231,191,107,56,69,75,121,25,56,119,83,32,24,47,27,59
2021년12월_남_90~99세,263,56,3,12,20,27,12,18,16,9,6,10,10,11,4,7,10,10,3,6,6,3,4
2021년12월_남_100세 이상,7,1,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021년12월_여_총인구수,"186,217","20,742","1,213","1,476","2,759","4,205","2,944","3,338","2,571","1,555","1,066","9,464","19,637","17,280","4,377","11,771","14,971","17,440","10,358","8,924","9,720","5,673","14,733"
2021년12월_여_연령구간인구수,"186,217","20,742","1,213","1,476","2,759","4,205","2,944","3,338","2,571","1,555","1,066","9,464","19,637","17,280","4,377","11,771","14,971","17,440","10,358","8,924","9,720","5,673","14,733"
2021년12월_여_0~9세,"23,079","1,445",49,48,152,163,119,158,86,38,43,"1,116","2,744","1,977",814,"1,531","2,069","2,777","1,715","1,461","1,435",757,"2,382"
2021년12월_여_10~19세,"22,713","2,015",45,54,159,186,168,190,152,47,91,"1,610","2,765","2,313",511,"2,065","2,173","2,437","1,265",769,"1,271",555,"1,872"
2021년12월_여_20~29세,"18,782","2,774",169,103,245,385,364,284,204,124,98,839,"2,241","2,233",328,929,"1,306","1,227",834,"1,211",924,646,"1,314"
2021년12월_여_30~39세,"31,588","2,403",129,114,269,367,307,262,177,87,64,"1,281","3,847","2,930",986,"1,771","2,673","3,198","2,247","2,435","1,816","1,106","3,119"
2021년12월_여_40~49세,"35,933","3,153",104,126,290,389,301,345,266,109,111,"2,254","4,184","3,700",945,"3,042","3,195","3,859","2,087","1,449","2,004","1,017","3,003"
2021년12월_여_50~59세,"23,295","3,167",200,229,452,711,545,500,433,271,178,"1,303","2,163","2,055",426,"1,340","1,713","1,896","1,178",891,"1,171",884,"1,589"
2021년12월_여_60~69세,"16,926","2,851",250,325,545,872,547,686,504,391,205,622,"1,090","1,175",223,707,"1,154","1,383",702,468,733,478,"1,015"
2021년12월_여_70~79세,"7,905","1,735",130,210,349,574,312,490,362,235,137,279,352,518,94,247,425,463,218,129,232,120,294
2021년12월_여_80~89세,"4,951","1,004",109,219,256,463,238,358,323,207,120,133,192,302,45,113,231,158,85,85,108,91,111
2021년12월_여_90~99세,"1,025",187,27,48,42,93,42,64,61,46,19,26,59,77,5,25,32,42,26,25,26,19,34
2021년12월_여_100세 이상,20,8,1,0,0,2,1,1,3,0,0,1,0,0,0,1,0,0,1,1,0,0,0
